NOM_ENT,NOM_MUN,NOM_CD,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,TOTAL_RESPUESTAS,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,FECHA_PROCESAMIENTO,ANO,TRIMESTRE
YUCATAN,KANASIN,SIN_CIUDAD,6,17,0,23,26.09,73.91,0.0,2025-09-10T21:12:50.445161,2017,1
YUCATAN,MERIDA,SIN_CIUDAD,151,60,0,211,71.56,28.44,0.0,2025-09-10T21:12:50.445161,2017,1
YUCATAN,PROGRESO,SIN_CIUDAD,7,7,0,14,50.0,50.0,0.0,2025-09-10T21:12:50.445161,2017,1
YUCATAN,UMAN,SIN_CIUDAD,9,6,0,15,60.0,40.0,0.0,2025-09-10T21:12:50.445161,2017,1
YUCATAN,KANASIN,SIN_CIUDAD,5,17,0,22,22.73,77.27,0.0,2025-09-10T21:12:50.818208,2017,1
YUCATAN,MERIDA,SIN_CIUDAD,153,59,0,212,72.17,27.83,0.0,2025-09-10T21:12:50.818208,2017,1
YUCATAN,PROGRESO,SIN_CIUDAD,8,7,0,15,53.33,46.67,0.0,2025-09-10T21:12:50.818208,2017,1
YUCATAN,UMAN,SIN_CIUDAD,10,5,0,15,66.67,33.33,0.0,2025-09-10T21:12:50.818208,2017,1
YUCATAN,KANASIN,SIN_CIUDAD,2,17,0,19,10.53,89.47,0.0,2025-09-10T21:12:51.219178,2017,1
YUCATAN,MERIDA,SIN_CIUDAD,166,49,0,215,77.21,22.79,0.0,2025-09-10T21:12:51.219178,2017,1
YUCATAN,PROGRESO,SIN_CIUDAD,8,6,0,14,57.14,42.86,0.0,2025-09-10T21:12:51.219178,2017,1
YUCATAN,UMAN,SIN_CIUDAD,9,6,0,15,60.0,40.0,0.0,2025-09-10T21:12:51.219178,2017,1
YUCATAN,KANASIN,SIN_CIUDAD,4,17,0,21,19.05,80.95,0.0,2025-09-10T21:12:51.590733,2016,2
YUCATAN,MERIDA,SIN_CIUDAD,141,67,0,208,67.79,32.21,0.0,2025-09-10T21:12:51.590733,2016,2
YUCATAN,PROGRESO,SIN_CIUDAD,9,5,0,14,64.29,35.71,0.0,2025-09-10T21:12:51.590733,2016,2
YUCATAN,UMAN,SIN_CIUDAD,8,6,0,14,57.14,42.86,0.0,2025-09-10T21:12:51.590733,2016,2
YUCATAN,KANASIN,SIN_CIUDAD,6,13,0,19,31.58,68.42,0.0,2025-09-10T21:12:51.949752,2017,2
YUCATAN,MERIDA,SIN_CIUDAD,166,50,0,216,76.85,23.15,0.0,2025-09-10T21:12:51.949752,2017,2
YUCATAN,PROGRESO,SIN_CIUDAD,12,5,0,17,70.59,29.41,0.0,2025-09-10T21:12:51.949752,2017,2
YUCATAN,UMAN,SIN_CIUDAD,7,2,0,9,77.78,22.22,0.0,2025-09-10T21:12:51.949752,2017,2
YUCATAN,KANASIN,SIN_CIUDAD,9,11,0,20,45.0,55.0,0.0,2025-09-10T21:12:52.328975,2018,1
YUCATAN,MERIDA,SIN_CIUDAD,168,54,0,222,75.68,24.32,0.0,2025-09-10T21:12:52.328975,2018,1
YUCATAN,PROGRESO,SIN_CIUDAD,7,3,0,10,70.0,30.0,0.0,2025-09-10T21:12:52.328975,2018,1
YUCATAN,UMAN,SIN_CIUDAD,6,8,0,14,42.86,57.14,0.0,2025-09-10T21:12:52.328975,2018,1
YUCATAN,KANASIN,SIN_CIUDAD,6,15,0,21,28.57,71.43,0.0,2025-09-10T21:12:52.773748,2018,2
YUCATAN,MERIDA,SIN_CIUDAD,150,67,0,217,69.12,30.88,0.0,2025-09-10T21:12:52.773748,2018,2
YUCATAN,PROGRESO,SIN_CIUDAD,6,6,0,12,50.0,50.0,0.0,2025-09-10T21:12:52.773748,2018,2
YUCATAN,UMAN,SIN_CIUDAD,9,5,0,14,64.29,35.71,0.0,2025-09-10T21:12:52.773748,2018,2
YUCATAN,KANASIN,SIN_CIUDAD,5,13,0,18,27.78,72.22,0.0,2025-09-10T21:12:53.289978,2018,3
YUCATAN,MERIDA,SIN_CIUDAD,141,75,0,216,65.28,34.72,0.0,2025-09-10T21:12:53.289978,2018,3
YUCATAN,PROGRESO,SIN_CIUDAD,10,7,0,17,58.82,41.18,0.0,2025-09-10T21:12:53.289978,2018,3
YUCATAN,UMAN,SIN_CIUDAD,7,7,0,14,50.0,50.0,0.0,2025-09-10T21:12:53.289978,2018,3
YUCATAN,KANASIN,SIN_CIUDAD,6,7,0,13,46.15,53.85,0.0,2025-09-10T21:12:53.697741,2018,4
YUCATAN,MERIDA,SIN_CIUDAD,163,56,0,219,74.43,25.57,0.0,2025-09-10T21:12:53.697741,2018,4
YUCATAN,PROGRESO,SIN_CIUDAD,12,6,0,18,66.67,33.33,0.0,2025-09-10T21:12:53.697741,2018,4
YUCATAN,UMAN,SIN_CIUDAD,10,9,0,19,52.63,47.37,0.0,2025-09-10T21:12:53.697741,2018,4
YUCATAN,KANASIN,SIN_CIUDAD,6,9,0,15,40.0,60.0,0.0,2025-09-10T21:12:54.070395,2019,1
YUCATAN,MERIDA,SIN_CIUDAD,135,77,0,212,63.68,36.32,0.0,2025-09-10T21:12:54.070395,2019,1
YUCATAN,PROGRESO,SIN_CIUDAD,11,7,0,18,61.11,38.89,0.0,2025-09-10T21:12:54.070395,2019,1
YUCATAN,UMAN,SIN_CIUDAD,8,10,0,18,44.44,55.56,0.0,2025-09-10T21:12:54.070395,2019,1
YUCATAN,KANASIN,SIN_CIUDAD,9,5,0,14,64.29,35.71,0.0,2025-09-10T21:12:54.556920,2019,2
YUCATAN,MERIDA,SIN_CIUDAD,157,60,0,217,72.35,27.65,0.0,2025-09-10T21:12:54.556920,2019,2
YUCATAN,PROGRESO,SIN_CIUDAD,12,5,0,17,70.59,29.41,0.0,2025-09-10T21:12:54.556920,2019,2
YUCATAN,UMAN,SIN_CIUDAD,7,10,0,17,41.18,58.82,0.0,2025-09-10T21:12:54.556920,2019,2
YUCATAN,KANASIN,SIN_CIUDAD,10,4,0,14,71.43,28.57,0.0,2025-09-10T21:12:55.109709,2019,4
YUCATAN,MERIDA,SIN_CIUDAD,179,31,2,212,84.43,14.62,0.94,2025-09-10T21:12:55.109709,2019,4
YUCATAN,PROGRESO,SIN_CIUDAD,14,3,0,17,82.35,17.65,0.0,2025-09-10T21:12:55.109709,2019,4
YUCATAN,UMAN,SIN_CIUDAD,11,7,0,18,61.11,38.89,0.0,2025-09-10T21:12:55.109709,2019,4
YUCATAN,KANASIN,SIN_CIUDAD,5,2,0,7,71.43,28.57,0.0,2025-09-10T21:12:55.676333,2020,1
YUCATAN,MERIDA,SIN_CIUDAD,168,48,0,216,77.78,22.22,0.0,2025-09-10T21:12:55.676333,2020,1
YUCATAN,PROGRESO,SIN_CIUDAD,13,10,0,23,56.52,43.48,0.0,2025-09-10T21:12:55.676333,2020,1
YUCATAN,UMAN,SIN_CIUDAD,12,6,0,18,66.67,33.33,0.0,2025-09-10T21:12:55.676333,2020,1
YUCATAN,KANASIN,SIN_CIUDAD,7,3,0,10,70.0,30.0,0.0,2025-09-10T21:12:56.601575,2020,3
YUCATAN,MERIDA,SIN_CIUDAD,167,45,0,212,78.77,21.23,0.0,2025-09-10T21:12:56.601575,2020,3
YUCATAN,PROGRESO,SIN_CIUDAD,16,12,0,28,57.14,42.86,0.0,2025-09-10T21:12:56.601575,2020,3
YUCATAN,UMAN,SIN_CIUDAD,9,3,0,12,75.0,25.0,0.0,2025-09-10T21:12:56.601575,2020,3
YUCATAN,KANASIN,SIN_CIUDAD,2,7,0,9,22.22,77.78,0.0,2025-09-10T21:12:57.508095,2020,4
YUCATAN,MERIDA,SIN_CIUDAD,171,44,0,215,79.53,20.47,0.0,2025-09-10T21:12:57.508095,2020,4
YUCATAN,PROGRESO,SIN_CIUDAD,15,13,0,28,53.57,46.43,0.0,2025-09-10T21:12:57.508095,2020,4
