"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Unidad Primaria de Muestreo","upm","Numérico","7","0100001…3299999"
"Vivienda seleccionada","viv_sel","Numérico","2","01…99"
"Número de renglón de la persona seleccionada","r_sel","Numérico","2","01…30"
"Localidad","loc","Numérico","4","-"
"Ciudad","cd","Numérico","2","01"
"Ciudad","cd","Numérico","2","02"
"Ciudad","cd","Numérico","2","03"
"Ciudad","cd","Numérico","2","04"
"Ciudad","cd","Numérico","2","05"
"Ciudad","cd","Numérico","2","06"
"Ciudad","cd","Numérico","2","07"
"Ciudad","cd","Numérico","2","09"
"Ciudad","cd","Numérico","2","10"
"Ciudad","cd","Numérico","2","11"
"Ciudad","cd","Numérico","2","12"
"Ciudad","cd","Numérico","2","13"
"Ciudad","cd","Numérico","2","14"
"Ciudad","cd","Numérico","2","15"
"Ciudad","cd","Numérico","2","16"
"Ciudad","cd","Numérico","2","17"
"Ciudad","cd","Numérico","2","18"
"Ciudad","cd","Numérico","2","19"
"Ciudad","cd","Numérico","2","20"
"Ciudad","cd","Numérico","2","21"
"Ciudad","cd","Numérico","2","22"
"Ciudad","cd","Numérico","2","23"
"Ciudad","cd","Numérico","2","24"
"Ciudad","cd","Numérico","2","26"
"Ciudad","cd","Numérico","2","29"
"Ciudad","cd","Numérico","2","30"
"Ciudad","cd","Numérico","2","32"
"Ciudad","cd","Numérico","2","33"
"Ciudad","cd","Numérico","2","34"
"Ciudad","cd","Numérico","2","35"
"Ciudad","cd","Numérico","2","36"
"Ciudad","cd","Numérico","2","37"
"Ciudad","cd","Numérico","2","38"
"Ciudad","cd","Numérico","2","39"
"Ciudad","cd","Numérico","2","40"
"Ciudad","cd","Numérico","2","41"
"Ciudad","cd","Numérico","2","43"
"Ciudad","cd","Numérico","2","45"
"Ciudad","cd","Numérico","2","46"
"Ciudad","cd","Numérico","2","47"
"Ciudad","cd","Numérico","2","48"
"Ciudad","cd","Numérico","2","49"
"Ciudad","cd","Numérico","2","50"
"Ciudad","cd","Numérico","2","51"
"Ciudad","cd","Numérico","2","52"
"Ciudad","cd","Numérico","2","53"
"Periodo de la entrevista","per","Numérico","4","0216"
"Resultado definitivo","r_def","Numérico","2","01"
"Hogar mudado","h_mud","Numérico","1","0-4"
"Seleccionado sustituido","sel_sust","Texto","1","A, B, C, D"
"Tipo de cuestionario","tipo_cuest","Alfanumérico","1","E"
"Tipo de cuestionario","tipo_cuest","Alfanumérico","1","P"
"Número de entrevista","n_ent","Numérico","1","1…5"
"Percepción de seguridad en ciudad","bp1_1","Numérico","1","1"
"Percepción de seguridad en ciudad","bp1_1","Numérico","1","2"
"Percepción de seguridad en ciudad","bp1_1","Numérico","1","9"
"Percepción de seguridad en su casa.","bp1_2_01","Numérico","1","1"
"Percepción de seguridad en su casa.","bp1_2_01","Numérico","1","2"
"Percepción de seguridad en su casa.","bp1_2_01","Numérico","1","9"
"Percepción de seguridad en su trabajo.","bp1_2_02","Numérico","1","1"
"Percepción de seguridad en su trabajo.","bp1_2_02","Numérico","1","2"
"Percepción de seguridad en su trabajo.","bp1_2_02","Numérico","1","3"
"Percepción de seguridad en su trabajo.","bp1_2_02","Numérico","1","9"
"Percepción de seguridad en las calles que habitualmente usa.","bp1_2_03","Numérico","1","1"
"Percepción de seguridad en las calles que habitualmente usa.","bp1_2_03","Numérico","1","2"
"Percepción de seguridad en las calles que habitualmente usa.","bp1_2_03","Numérico","1","3"
"Percepción de seguridad en las calles que habitualmente usa.","bp1_2_03","Numérico","1","9"
"Percepción de seguridad en la escuela.","bp1_2_04","Numérico","1","1"
"Percepción de seguridad en la escuela.","bp1_2_04","Numérico","1","2"
"Percepción de seguridad en la escuela.","bp1_2_04","Numérico","1","3"
"Percepción de seguridad en la escuela.","bp1_2_04","Numérico","1","9"
"Percepción de seguridad en el mercado.","bp1_2_05","Numérico","1","1"
"Percepción de seguridad en el mercado.","bp1_2_05","Numérico","1","2"
"Percepción de seguridad en el mercado.","bp1_2_05","Numérico","1","3"
"Percepción de seguridad en el mercado.","bp1_2_05","Numérico","1","9"
"Percepción de seguridad en el centro comercial.","bp1_2_06","Numérico","1","1"
"Percepción de seguridad en el centro comercial.","bp1_2_06","Numérico","1","2"
"Percepción de seguridad en el centro comercial.","bp1_2_06","Numérico","1","3"
"Percepción de seguridad en el centro comercial.","bp1_2_06","Numérico","1","9"
"Percepción de seguridad en el banco.","bp1_2_07","Numérico","1","1"
"Percepción de seguridad en el banco.","bp1_2_07","Numérico","1","2"
"Percepción de seguridad en el banco.","bp1_2_07","Numérico","1","3"
"Percepción de seguridad en el banco.","bp1_2_07","Numérico","1","9"
"Percepción de seguridad en el cajero automático localizado en la vía pública.","bp1_2_08","Numérico","1","1"
"Percepción de seguridad en el cajero automático localizado en la vía pública.","bp1_2_08","Numérico","1","2"
"Percepción de seguridad en el cajero automático localizado en la vía pública.","bp1_2_08","Numérico","1","3"
"Percepción de seguridad en el cajero automático localizado en la vía pública.","bp1_2_08","Numérico","1","9"
"Percepción de seguridad en el transporte público.","bp1_2_09","Numérico","1","1"
"Percepción de seguridad en el transporte público.","bp1_2_09","Numérico","1","2"
"Percepción de seguridad en el transporte público.","bp1_2_09","Numérico","1","3"
"Percepción de seguridad en el transporte público.","bp1_2_09","Numérico","1","9"
"Percepción de seguridad en el automóvil.","bp1_2_10","Numérico","1","1"
"Percepción de seguridad en el automóvil.","bp1_2_10","Numérico","1","2"
"Percepción de seguridad en el automóvil.","bp1_2_10","Numérico","1","3"
"Percepción de seguridad en el automóvil.","bp1_2_10","Numérico","1","9"
"Percepción de seguridad en la carretera.","bp1_2_11","Numérico","1","1"
"Percepción de seguridad en la carretera.","bp1_2_11","Numérico","1","2"
"Percepción de seguridad en la carretera.","bp1_2_11","Numérico","1","3"
"Percepción de seguridad en la carretera.","bp1_2_11","Numérico","1","9"
"Percepción de seguridad en el parque recreativo o centro recreativo.","bp1_2_12","Numérico","1","1"
"Percepción de seguridad en el parque recreativo o centro recreativo.","bp1_2_12","Numérico","1","2"
"Percepción de seguridad en el parque recreativo o centro recreativo.","bp1_2_12","Numérico","1","3"
"Percepción de seguridad en el parque recreativo o centro recreativo.","bp1_2_12","Numérico","1","9"
"Percepción de tendencia de seguridad pública en: Ciudad.","bp1_3","Numérico","1","1"
"Percepción de tendencia de seguridad pública en: Ciudad.","bp1_3","Numérico","1","2"
"Percepción de tendencia de seguridad pública en: Ciudad.","bp1_3","Numérico","1","3"
"Percepción de tendencia de seguridad pública en: Ciudad.","bp1_3","Numérico","1","4"
"Percepción de tendencia de seguridad pública en: Ciudad.","bp1_3","Numérico","1","9"
"Incivilidades en su colonia: vandalismo (grafitis, pintas, vidrios quebrados o daños) en las viviendas o negocios.","bp1_4_1","Numérico","1","1"
"Incivilidades en su colonia: vandalismo (grafitis, pintas, vidrios quebrados o daños) en las viviendas o negocios.","bp1_4_1","Numérico","1","2"
"Incivilidades en su colonia: vandalismo (grafitis, pintas, vidrios quebrados o daños) en las viviendas o negocios.","bp1_4_1","Numérico","1","9"
"Incivilidades en su colonia: consumo de alcohol en las calles.","bp1_4_2","Numérico","1","1"
"Incivilidades en su colonia: consumo de alcohol en las calles.","bp1_4_2","Numérico","1","2"
"Incivilidades en su colonia: consumo de alcohol en las calles.","bp1_4_2","Numérico","1","9"
"Incivilidades en su colonia: robos o asaltos.","bp1_4_3","Numérico","1","1"
"Incivilidades en su colonia: robos o asaltos.","bp1_4_3","Numérico","1","2"
"Incivilidades en su colonia: robos o asaltos.","bp1_4_3","Numérico","1","9"
"Incivilidades en su colonia: bandas violentas o pandillerismo.","bp1_4_4","Numérico","1","1"
"Incivilidades en su colonia: bandas violentas o pandillerismo.","bp1_4_4","Numérico","1","2"
"Incivilidades en su colonia: bandas violentas o pandillerismo.","bp1_4_4","Numérico","1","9"
"Incivilidades en su colonia: venta o consumo de droga.","bp1_4_5","Numérico","1","1"
"Incivilidades en su colonia: venta o consumo de droga.","bp1_4_5","Numérico","1","2"
"Incivilidades en su colonia: venta o consumo de droga.","bp1_4_5","Numérico","1","9"
"Incivilidades en su colonia: disparos frecuentes con armas.","bp1_4_6","Numérico","1","1"
"Incivilidades en su colonia: disparos frecuentes con armas.","bp1_4_6","Numérico","1","2"
"Incivilidades en su colonia: disparos frecuentes con armas.","bp1_4_6","Numérico","1","9"
"Cambiar sus hábitos respecto a llevar cosas de valor como joyas, dinero o tarjetas de crédito por temor a sufrir algún delito.","bp1_5_1","Numérico","1","1"
"Cambiar sus hábitos respecto a llevar cosas de valor como joyas, dinero o tarjetas de crédito por temor a sufrir algún delito.","bp1_5_1","Numérico","1","2"
