"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Unidad primaria de muestreo","upm","Numérico","7","0100001…3299999"
"Progresivo de Vivienda","pro_viv","Numérico","3","001-999"
"Vivienda seleccionada","viv_sel","Numérico","2","01…99"
"Clave Entidad","cve_ent","Numérico","2","01...32"
"Nombre de la Entidad","nom_ent","Alfanumérico","250","Texto mínimo 2 caracteres"
"Municipio","cve_mun","Numérico","3","001-570"
"Nombre del Municipio","nom_mun","Alfanumérico","250","Texto mínimo 2 caracteres"
"Localidad","loc","Numérico","4","-"
"Ciudad","cd","Numérico","2","01"
"Ciudad","cd","Numérico","2","02"
"Ciudad","cd","Numérico","2","03"
"Ciudad","cd","Numérico","2","04"
"Ciudad","cd","Numérico","2","05"
"Ciudad","cd","Numérico","2","06"
"Ciudad","cd","Numérico","2","07"
"Ciudad","cd","Numérico","2","09"
"Ciudad","cd","Numérico","2","10"
"Ciudad","cd","Numérico","2","11"
"Ciudad","cd","Numérico","2","12"
"Ciudad","cd","Numérico","2","13"
"Ciudad","cd","Numérico","2","14"
"Ciudad","cd","Numérico","2","15"
"Ciudad","cd","Numérico","2","16"
"Ciudad","cd","Numérico","2","17"
"Ciudad","cd","Numérico","2","18"
"Ciudad","cd","Numérico","2","19"
"Ciudad","cd","Numérico","2","20"
"Ciudad","cd","Numérico","2","21"
"Ciudad","cd","Numérico","2","22"
"Ciudad","cd","Numérico","2","23"
"Ciudad","cd","Numérico","2","24"
"Ciudad","cd","Numérico","2","25"
"Ciudad","cd","Numérico","2","26"
"Ciudad","cd","Numérico","2","27"
"Ciudad","cd","Numérico","2","28"
"Ciudad","cd","Numérico","2","29"
"Ciudad","cd","Numérico","2","30"
"Ciudad","cd","Numérico","2","32"
"Ciudad","cd","Numérico","2","33"
"Ciudad","cd","Numérico","2","34"
"Ciudad","cd","Numérico","2","35"
"Ciudad","cd","Numérico","2","36"
"Ciudad","cd","Numérico","2","37"
"Ciudad","cd","Numérico","2","38"
"Ciudad","cd","Numérico","2","39"
"Ciudad","cd","Numérico","2","40"
"Ciudad","cd","Numérico","2","41"
"Ciudad","cd","Numérico","2","42"
"Ciudad","cd","Numérico","2","43"
"Ciudad","cd","Numérico","2","45"
"Ciudad","cd","Numérico","2","46"
"Ciudad","cd","Numérico","2","47"
"Ciudad","cd","Numérico","2","48"
"Ciudad","cd","Numérico","2","49"
"Ciudad","cd","Numérico","2","50"
"Ciudad","cd","Numérico","2","51"
"Ciudad","cd","Numérico","2","52"
"Ciudad","cd","Numérico","2","53"
"Ciudad","cd","Numérico","2","54"
"Periodo de la entrevista","per","Numérico","4","0316"
"Resultado definitivo","r_def","Numérico","2","01"
"Hogar mudado","h_mud","Numérico","1","0-4"
"Seleccionado Mudado","s_mud","Numérico","1","0-4"
"Tipo de cuestionario","tipo_cuest","Alfanumérico","1","E"
"Tipo de cuestionario","tipo_cuest","Alfanumérico","1","P"
"Número de entrevista","n_ent","Numérico","1","1…5"
"Clase de vivienda","ap1_1","Numérico","1","1"
"Clase de vivienda","ap1_1","Numérico","1","2"
"Clase de vivienda","ap1_1","Numérico","1","3"
"Clase de vivienda","ap1_1","Numérico","1","4"
"Clase de vivienda","ap1_1","Numérico","1","5"
"Acceso a la vivienda","ap1_2","Numérico","1","1"
"Acceso a la vivienda","ap1_2","Numérico","1","2"
"Personas en la vivienda","ap2_1","Numérico","2","01…30"
"Gasto común","ap2_2","Numérico","1","1"
"Gasto común","ap2_2","Numérico","1","2"
"Número de hogares","ap2_3","Numérico","2","02 … 06"
"Número de hogares","ap2_3","Numérico","2","b"
"Personas del hogar principal","ap2_4","Numérico","2","01 … 29"
"Personas del hogar principal","ap2_4","Numérico","2","b"
"Factor de expansión de vivienda","fac_viv","Numérico","6","""000001 … 999999"""
"DOMINIO","dominio","Alfanumérico","1","U"
"Estrato","est","Numérico","1","1,2,3,4"
"Unidad primaria de muestreo de diseño","upm_dis","Numérico","7","0100001…3299999"
"Estrato de diseño","est_dis","Numérico","4","""001 … 500"""
