"BP4_4_6_3","descrip"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"10
","Sin parentesco"
"09
","Otro familiar"
"08
","Hermano(a)"
"07
","Hijo(a) mayor de edad"
"06
","Hijo(a) menor de edad"
"05
","Abuelo(a)"
"04
","Padrastro/madrastra"
"03
","Madre"
"02
","Padre"
"01
","Esposo(a)/pareja sentimental"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"1
","Sí"
"0
","No se declaró como respuesta afirmativa"
"10
","Sin parentesco"
