"UPM","PRO_VIV","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","AP1_1","AP1_2","AP2_1","AP2_2","AP2_3","AP2_4","FAC_VIV","DOMINIO","EST","UPM_DIS","EST_DIS"
"1518124
","071
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","02
","1
","
","
","644
","U
","2
","30730
","0630
"
"1518124
","092
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","06
","1
","
","
","644
","U
","2
","30730
","0630
"
"1518124
","110
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","04
","1
","
","
","644
","U
","2
","30730
","0630
"
"1518124
","023
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","04
","1
","
","
","644
","U
","2
","30730
","0630
"
"1518124
","048
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","02
","1
","
","
","644
","U
","2
","30730
","0630
"
"1518132
","109
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","02
","1
","
","
","619
","U
","2
","30740
","0630
"
"1518132
","018
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","619
","U
","2
","30740
","0630
"
"1518132
","040
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","06
","2
","02
","02
","619
","U
","2
","30740
","0630
"
"1518148
","074
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","04
","1
","
","
","711
","U
","3
","30750
","0640
"
"1518148
","019
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","05
","1
","
","
","711
","U
","3
","30750
","0640
"
"1518148
","106
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","06
","1
","
","
","711
","U
","3
","30750
","0640
"
"1518162
","027
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","04
","2
","02
","01
","750
","U
","2
","30760
","0630
"
"1518162
","057
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","07
","2
","02
","04
","750
","U
","2
","30760
","0630
"
"1518162
","087
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","03
","1
","
","
","750
","U
","2
","30760
","0630
"
"1518162
","120
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","02
","1
","
","
","750
","U
","2
","30760
","0630
"
"1518162
","021
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","10
","2
","02
","06
","750
","U
","2
","30760
","0630
"
"1518167
","020
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","04
","1
","
","
","619
","U
","3
","30770
","0640
"
"1518167
","037
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","04
","1
","
","
","619
","U
","3
","30770
","0640
"
"1518167
","012
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","05
","1
","
","
","619
","U
","3
","30770
","0640
"
"1518167
","062
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","02
","1
","
","
","619
","U
","3
","30770
","0640
"
"1518167
","087
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","02
","1
","
","
","619
","U
","3
","30770
","0640
"
"1518193
","003
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","02
","1
","
","
","681
","U
","3
","30780
","0640
"
"1518193
","040
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","01
","1
","
","
","681
","U
","3
","30780
","0640
"
"1518193
","058
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","05
","1
","
","
","681
","U
","3
","30780
","0640
"
"1518193
","077
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","04
","1
","
","
","681
","U
","3
","30780
","0640
"
"1518243
","031
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","716
","U
","4
","30790
","0650
"
"1518243
","102
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","716
","U
","4
","30790
","0650
"
"1518243
","162
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","716
","U
","4
","30790
","0650
"
"1518258
","092
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","764
","U
","3
","30800
","0640
"
"1518258
","117
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","764
","U
","3
","30800
","0640
"
"1518258
","061
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","764
","U
","3
","30800
","0640
"
"1518258
","087
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","05
","1
","
","
","764
","U
","3
","30800
","0640
"
"1518258
","027
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","05
","1
","
","
","764
","U
","3
","30800
","0640
"
"1518280
","052
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","04
","1
","
","
","600
","U
","2
","30810
","0630
"
"1518280
","069
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","03
","1
","
","
","600
","U
","2
","30810
","0630
"
"1518280
","004
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","05
","1
","
","
","600
","U
","2
","30810
","0630
"
"1518280
","019
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","03
","1
","
","
","600
","U
","2
","30810
","0630
"
"1518280
","036
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","02
","1
","
","
","600
","U
","2
","30810
","0630
"
"1518310
","084
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","05
","1
","
","
","664
","U
","2
","30820
","0630
"
"1518310
","008
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","02
","1
","
","
","664
","U
","2
","30820
","0630
"
"1518310
","055
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","01
","1
","
","
","664
","U
","2
","30820
","0630
"
"1518310
","075
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","02
","1
","
","
","664
","U
","2
","30820
","0630
"
"1518310
","030
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","04
","1
","
","
","664
","U
","2
","30820
","0630
"
"1518325
","099
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","01
","1
","
","
","739
","U
","2
","30830
","0630
"
"1518325
","057
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","03
","1
","
","
","739
","U
","2
","30830
","0630
"
"1518325
","082
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","02
","1
","
","
","739
","U
","2
","30830
","0630
"
"1518325
","017
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","05
","1
","
","
","739
","U
","2
","30830
","0630
"
"1518348
","049
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","701
","U
","3
","30840
","0640
"
"1518348
","078
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","05
","2
","03
","03
","701
","U
","3
","30840
","0640
"
"1518348
","106
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","06
","1
","
","
","701
","U
","3
","30840
","0640
"
"1518348
","137
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","701
","U
","3
","30840
","0640
"
"1518348
","010
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","701
","U
","3
","30840
","0640
"
"1518376
","019
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","2
","2
","01
","1
","
","
","589
","U
","3
","30850
","0640
"
"1518376
","041
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","2
","2
","04
","1
","
","
","589
","U
","3
","30850
","0640
"
"1518376
","067
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","2
","2
","01
","1
","
","
","589
","U
","3
","30850
","0640
"
"1518376
","004
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","04
","1
","
","
","589
","U
","3
","30850
","0640
"
"1518407
","005
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","2
","03
","1
","
","
","662
","U
","3
","30860
","0640
"
"1518407
","055
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","1
","02
","1
","
","
","662
","U
","3
","30860
","0640
"
"1518407
","085
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","1
","03
","1
","
","
","662
","U
","3
","30860
","0640
"
"1518417
","014
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","2
","2
","04
","1
","
","
","643
","U
","3
","30870
","0640
"
"1518417
","040
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","2
","2
","02
","1
","
","
","643
","U
","3
","30870
","0640
"
"1518417
","073
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","2
","2
","04
","1
","
","
","643
","U
","3
","30870
","0640
"
"1518417
","099
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","2
","2
","01
","1
","
","
","643
","U
","3
","30870
","0640
"
"1518417
","024
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","2
","2
","01
","1
","
","
","643
","U
","3
","30870
","0640
"
"1518422
","044
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","2
","2
","04
","1
","
","
","689
","U
","3
","30880
","0640
"
"1518422
","085
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","01
","1
","
","
","689
","U
","3
","30880
","0640
"
"1518422
","088
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","1
","2
","02
","1
","
","
","689
","U
","3
","30880
","0640
"
"1518422
","020
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","2
","2
","02
","1
","
","
","689
","U
","3
","30880
","0640
"
"1518441
","094
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","2
","05
","1
","
","
","629
","U
","3
","30890
","0640
"
"1518441
","052
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","2
","03
","1
","
","
","629
","U
","3
","30890
","0640
"
"1518441
","074
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","2
","03
","1
","
","
","629
","U
","3
","30890
","0640
"
"1518441
","041
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","2
","04
","1
","
","
","629
","U
","3
","30890
","0640
"
"1518452
","073
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","04
","1
","
","
","449
","U
","2
","30900
","0630
"
"1518452
","094
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","05
","1
","
","
","449
","U
","2
","30900
","0630
"
"1518452
","117
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","03
","1
","
","
","449
","U
","2
","30900
","0630
"
"1518452
","025
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","07
","1
","
","
","449
","U
","2
","30900
","0630
"
"1518452
","047
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","02
","1
","
","
","449
","U
","2
","30900
","0630
"
"1518470
","028
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","03
","1
","
","
","690
","U
","2
","30910
","0630
"
"1518470
","058
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","11
","2
","04
","01
","690
","U
","2
","30910
","0630
"
"1518470
","089
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","690
","U
","2
","30910
","0630
"
"1518470
","121
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","690
","U
","2
","30910
","0630
"
"1518470
","151
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","05
","1
","
","
","690
","U
","2
","30910
","0630
"
"1518577
","028
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","1
","02
","1
","
","
","668
","U
","3
","30920
","0640
"
"1518577
","047
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","06
","1
","
","
","668
","U
","3
","30920
","0640
"
"1518577
","068
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","07
","2
","02
","06
","668
","U
","3
","30920
","0640
"
"1518577
","089
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","1
","02
","1
","
","
","668
","U
","3
","30920
","0640
"
"1518577
","018
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","03
","1
","
","
","668
","U
","3
","30920
","0640
"
"1518620
","021
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","02
","1
","
","
","717
","U
","3
","30930
","0640
"
"1518620
","058
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","717
","U
","3
","30930
","0640
"
"1518620
","094
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","717
","U
","3
","30930
","0640
"
"1518620
","129
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","05
","1
","
","
","717
","U
","3
","30930
","0640
"
"1518620
","165
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","01
","1
","
","
","717
","U
","3
","30930
","0640
"
"1518624
","023
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","649
","U
","3
","30940
","0640
"
"1518624
","040
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","01
","1
","
","
","649
","U
","3
","30940
","0640
"
"1518624
","060
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","649
","U
","3
","30940
","0640
"
"1518637
","009
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","01
","1
","
","
","648
","U
","3
","30950
","0640
"
"1518637
","052
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","648
","U
","3
","30950
","0640
"
"1518637
","100
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","648
","U
","3
","30950
","0640
"
"1518642
","026
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","04
","1
","
","
","584
","U
","3
","30960
","0640
"
"1518642
","113
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","03
","1
","
","
","584
","U
","3
","30960
","0640
"
"1518642
","145
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","1
","2
","06
","1
","
","
","584
","U
","3
","30960
","0640
"
"1518648
","021
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","02
","1
","
","
","702
","U
","3
","30970
","0640
"
"1518648
","049
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","08
","2
","02
","02
","702
","U
","3
","30970
","0640
"
"1518648
","080
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","03
","1
","
","
","702
","U
","3
","30970
","0640
"
"1518648
","108
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","1
","01
","1
","
","
","702
","U
","3
","30970
","0640
"
"1518648
","135
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","01
","1
","
","
","702
","U
","3
","30970
","0640
"
"1518658
","102
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","3
","2
","03
","1
","
","
","577
","U
","2
","30980
","0630
"
"1518658
","127
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","08
","1
","
","
","577
","U
","2
","30980
","0630
"
"1518658
","028
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","577
","U
","2
","30980
","0630
"
"1518658
","053
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","05
","1
","
","
","577
","U
","2
","30980
","0630
"
"1518658
","015
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","2
","1
","03
","1
","
","
","577
","U
","2
","30980
","0630
"
"1518675
","015
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","1
","02
","1
","
","
","614
","U
","3
","30990
","0640
"
"1518675
","034
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","1
","03
","1
","
","
","614
","U
","3
","30990
","0640
"
"1518675
","067
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","1
","03
","1
","
","
","614
","U
","3
","30990
","0640
"
"1518675
","092
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","1
","2
","1
","04
","1
","
","
","614
","U
","3
","30990
","0640
"
"1518678
","001
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","2
","1
","05
","1
","
","
","718
","U
","3
","31000
","0640
"
"1518678
","023
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","2
","1
","03
","1
","
","
","718
","U
","3
","31000
","0640
"
"1518678
","044
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","2
","1
","04
","1
","
","
","718
","U
","3
","31000
","0640
"
"1518678
","091
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","2
","1
","01
","1
","
","
","718
","U
","3
","31000
","0640
"
"1518678
","055
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","4
","2
","1
","06
","1
","
","
","718
","U
","3
","31000
","0640
"
"1518696
","007
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","05
","1
","
","
","593
","U
","2
","31010
","0630
"
"1518696
","025
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","3
","2
","03
","1
","
","
","593
","U
","2
","31010
","0630
"
"1518696
","043
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","593
","U
","2
","31010
","0630
"
"1518696
","059
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","593
","U
","2
","31010
","0630
"
"1518696
","075
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","1
","2
","03
","1
","
","
","593
","U
","2
","31010
","0630
"
"1518702
","023
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","06
","1
","
","
","778
","U
","2
","31020
","0630
"
"1518702
","135
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","09
","2
","03
","02
","778
","U
","2
","31020
","0630
"
"1518702
","188
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","5
","1
","2
","04
","1
","
","
","778
","U
","2
","31020
","0630
"
"1518734
","005
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","749
","U
","3
","31030
","0640
"
"1518734
","029
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","749
","U
","3
","31030
","0640
"
"1518734
","051
","03
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","05
","1
","
","
","749
","U
","3
","31030
","0640
"
"1518734
","074
","04
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","749
","U
","3
","31030
","0640
"
"1518734
","096
","05
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","3
","1
","2
","01
","1
","
","
","749
","U
","3
","31030
","0640
"
"1518761
","011
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","0
","-
","2
","2
","2
","02
","1
","
","
","704
","U
","3
","31040
","0640
"
