UPM,PRO_VIV,VIV_SEL,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,LOC,CD,PER,R_DEF,H_MUD,S_MUD,TIPO_CUEST,N_ENT,AP1_1,AP1_2,AP2_1,AP2_2,AP2_3,AP2_4,FAC_VIV,DOMINIO,EST,UPM_DIS,EST_DIS
100188,40,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,1,-,4,1,2,3,1,,,965,U,3,10,960
100188,63,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,3,1,,,965,U,3,10,960
100188,83,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,1,1,,,965,U,3,10,960
100188,106,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,1,1,,,965,U,3,10,960
100188,18,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,1,1,,,965,U,3,10,960
100221,73,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,5,1,,,882,U,4,20,970
100221,94,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,2,1,,,882,U,4,20,970
100221,48,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,1,1,,,882,U,4,20,970
100221,6,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,3,1,,,882,U,4,20,970
100221,25,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,2,1,,,882,U,4,20,970
100295,2,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,1,1,,,823,U,4,30,970
100295,96,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,3,1,,,823,U,4,30,970
100295,73,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,1,-,3,1,2,2,1,,,823,U,4,30,970
100310,58,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,2,1,,,716,U,3,40,960
100310,51,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,4,1,,,716,U,3,40,960
100310,73,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,1,1,,,716,U,3,40,960
100310,7,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,1,1,,,716,U,3,40,960
100374,43,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,4,1,,,761,U,4,50,970
100374,64,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,1,-,4,1,2,6,1,,,761,U,4,50,970
100374,99,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,5,1,,,761,U,4,50,970
100374,22,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,1,-,4,1,2,1,1,,,761,U,4,50,970
100391,338,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,3,1,,,769,U,3,60,960
100432,3,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,6,1,,,946,U,2,70,950
100432,27,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,3,1,,,946,U,2,70,950
100432,54,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,8,1,,,946,U,2,70,950
100432,101,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,1,1,,,946,U,2,70,950
100583,82,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,4,1,,,893,U,4,80,970
100583,101,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,2,1,,,893,U,4,80,970
100583,61,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,5,1,,,893,U,4,80,970
100583,7,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,4,1,,,893,U,4,80,970
100583,27,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,1,-,3,1,2,2,1,,,893,U,4,80,970
100586,39,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,3,1,,,850,U,4,90,970
100586,59,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,5,1,,,850,U,4,90,970
100586,101,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,3,1,,,850,U,4,90,970
100586,66,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,1,1,,,850,U,4,90,970
100586,13,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,4,1,,,850,U,4,90,970
100595,10,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,2,1,,,984,U,2,100,950
100595,33,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,2,2,2,1,,,984,U,2,100,950
100595,91,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,1,1,-,4,3,2,3,1,,,984,U,2,100,950
100595,44,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,12,2,4,1,984,U,2,100,950
100595,66,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,1,1,,,984,U,2,100,950
100747,51,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,1,1,2,4,1,,,977,U,2,110,950
100747,74,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,1,1,2,7,1,,,977,U,2,110,950
100747,96,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,1,1,2,1,1,,,977,U,2,110,950
100747,7,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,1,1,2,6,1,,,977,U,2,110,950
100747,29,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,1,3,2,4,1,,,977,U,2,110,950
100828,8,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,2,1,,,1015,U,3,120,960
100828,29,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,1,-,3,1,2,3,1,,,1015,U,3,120,960
100828,51,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,1,1,,,1015,U,3,120,960
100828,74,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,2,1,,,1015,U,3,120,960
100828,98,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,1,1,,,1015,U,3,120,960
101162,18,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,2,1,,,1026,U,3,130,960
101162,46,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,5,1,,,1026,U,3,130,960
101162,73,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,3,1,,,1026,U,3,130,960
101162,99,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,5,1,,,1026,U,3,130,960
101215,5,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,7,1,,,1019,U,3,140,960
101215,30,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,3,1,,,1019,U,3,140,960
101215,53,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,3,1,,,1019,U,3,140,960
101215,78,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,4,1,,,1019,U,3,140,960
101215,104,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,2,1,2,4,1,,,1019,U,3,140,960
101230,83,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,1,1,,,933,U,3,150,960
101230,111,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,1,-,4,1,2,5,1,,,933,U,3,150,960
101230,10,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,5,1,,,933,U,3,150,960
101230,33,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,4,1,,,933,U,3,150,960
101230,60,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,1,-,4,1,2,7,1,,,933,U,3,150,960
101233,40,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,1,2,-,4,1,2,1,1,,,854,U,3,160,960
101233,55,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,6,1,,,854,U,3,160,960
101233,73,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,2,3,1,,,854,U,3,160,960
101233,26,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,4,1,1,4,1,,,854,U,3,160,960
101245,100,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,5,1,,,984,U,2,170,950
101245,130,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,8,2,2,3,984,U,2,170,950
101245,83,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,4,1,,,984,U,2,170,950
101245,14,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,4,1,,,984,U,2,170,950
101245,41,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,8,2,2,4,984,U,2,170,950
101256,81,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,5,1,,,817,U,4,180,970
101256,100,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,5,1,,,817,U,4,180,970
101256,44,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,2,1,,,817,U,4,180,970
101256,68,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,4,1,,,817,U,4,180,970
101256,24,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,5,1,,,817,U,4,180,970
101263,22,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,8,2,2,3,937,U,2,190,950
101263,42,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,5,1,,,937,U,2,190,950
101263,64,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,8,1,,,937,U,2,190,950
101263,83,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,3,1,2,5,1,,,937,U,2,190,950
101263,109,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,1,-,3,1,2,3,1,,,937,U,2,190,950
101273,23,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,5,1,2,4,1,,,999,U,3,200,960
101273,47,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,1,1,-,5,1,2,4,1,,,999,U,3,200,960
101273,17,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,5,1,2,6,1,,,999,U,3,200,960
101273,71,4,1,Aguascalientes,1,Aguascalientes,1,1,119,1,1,1,-,5,1,2,1,1,,,999,U,3,200,960
101273,90,5,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,5,1,2,1,1,,,999,U,3,200,960
101283,3,1,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,1,2,2,6,1,,,758,U,3,210,960
101283,69,2,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,1,2,2,5,1,,,758,U,3,210,960
101283,109,3,1,Aguascalientes,1,Aguascalientes,1,1,119,1,0,0,-,1,2,2,1,1,,,758,U,3,210,960
