"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Ciudad Autorrepresentada","cd","carácter","2","01"
"Ciudad Autorrepresentada","cd","carácter","2","02"
"Ciudad Autorrepresentada","cd","carácter","2","03"
"Ciudad Autorrepresentada","cd","carácter","2","04"
"Ciudad Autorrepresentada","cd","carácter","2","05"
"Ciudad Autorrepresentada","cd","carácter","2","07"
"Ciudad Autorrepresentada","cd","carácter","2","08"
"Ciudad Autorrepresentada","cd","carácter","2","09"
"Ciudad Autorrepresentada","cd","carácter","2","10"
"Ciudad Autorrepresentada","cd","carácter","2","12"
"Ciudad Autorrepresentada","cd","carácter","2","13"
"Ciudad Autorrepresentada","cd","carácter","2","14"
"Ciudad Autorrepresentada","cd","carácter","2","15"
"Ciudad Autorrepresentada","cd","carácter","2","16"
"Ciudad Autorrepresentada","cd","carácter","2","17"
"Ciudad Autorrepresentada","cd","carácter","2","18"
"Ciudad Autorrepresentada","cd","carácter","2","19"
"Ciudad Autorrepresentada","cd","carácter","2","21"
"Ciudad Autorrepresentada","cd","carácter","2","24"
"Ciudad Autorrepresentada","cd","carácter","2","25"
"Ciudad Autorrepresentada","cd","carácter","2","26"
"Ciudad Autorrepresentada","cd","carácter","2","27"
"Ciudad Autorrepresentada","cd","carácter","2","29"
"Ciudad Autorrepresentada","cd","carácter","2","28"
"Ciudad Autorrepresentada","cd","carácter","2","31"
"Ciudad Autorrepresentada","cd","carácter","2","32"
"Ciudad Autorrepresentada","cd","carácter","2","33"
"Ciudad Autorrepresentada","cd","carácter","2","36"
"Ciudad Autorrepresentada","cd","carácter","2","39"
"Ciudad Autorrepresentada","cd","carácter","2","40"
"Ciudad Autorrepresentada","cd","carácter","2","41"
"Ciudad Autorrepresentada","cd","carácter","2","43"
"Percepción de seguridad en la ciudad","p1","Numérico","1","1"
"Percepción de seguridad en la ciudad","p1","Numérico","1","2"
"Percepción de seguridad en la ciudad","p1","Numérico","1","9"
"Percepción de tendencia de seguridad pública en su ciudad","p2","Numérico","1","1"
"Percepción de tendencia de seguridad pública en su ciudad","p2","Numérico","1","2"
"Percepción de tendencia de seguridad pública en su ciudad","p2","Numérico","1","3"
"Percepción de tendencia de seguridad pública en su ciudad","p2","Numérico","1","4"
"Percepción de tendencia de seguridad pública en su ciudad","p2","Numérico","1","9"
"Incivilidades en los alrededores de su vivienda: vandalismo (grafitis, pintas, vidrios quebrados o daños) en las viviendas o negocios.","p3_1","Numérico","1","1"
"Incivilidades en los alrededores de su vivienda: vandalismo (grafitis, pintas, vidrios quebrados o daños) en las viviendas o negocios.","p3_1","Numérico","1","2"
"Incivilidades en los alrededores de su vivienda: vandalismo (grafitis, pintas, vidrios quebrados o daños) en las viviendas o negocios.","p3_1","Numérico","1","9"
"Incivilidades en los alrededores de su vivienda: consumo de alcohol en las calles.","p3_2","Numérico","1","1"
"Incivilidades en los alrededores de su vivienda: consumo de alcohol en las calles.","p3_2","Numérico","1","2"
"Incivilidades en los alrededores de su vivienda: robos o asaltos.","p3_3","Numérico","1","1"
"Incivilidades en los alrededores de su vivienda: robos o asaltos.","p3_3","Numérico","1","2"
"Incivilidades en los alrededores de su vivienda: robos o asaltos.","p3_3","Numérico","1","9"
"Incivilidades en los alrededores de su vivienda: bandas violentas o pandillerismo.","p3_4","Numérico","1","1"
"Incivilidades en los alrededores de su vivienda: bandas violentas o pandillerismo.","p3_4","Numérico","1","2"
"Incivilidades en los alrededores de su vivienda: bandas violentas o pandillerismo.","p3_4","Numérico","1","9"
"Incivilidades en los alrededores de su vivienda: venta o consumo de droga.","p3_5","Numérico","1","1"
"Incivilidades en los alrededores de su vivienda: venta o consumo de droga.","p3_5","Numérico","1","2"
"Incivilidades en los alrededores de su vivienda: venta o consumo de droga.","p3_5","Numérico","1","9"
"Incivilidades en los alrededores de su vivienda: disparos frecuentes con armas.","p3_6","Numérico","1","1"
"Incivilidades en los alrededores de su vivienda: disparos frecuentes con armas.","p3_6","Numérico","1","2"
"Incivilidades en los alrededores de su vivienda: disparos frecuentes con armas.","p3_6","Numérico","1","9"
"Cambiar sus hábitos respecto a llevar cosas de valor por temor a sufrir algún delito.","p4_1","Numérico","1","1"
"Cambiar sus hábitos respecto a llevar cosas de valor por temor a sufrir algún delito.","p4_1","Numérico","1","2"
"Cambiar sus hábitos respecto a llevar cosas de valor por temor a sufrir algún delito.","p4_1","Numérico","1","3"
"Cambiar sus hábitos respecto a llevar cosas de valor por temor a sufrir algún delito.","p4_1","Numérico","1","9"
"Cambiar sus hábitos respecto a caminar por los alrededores de su vivienda, pasadas las ocho de la noche, por temor a sufrir algún delito.","p4_2","Numérico","1","1"
"Cambiar sus hábitos respecto a caminar por los alrededores de su vivienda, pasadas las ocho de la noche, por temor a sufrir algún delito.","p4_2","Numérico","1","2"
"Cambiar sus hábitos respecto a caminar por los alrededores de su vivienda, pasadas las ocho de la noche, por temor a sufrir algún delito.","p4_2","Numérico","1","3"
"Cambiar sus hábitos respecto a caminar por los alrededores de su vivienda, pasadas las ocho de la noche, por temor a sufrir algún delito.","p4_2","Numérico","1","9"
"Cambiar sus hábitos respecto a visitar a parientes o amigos por temor a sufrir algún delito.","p4_3","Numérico","1","1"
"Cambiar sus hábitos respecto a visitar a parientes o amigos por temor a sufrir algún delito.","p4_3","Numérico","1","2"
"Cambiar sus hábitos respecto a visitar a parientes o amigos por temor a sufrir algún delito.","p4_3","Numérico","1","3"
"Cambiar sus hábitos respecto a visitar a parientes o amigos por temor a sufrir algún delito.","p4_3","Numérico","1","9"
"Cambiar sus hábitos respecto a permitir que salgan de su vivienda sus hijos menores por temor a sufrir algún delito.","p4_4","Numérico","1","1"
"Cambiar sus hábitos respecto a permitir que salgan de su vivienda sus hijos menores por temor a sufrir algún delito.","p4_4","Numérico","1","2"
"Cambiar sus hábitos respecto a permitir que salgan de su vivienda sus hijos menores por temor a sufrir algún delito.","p4_4","Numérico","1","3"
"Cambiar sus hábitos respecto a permitir que salgan de su vivienda sus hijos menores por temor a sufrir algún delito.","p4_4","Numérico","1","9"
"Cambiar sus hábitos respecto a otra situación por temor a sufrir algún delito.","p4_5","Numérico","1","1"
"Cambiar sus hábitos respecto a otra situación por temor a sufrir algún delito.","p4_5","Numérico","1","2"
"Cambiar sus hábitos respecto a otra situación por temor a sufrir algún delito.","p4_5","Numérico","1","3"
"Cambiar sus hábitos respecto a otra situación por temor a sufrir algún delito.","p4_5","Numérico","1","9"
"Identificación de las autoridades: Policía Preventiva Municipal","p5_1","Numérico","1","1"	
"Identificación de las autoridades: Policía Preventiva Municipal","p5_1","Numérico","1","2"	
"Identificación de las autoridades: Policía Preventiva Municipal","p5_1","Numérico","1","3"	
"Identificación de las autoridades: Policía Preventiva Municipal","p5_1","Numérico","1","9"	
"Identificación de las autoridades: Policía Estatal","p5_2","Numérico","1","1"
"Identificación de las autoridades: Policía Estatal","p5_2","Numérico","1","2"
"Identificación de las autoridades: Policía Estatal","p5_2","Numérico","1","3"
"Identificación de las autoridades: Policía Estatal","p5_2","Numérico","1","9"
"Identificación de las autoridades: Policía Federal","p5_3","Numérico","1","1"
"Identificación de las autoridades: Policía Federal","p5_3","Numérico","1","2"
"Identificación de las autoridades: Policía Federal","p5_3","Numérico","1","3"
"Identificación de las autoridades: Policía Federal","p5_3","Numérico","1","9"
"Identificación de las autoridades: Policía Gendarmería Nacional","p5_4","Numérico","1","1"
"Identificación de las autoridades: Policía Gendarmería Nacional","p5_4","Numérico","1","2"
"Identificación de las autoridades: Policía Gendarmería Nacional","p5_4","Numérico","1","3"
"Identificación de las autoridades: Policía Gendarmería Nacional","p5_4","Numérico","1","9"
"Percepción de efectividad en las autoridades: Policía Preventiva Municipal","p6_1","Numérico","1","1"	
"Percepción de efectividad en las autoridades: Policía Preventiva Municipal","p6_1","Numérico","1","2"	
"Percepción de efectividad en las autoridades: Policía Preventiva Municipal","p6_1","Numérico","1","3"	
"Percepción de efectividad en las autoridades: Policía Preventiva Municipal","p6_1","Numérico","1","4"	
"Percepción de efectividad en las autoridades: Policía Preventiva Municipal","p6_1","Numérico","1","9"	
"Percepción de efectividad en las autoridades: Policía Estatal","p6_2","Numérico","1","1"	
