"cd","descrip"
"01","Aguascalientes"
"02","Mexicali"
"03","Tijuana"
"04","La Paz"
"05","Campeche"
"06","Saltillo"
"07","Torreón"
"08","Piedras Negras"
"09","Colima"
"10","Manzanillo"
"11","Tuxtla Gutiérrez"
"12","Tapachula"
"13","Chihuahua"
"14","Ciudad Juárez"
"15","Cdmx Norte"
"16","Cdmx Sur"
"17","Cdmx Oriente"
"18","Cdmx Poniente"
"19","Durango"
"20","León"
"21","Acapulco"
"22","Chilpancingo De Los Bravo"
"23","Pachuca"
"25","Puerto Vallarta"
"26","Toluca"
"27","Ecatepec De Morelos"
"28","Ciudad Nezahualcóyotl"
"29","Morelia"
"30","Uruapan"
"31","Lázaro Cárdenas"
"32","Cuernavaca"
"33","Tepic"
"35","Oaxaca"
"36","Puebla"
"37","Querétaro"
"38","Cancún"
"39","San Luis Potosí"
"40","Culiacán Rosales"
"41","Mazatlán"
"42","Los Mochis"
"43","Hermosillo"
"44","Nogales"
"45","Villahermosa"
"46","Tampico"
"47","Reynosa"
"48","Nuevo Laredo"
"49","Tlaxcala"
"50","Veracruz"
"51","Coatzacoalcos"
"52","Mérida"
"53","Zacatecas"
"54","Fresnillo"
"55","Los Cabos"
"56","Ciudad Del Carmen"
"57","Guanajuato"
"58","Ixtapa"
"59","Guadalajara"
"60","Tonalá"
"61","Tlajomulco de Zúñiga"
"62","San Pedro Tlaquepaque"
"63","Zapopan"
"64","Monterrey"
"65","San Pedro Garza García"
"66","Apodaca"
"67","Guadalupe"
"68","General Escobedo"
"69","San Nicolás de los Garza"
"70","Santa Catarina"
