"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Unidad primaria de muestreo ","UPM","Numérico","7","0100001…3299999"
"Progresivo de Vivienda","PRO_VIV","Numérico","3","001-999"
"Vivienda seleccionada","VIV_SEL","Numérico","2","01…99"
"Clave Entidad","CVE_ENT","Numérico","2","01...32"
"Nombre de la Entidad","NOM_ENT","Alfanumérico","250","Texto mínimo 2 caracteres"
"Municipio","CVE_MUN","Numérico","3","001-570"
"Nombre del Municipio","NOM_MUN","Alfanumérico","250","Texto mínimo 2 caracteres"
"Localidad","LOC","Numérico","4","0000-1600"
"Ciudad","CD","Numérico","2","01"
"Ciudad","CD","Numérico","2","02"
"Ciudad","CD","Numérico","2","03"
"Ciudad","CD","Numérico","2","04"
"Ciudad","CD","Numérico","2","05"
"Ciudad","CD","Numérico","2","06"
"Ciudad","CD","Numérico","2","07"
"Ciudad","CD","Numérico","2","08"
"Ciudad","CD","Numérico","2","09"
"Ciudad","CD","Numérico","2","10"
"Ciudad","CD","Numérico","2","11"
"Ciudad","CD","Numérico","2","12"
"Ciudad","CD","Numérico","2","13"
"Ciudad","CD","Numérico","2","14"
"Ciudad","CD","Numérico","2","15"
"Ciudad","CD","Numérico","2","16"
"Ciudad","CD","Numérico","2","17"
"Ciudad","CD","Numérico","2","18"
"Ciudad","CD","Numérico","2","19"
"Ciudad","CD","Numérico","2","20"
"Ciudad","CD","Numérico","2","21"
"Ciudad","CD","Numérico","2","22"
"Ciudad","CD","Numérico","2","23"
"Ciudad","CD","Numérico","2","25"
"Ciudad","CD","Numérico","2","26"
"Ciudad","CD","Numérico","2","27"
"Ciudad","CD","Numérico","2","28"
"Ciudad","CD","Numérico","2","29"
"Ciudad","CD","Numérico","2","30"
"Ciudad","CD","Numérico","2","31"
"Ciudad","CD","Numérico","2","32"
"Ciudad","CD","Numérico","2","33"
"Ciudad","CD","Numérico","2","35"
"Ciudad","CD","Numérico","2","36"
"Ciudad","CD","Numérico","2","37"
"Ciudad","CD","Numérico","2","38"
"Ciudad","CD","Numérico","2","39"
"Ciudad","CD","Numérico","2","40"
"Ciudad","CD","Numérico","2","41"
"Ciudad","CD","Numérico","2","42"
"Ciudad","CD","Numérico","2","43"
"Ciudad","CD","Numérico","2","44"
"Ciudad","CD","Numérico","2","45"
"Ciudad","CD","Numérico","2","46"
"Ciudad","CD","Numérico","2","47"
"Ciudad","CD","Numérico","2","48"
"Ciudad","CD","Numérico","2","49"
"Ciudad","CD","Numérico","2","50"
"Ciudad","CD","Numérico","2","51"
"Ciudad","CD","Numérico","2","52"
"Ciudad","CD","Numérico","2","53"
"Ciudad","CD","Numérico","2","54"
"Ciudad","CD","Numérico","2","55"
"Ciudad","CD","Numérico","2","56"
"Ciudad","CD","Numérico","2","57"
"Ciudad","CD","Numérico","2","58"
"Ciudad","CD","Numérico","2","59"
"Ciudad","CD","Numérico","2","60"
"Ciudad","CD","Numérico","2","61"
"Ciudad","CD","Numérico","2","62"
"Ciudad","CD","Numérico","2","63"
"Ciudad","CD","Numérico","2","64"
"Ciudad","CD","Numérico","2","65"
"Ciudad","CD","Numérico","2","66"
"Ciudad","CD","Numérico","2","67"
"Ciudad","CD","Numérico","2","68"
"Ciudad","CD","Numérico","2","69"
"Ciudad","CD","Numérico","2","70"
"Periodo de la entrevista","PER","Numérico","4","0218"
"Resultado definitivo","R_DEF","Numérico","2","01"
"Resultado definitivo","R_DEF"," "," ","02"
"Resultado definitivo","R_DEF"," "," ","03"
"Resultado definitivo","R_DEF"," "," ","04"
"Resultado definitivo","R_DEF"," "," ","05"
"Resultado definitivo","R_DEF"," "," ","06"
"Resultado definitivo","R_DEF"," "," ","07"
"Resultado definitivo","R_DEF"," "," ","08"
"Resultado definitivo","R_DEF"," "," ","09"
"Resultado definitivo","R_DEF"," "," ","10"
"Resultado definitivo","R_DEF"," "," ","11"
"Resultado definitivo","R_DEF"," "," ","12"
"Hogar mudado","H_MUD","Numérico","1","0-4"
"Seleccionado Mudado ","S_MUD","Numérico","1","0-4"
"Tipo de cuestionario","TIPO_CUEST","Alfanumérico","1","-"
"Número de entrevista","N_ENT","Numérico","1","1…5"
"Clase de vivienda","AP1_1","Numérico","1","1"
"Clase de vivienda","AP1_1","Numérico","1","2"
"Clase de vivienda","AP1_1","Numérico","1","3"
"Clase de vivienda","AP1_1","Numérico","1","4"
"Clase de vivienda","AP1_1","Numérico","1","5"
"Acceso a la vivienda","AP1_2","Numérico","1","1"
"Acceso a la vivienda","AP1_2","Numérico","1","2"
"Personas en la vivienda","AP2_1","Numérico","2","01…30"
"Gasto común","AP2_2","Numérico","1","1"
"Gasto común","AP2_2","Numérico","1","2"
"Número de hogares","AP2_3","Numérico","2","02…06"
"Número de hogares","AP2_3","Numérico","2","b"
"Personas del hogar principal","AP2_4","Numérico","2","01…29"
"Personas del hogar principal","AP2_4","Numérico","2","b"
"Factor de expansión de vivienda","FAC_VIV","Numérico","6","""000001 … 999999"""
"DOMINIO","DOMINIO","Alfanumérico","1","U"
"Estrato","EST","Numérico","1","1,2,3,4"
"Unidad primaria de muestreo de diseño","UPM_DIS","Numérico","5","00001…99999"
"Estrato de diseño","EST_DIS","Numérico","4","""0001…9999"""
