"cd","descrip"
"01","Aguascalientes"
"02","Mexicali"
"03","Tijuana"
"04","La Paz"
"55","Los Cabos"
"05","San Francisco Campeche"
"56","Ciudad del Carmen"
"06","Saltillo"
"07","La Laguna"
"08","Piedras Negras"
"09","Colima"
"10","Manzanillo"
"11","Tuxtla Gutiérrez"
"12","Tapachula"
"13","Chihuahua"
"14","Ciudad Juárez"
"15","Ciudad de México Norte"
"16","Ciudad de México Sur"
"17","Ciudad de México Oriente"
"18","Ciudad de México Poniente"
"19","Durango"
"20","León"
"57","Guanajuato"
"21","Acapulco"
"22","Chilpancingo de los Bravo"
"58","Ixtapa-Zihuatanejo"
"23","Pachuca"
"59","Guadalajara"
"61","Tlajomulco de Zúñiga"
"62","San Pedro Tlaquepaque"
"60","Tonalá"
"63","Zapopan "
"25","Puerto Vallarta"
"26","Toluca"
"27","Ecatepec de Morelos"
"28","Ciudad Nezahualcóyotl"
"87","Tlalnepantla de Baz"
"88","Naucalpan de Juárez"
"29","Morelia"
"30","Uruapan"
"31","Lázaro Cárdenas"
"32","Cuernavaca"
"33","Tepic"
"66","Apodaca"
"65","San Pedro Garza García"
"68","Gral. Escobedo"
"67","Guadalupe"
"64","Monterrey"
"69","San Nicolás de los Garza"
"70","Santa Catarina"
"35","Oaxaca"
"36","Puebla"
"37","Querétaro"
"38","Cancún"
"39","San Luis Potosí"
"40","Culiacán"
"41","Mazatlán"
"42","Los Mochis"
"43","Hermosillo"
"44","Nogales"
"45","Villahermosa"
"46","Tampico"
"47","Reynosa"
"48","Nuevo Laredo"
"49","Tlaxcala"
"50","Veracruz"
"51","Coatzacoalcos"
"52","Mérida"
"53","Zacatecas"
"54","Fresnillo"
