"UPM","PRO_VIV","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","AP1_1","AP1_2","AP2_1","AP2_2","AP2_3","AP2_4","FAC_VIV","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100188
","040
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","1
","-
","5
","1
","2
","03
","1
","NA
","NA
","905
","U
","3
","00010
","0960
"
"0100188
","063
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","03
","1
","NA
","NA
","905
","U
","3
","00010
","0960
"
"0100188
","083
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","01
","1
","NA
","NA
","905
","U
","3
","00010
","0960
"
"0100188
","106
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","01
","1
","NA
","NA
","905
","U
","3
","00010
","0960
"
"0100188
","018
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","01
","1
","NA
","NA
","905
","U
","3
","00010
","0960
"
"0100221
","073
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","05
","1
","NA
","NA
","815
","U
","4
","00020
","0970
"
"0100221
","094
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","02
","1
","NA
","NA
","815
","U
","4
","00020
","0970
"
"0100221
","048
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","01
","1
","NA
","NA
","815
","U
","4
","00020
","0970
"
"0100221
","006
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","03
","1
","NA
","NA
","815
","U
","4
","00020
","0970
"
"0100221
","025
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","02
","1
","NA
","NA
","815
","U
","4
","00020
","0970
"
"0100295
","002
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","01
","1
","NA
","NA
","760
","U
","4
","00030
","0970
"
"0100295
","054
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","02
","1
","NA
","NA
","760
","U
","4
","00030
","0970
"
"0100295
","096
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","03
","1
","NA
","NA
","760
","U
","4
","00030
","0970
"
"0100295
","073
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","2
","-
","4
","1
","2
","01
","1
","NA
","NA
","760
","U
","4
","00030
","0970
"
"0100310
","058
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","02
","1
","NA
","NA
","672
","U
","3
","00040
","0960
"
"0100310
","051
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","1
","-
","5
","1
","2
","02
","1
","NA
","NA
","672
","U
","3
","00040
","0960
"
"0100310
","073
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","01
","1
","NA
","NA
","672
","U
","3
","00040
","0960
"
"0100310
","007
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","01
","1
","NA
","NA
","672
","U
","3
","00040
","0960
"
"0100374
","043
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","04
","1
","NA
","NA
","703
","U
","4
","00050
","0970
"
"0100374
","064
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","1
","-
","5
","1
","2
","06
","1
","NA
","NA
","703
","U
","4
","00050
","0970
"
"0100374
","099
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","05
","1
","NA
","NA
","703
","U
","4
","00050
","0970
"
"0100374
","022
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","1
","-
","5
","1
","2
","01
","1
","NA
","NA
","703
","U
","4
","00050
","0970
"
"0100391
","338
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","03
","1
","NA
","NA
","729
","U
","3
","00060
","0960
"
"0100391
","053
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","01
","1
","NA
","NA
","729
","U
","3
","00060
","0960
"
"0100391
","244
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","04
","1
","NA
","NA
","729
","U
","3
","00060
","0960
"
"0100391
","332
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","1
","-
","4
","2
","2
","03
","1
","NA
","NA
","729
","U
","3
","00060
","0960
"
"0100432
","003
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","05
","1
","NA
","NA
","897
","U
","2
","00070
","0950
"
"0100432
","027
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","04
","1
","NA
","NA
","897
","U
","2
","00070
","0950
"
"0100432
","054
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","08
","1
","NA
","NA
","897
","U
","2
","00070
","0950
"
"0100432
","101
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","01
","1
","NA
","NA
","897
","U
","2
","00070
","0950
"
"0100583
","082
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","04
","1
","NA
","NA
","825
","U
","4
","00080
","0970
"
"0100583
","101
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","02
","1
","NA
","NA
","825
","U
","4
","00080
","0970
"
"0100583
","061
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","05
","1
","NA
","NA
","825
","U
","4
","00080
","0970
"
"0100583
","007
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","04
","1
","NA
","NA
","825
","U
","4
","00080
","0970
"
"0100583
","027
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","1
","-
","4
","1
","2
","02
","1
","NA
","NA
","825
","U
","4
","00080
","0970
"
"0100586
","039
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","03
","1
","NA
","NA
","785
","U
","4
","00090
","0970
"
"0100586
","059
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","05
","1
","NA
","NA
","785
","U
","4
","00090
","0970
"
"0100586
","101
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","02
","1
","NA
","NA
","785
","U
","4
","00090
","0970
"
"0100586
","066
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","01
","1
","NA
","NA
","785
","U
","4
","00090
","0970
"
"0100586
","013
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","04
","1
","NA
","NA
","785
","U
","4
","00090
","0970
"
"0100595
","010
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","02
","1
","NA
","NA
","933
","U
","2
","00100
","0950
"
"0100595
","091
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","1
","1
","-
","5
","3
","2
","03
","1
","NA
","NA
","933
","U
","2
","00100
","0950
"
"0100595
","044
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","12
","2
","04
","01
","933
","U
","2
","00100
","0950
"
"0100595
","066
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","01
","1
","NA
","NA
","933
","U
","2
","00100
","0950
"
"0100747
","051
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","2
","1
","2
","04
","1
","NA
","NA
","927
","U
","2
","00110
","0950
"
"0100747
","074
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","2
","1
","2
","04
","1
","NA
","NA
","927
","U
","2
","00110
","0950
"
"0100747
","096
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","2
","1
","2
","01
","1
","NA
","NA
","927
","U
","2
","00110
","0950
"
"0100747
","007
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","2
","1
","2
","06
","1
","NA
","NA
","927
","U
","2
","00110
","0950
"
"0100747
","029
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","1
","1
","-
","2
","3
","2
","03
","1
","NA
","NA
","927
","U
","2
","00110
","0950
"
"0100828
","008
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","02
","1
","NA
","NA
","952
","U
","3
","00120
","0960
"
"0100828
","029
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","1
","-
","4
","1
","2
","03
","1
","NA
","NA
","952
","U
","3
","00120
","0960
"
"0100828
","051
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","01
","1
","NA
","NA
","952
","U
","3
","00120
","0960
"
"0100828
","074
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","02
","1
","NA
","NA
","952
","U
","3
","00120
","0960
"
"0100828
","098
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","01
","1
","NA
","NA
","952
","U
","3
","00120
","0960
"
"0101162
","018
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","02
","1
","NA
","NA
","962
","U
","3
","00130
","0960
"
"0101162
","046
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","05
","1
","NA
","NA
","962
","U
","3
","00130
","0960
"
"0101162
","073
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","04
","1
","NA
","NA
","962
","U
","3
","00130
","0960
"
"0101162
","099
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","05
","1
","NA
","NA
","962
","U
","3
","00130
","0960
"
"0101215
","005
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","08
","1
","NA
","NA
","956
","U
","3
","00140
","0960
"
"0101215
","030
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","03
","1
","NA
","NA
","956
","U
","3
","00140
","0960
"
"0101215
","053
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","03
","1
","NA
","NA
","956
","U
","3
","00140
","0960
"
"0101215
","078
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","04
","1
","NA
","NA
","956
","U
","3
","00140
","0960
"
"0101215
","104
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","3
","1
","2
","04
","1
","NA
","NA
","956
","U
","3
","00140
","0960
"
"0101230
","111
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","1
","-
","5
","1
","2
","05
","1
","NA
","NA
","875
","U
","3
","00150
","0960
"
"0101230
","010
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","05
","1
","NA
","NA
","875
","U
","3
","00150
","0960
"
"0101230
","033
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","04
","1
","NA
","NA
","875
","U
","3
","00150
","0960
"
"0101230
","060
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","1
","-
","5
","1
","2
","07
","1
","NA
","NA
","875
","U
","3
","00150
","0960
"
"0101233
","040
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","1
","2
","-
","5
","1
","2
","01
","1
","NA
","NA
","801
","U
","3
","00160
","0960
"
"0101233
","055
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","06
","1
","NA
","NA
","801
","U
","3
","00160
","0960
"
"0101233
","073
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","03
","1
","NA
","NA
","801
","U
","3
","00160
","0960
"
"0101233
","026
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","5
","1
","2
","04
","1
","NA
","NA
","801
","U
","3
","00160
","0960
"
"0101245
","100
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","05
","1
","NA
","NA
","934
","U
","2
","00170
","0950
"
"0101245
","130
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","08
","2
","02
","07
","934
","U
","2
","00170
","0950
"
"0101245
","083
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0219
","01
","0
","0
","-
","4
","1
","2
","04
","1
","NA
","NA
","934
","U
","2
","00170
","0950
"
