"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico","11","0100001.001,…,3299999.999
"
"Unidad primaria de muestreo ","UPM","Numérico","7","0100001…3299999
"
"Progresivo de Vivienda","PRO_VIV","Numérico","3","001…999
"
"Vivienda seleccionada","VIV_SEL","Numérico","2","01…09
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","01
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","02
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","03
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","04
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","05
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","06
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","07
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","08
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","09
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","10
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","11
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","12
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","13
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","14
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","15
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","16
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","17
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","18
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","19
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","20
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","21
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","22
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","23
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","24
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","25
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","26
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","27
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","28
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","29
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","30
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","31
"
"Clave Entidad","CVE_ENT","Alfanumérico","2","32
"
"Nombre de la Entidad","NOM_ENT","Alfanumérico","250","Texto mínimo 2 caracteres
"
"Clave Municipio","CVE_MUN","Numérico","3","001...570
"
"Nombre del Municipio","NOM_MUN","Alfanumérico","250","Texto mínimo 2 caracteres
"
"Localidad","LOC","Numérico","4","0000…1600
"
"Ciudad","CD","Numérico","2","01
"
"Ciudad","CD","Numérico","2","02
"
"Ciudad","CD","Numérico","2","03
"
"Ciudad","CD","Numérico","2","04
"
"Ciudad","CD","Numérico","2","05
"
"Ciudad","CD","Numérico","2","06
"
"Ciudad","CD","Numérico","2","07
"
"Ciudad","CD","Numérico","2","08
"
"Ciudad","CD","Numérico","2","09
"
"Ciudad","CD","Numérico","2","10
"
"Ciudad","CD","Numérico","2","11
"
"Ciudad","CD","Numérico","2","12
"
"Ciudad","CD","Numérico","2","13
"
"Ciudad","CD","Numérico","2","14
"
"Ciudad","CD","Numérico","2","19
"
"Ciudad","CD","Numérico","2","20
"
"Ciudad","CD","Numérico","2","21
"
"Ciudad","CD","Numérico","2","22
"
"Ciudad","CD","Numérico","2","23
"
"Ciudad","CD","Numérico","2","25
"
"Ciudad","CD","Numérico","2","26
"
"Ciudad","CD","Numérico","2","27
"
"Ciudad","CD","Numérico","2","28
"
"Ciudad","CD","Numérico","2","29
"
"Ciudad","CD","Numérico","2","30
"
"Ciudad","CD","Numérico","2","31
"
"Ciudad","CD","Numérico","2","32
"
"Ciudad","CD","Numérico","2","33
"
