"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Periodo de la entrevista","PER","Carácter",4,"0224"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",15,"0100001.0001.01,...,3299999.9999.05"
"Identificador de viviendas para dar seguimiento a muestra con más de una visita","ID_VIVT","Alfanumérico",11,"0100001.001,...,3299999.999"
"Unidad primaria de muestreo ","UPM","Carácter",7,"0100001,...,3299999"
"Progresivo de Vivienda","PRO_VIV","Carácter",3,"001,...,999"
"Vivienda seleccionada","VIV_SEL","Carácter",2,"01,...,05"
"Clave Entidad","CVE_ENT","Carácter",2,"01"
"Clave Entidad","CVE_ENT","Carácter",2,"02"
"Clave Entidad","CVE_ENT","Carácter",2,"03"
"Clave Entidad","CVE_ENT","Carácter",2,"04"
"Clave Entidad","CVE_ENT","Carácter",2,"05"
"Clave Entidad","CVE_ENT","Carácter",2,"06"
"Clave Entidad","CVE_ENT","Carácter",2,"07"
"Clave Entidad","CVE_ENT","Carácter",2,"08"
"Clave Entidad","CVE_ENT","Carácter",2,"09"
"Clave Entidad","CVE_ENT","Carácter",2,"10"
"Clave Entidad","CVE_ENT","Carácter",2,"11"
"Clave Entidad","CVE_ENT","Carácter",2,"12"
"Clave Entidad","CVE_ENT","Carácter",2,"13"
"Clave Entidad","CVE_ENT","Carácter",2,"14"
"Clave Entidad","CVE_ENT","Carácter",2,"15"
"Clave Entidad","CVE_ENT","Carácter",2,"16"
"Clave Entidad","CVE_ENT","Carácter",2,"17"
"Clave Entidad","CVE_ENT","Carácter",2,"18"
"Clave Entidad","CVE_ENT","Carácter",2,"19"
"Clave Entidad","CVE_ENT","Carácter",2,"20"
"Clave Entidad","CVE_ENT","Carácter",2,"21"
"Clave Entidad","CVE_ENT","Carácter",2,"22"
"Clave Entidad","CVE_ENT","Carácter",2,"23"
"Clave Entidad","CVE_ENT","Carácter",2,"24"
"Clave Entidad","CVE_ENT","Carácter",2,"25"
"Clave Entidad","CVE_ENT","Carácter",2,"26"
"Clave Entidad","CVE_ENT","Carácter",2,"27"
"Clave Entidad","CVE_ENT","Carácter",2,"28"
"Clave Entidad","CVE_ENT","Carácter",2,"29"
"Clave Entidad","CVE_ENT","Carácter",2,"30"
