"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Periodo","PER","Carácter",4,"0424"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",15,"0100001.0001.01,...,3299999.9999.05"
"Identificador de persona","ID_PER","Alfanumérico",18,"0100001.0001.01.01,...,3299999.9999.05.30"
"Identificador de viviendas para dar seguimiento a muestra con más de tres visitas","ID_VIVT","Alfanumérico",11,"0100001.001,...,3299999.999"
"Identificador de personas para dar seguimiento a muestra con más de tres visitas","ID_PERT","Alfanumérico",14,"0100001.001.01,...., 3299999.999.30"
"Unidad primaria de muestreo","UPM","Carácter",7,"0100001,...,3299999"
"Vivienda seleccionada","VIV_SEL","Carácter",2,"01,...,05"
"Renglón del (de la) Informante","R_INF","Carácter",2,"01,...,30"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"01"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"02"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"03"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"04"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"05"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"06"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"07"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"08"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"09"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"10"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"11"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"12"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"13"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"14"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"15"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"16"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"17"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"18"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"19"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"20"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"21"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"22"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"23"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"24"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"25"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"26"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"27"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"28"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"29"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"30"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"31"
"Clave de Entidad Federativa","CVE_ENT","Carácter",2,"32"
"Nombre de la Entidad Federativa","NOM_ENT","Texto",250,"Texto mínimo 2 caracteres"
"Clave de Municipio","CVE_MUN","Carácter",3,"001,...,570"
"Nombre del Municipio","NOM_MUN","Texto",250,"Texto mínimo 2 caracteres"
"Localidad","LOC","Carácter",4,"0000,...,1600"
"Área urbana (ciudad) de interés","CD","Carácter",2,"01"
"Área urbana (ciudad) de interés","CD","Carácter",2,"02"
"Área urbana (ciudad) de interés","CD","Carácter",2,"03"
"Área urbana (ciudad) de interés","CD","Carácter",2,"04"
"Área urbana (ciudad) de interés","CD","Carácter",2,"55"
"Área urbana (ciudad) de interés","CD","Carácter",2,"05"
"Área urbana (ciudad) de interés","CD","Carácter",2,"56"
"Área urbana (ciudad) de interés","CD","Carácter",2,"06"
"Área urbana (ciudad) de interés","CD","Carácter",2,"07"
"Área urbana (ciudad) de interés","CD","Carácter",2,"08"
"Área urbana (ciudad) de interés","CD","Carácter",2,"09"
"Área urbana (ciudad) de interés","CD","Carácter",2,"10"
"Área urbana (ciudad) de interés","CD","Carácter",2,"11"
"Área urbana (ciudad) de interés","CD","Carácter",2,"12"
"Área urbana (ciudad) de interés","CD","Carácter",2,"13"
"Área urbana (ciudad) de interés","CD","Carácter",2,"14"
"Área urbana (ciudad) de interés","CD","Carácter",2,"71"
"Área urbana (ciudad) de interés","CD","Carácter",2,"72"
"Área urbana (ciudad) de interés","CD","Carácter",2,"73"
"Área urbana (ciudad) de interés","CD","Carácter",2,"74"
"Área urbana (ciudad) de interés","CD","Carácter",2,"75"
"Área urbana (ciudad) de interés","CD","Carácter",2,"76"
"Área urbana (ciudad) de interés","CD","Carácter",2,"77"
"Área urbana (ciudad) de interés","CD","Carácter",2,"78"
"Área urbana (ciudad) de interés","CD","Carácter",2,"79"
"Área urbana (ciudad) de interés","CD","Carácter",2,"80"
"Área urbana (ciudad) de interés","CD","Carácter",2,"81"
"Área urbana (ciudad) de interés","CD","Carácter",2,"82"
"Área urbana (ciudad) de interés","CD","Carácter",2,"83"
"Área urbana (ciudad) de interés","CD","Carácter",2,"84"
"Área urbana (ciudad) de interés","CD","Carácter",2,"85"
"Área urbana (ciudad) de interés","CD","Carácter",2,"86"
"Área urbana (ciudad) de interés","CD","Carácter",2,"19"
"Área urbana (ciudad) de interés","CD","Carácter",2,"20"
"Área urbana (ciudad) de interés","CD","Carácter",2,"57"
"Área urbana (ciudad) de interés","CD","Carácter",2,"92"
"Área urbana (ciudad) de interés","CD","Carácter",2,"21"
"Área urbana (ciudad) de interés","CD","Carácter",2,"22"
"Área urbana (ciudad) de interés","CD","Carácter",2,"58"
"Área urbana (ciudad) de interés","CD","Carácter",2,"23"
"Área urbana (ciudad) de interés","CD","Carácter",2,"59"
"Área urbana (ciudad) de interés","CD","Carácter",2,"61"
"Área urbana (ciudad) de interés","CD","Carácter",2,"62"
"Área urbana (ciudad) de interés","CD","Carácter",2,"60"
"Área urbana (ciudad) de interés","CD","Carácter",2,"63"
"Área urbana (ciudad) de interés","CD","Carácter",2,"25"
"Área urbana (ciudad) de interés","CD","Carácter",2,"26"
"Área urbana (ciudad) de interés","CD","Carácter",2,"27"
"Área urbana (ciudad) de interés","CD","Carácter",2,"28"
"Área urbana (ciudad) de interés","CD","Carácter",2,"87"
"Área urbana (ciudad) de interés","CD","Carácter",2,"88"
"Área urbana (ciudad) de interés","CD","Carácter",2,"90"
