AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2022,4,AGUASCALIENTES,AGUASCALIENTES,245,130,110,5,53.06,44.9,2.04
2022,4,AGUASCALIENTES,JESUS MARIA,12,4,8,0,33.33,66.67,0.0
2022,4,BAJA CALIFORNIA,MEXICALI,267,90,176,1,33.71,65.92,0.37
2022,4,BAJA CALIFORNIA,TIJUANA,260,92,168,0,35.38,64.62,0.0
2022,4,BAJA CALIFORNIA SUR,LA PAZ,255,189,66,0,74.12,25.88,0.0
2022,4,BAJA CALIFORNIA SUR,LOS CABOS,260,206,48,6,79.23,18.46,2.31
2022,4,CAMPECHE,CAMPECHE,270,93,174,3,34.44,64.44,1.11
2022,4,CAMPECHE,CARMEN,256,90,165,1,35.16,64.45,0.39
2022,4,CHIAPAS,CHIAPA DE CORZO,24,10,14,0,41.67,58.33,0.0
2022,4,CHIAPAS,TAPACHULA,268,47,221,0,17.54,82.46,0.0
2022,4,CHIAPAS,TUXTLA GUTIERREZ,233,47,184,2,20.17,78.97,0.86
2022,4,CHIHUAHUA,CHIHUAHUA,920,380,536,4,41.3,58.26,0.43
2022,4,CHIHUAHUA,JUAREZ,269,71,198,0,26.39,73.61,0.0
2022,4,CIUDAD DE MEXICO,ALVARO OBREGON,264,104,156,4,39.39,59.09,1.52
2022,4,CIUDAD DE MEXICO,AZCAPOTZALCO,265,120,141,4,45.28,53.21,1.51
2022,4,CIUDAD DE MEXICO,BENITO JUAREZ,262,215,47,0,82.06,17.94,0.0
2022,4,CIUDAD DE MEXICO,COYOACAN,269,158,109,2,58.74,40.52,0.74
2022,4,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,268,207,59,2,77.24,22.01,0.75
2022,4,CIUDAD DE MEXICO,CUAUHTEMOC,261,99,161,1,37.93,61.69,0.38
