NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
AGUASCALIENTES,AGUASCALIENTES,242,140,101,1,57.85,41.74,0.41,2025,Q2
AGUASCALIENTES,JESUS MARIA,20,12,8,0,60.0,40.0,0.0,2025,Q2
BAJA CALIFORNIA,MEXICALI,260,62,198,0,23.85,76.15,0.0,2025,Q2
BAJA CALIFORNIA,TIJUANA,261,83,178,0,31.8,68.2,0.0,2025,Q2
BAJA CALIFORNIA SUR,LA PAZ,256,165,90,1,64.45,35.16,0.39,2025,Q2
BAJA CALIFORNIA SUR,LOS CABOS,257,165,92,0,64.2,35.8,0.0,2025,Q2
CAMPECHE,CAMPECHE,264,82,182,0,31.06,68.94,0.0,2025,Q2
CAMPECHE,CARMEN,269,130,139,0,48.33,51.67,0.0,2025,Q2
CHIAPAS,CHIAPA DE CORZO,33,14,19,0,42.42,57.58,0.0,2025,Q2
CHIAPAS,TAPACHULA,270,29,241,0,10.74,89.26,0.0,2025,Q2
CHIAPAS,TUXTLA GUTIERREZ,237,82,155,0,34.6,65.4,0.0,2025,Q2
CHIHUAHUA,CHIHUAHUA,257,125,132,0,48.64,51.36,0.0,2025,Q2
CHIHUAHUA,JUAREZ,269,95,174,0,35.32,64.68,0.0,2025,Q2
CIUDAD DE MEXICO,ALVARO OBREGON,265,110,155,0,41.51,58.49,0.0,2025,Q2
CIUDAD DE MEXICO,AZCAPOTZALCO,265,91,173,1,34.34,65.28,0.38,2025,Q2
CIUDAD DE MEXICO,BENITO JUAREZ,261,201,60,0,77.01,22.99,0.0,2025,Q2
CIUDAD DE MEXICO,COYOACAN,261,142,119,0,54.41,45.59,0.0,2025,Q2
CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,266,172,93,1,64.66,34.96,0.38,2025,Q2
CIUDAD DE MEXICO,CUAUHTEMOC,269,125,144,0,46.47,53.53,0.0,2025,Q2
CIUDAD DE MEXICO,GUSTAVO A. MADERO,271,92,177,2,33.95,65.31,0.74,2025,Q2
CIUDAD DE MEXICO,IZTACALCO,261,99,162,0,37.93,62.07,0.0,2025,Q2
CIUDAD DE MEXICO,IZTAPALAPA,271,86,185,0,31.73,68.27,0.0,2025,Q2
CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,263,126,137,0,47.91,52.09,0.0,2025,Q2
CIUDAD DE MEXICO,MIGUEL HIDALGO,265,138,127,0,52.08,47.92,0.0,2025,Q2
