NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
AGUASCALIENTES,AGUASCALIENTES,247,151,96,0,61.1336032388664,38.8663967611336,0.0,2023,Q1
AGUASCALIENTES,JESUS MARIA,16,10,6,0,62.5,37.5,0.0,2023,Q1
BAJA CALIFORNIA,MEXICALI,266,82,181,3,30.82706766917293,68.04511278195488,1.1278195488721803,2023,Q1
BAJA CALIFORNIA,TIJUANA,265,84,181,0,31.69811320754717,68.30188679245282,0.0,2023,Q1
BAJA CALIFORNIA SUR,LA PAZ,257,174,83,0,67.70428015564202,32.295719844357976,0.0,2023,Q1
BAJA CALIFORNIA SUR,LOS CABOS,259,203,52,4,78.37837837837837,20.077220077220076,1.5444015444015444,2023,Q1
CAMPECHE,CAMPECHE,261,97,164,0,37.16475095785441,62.83524904214559,0.0,2023,Q1
CAMPECHE,CARMEN,258,98,159,1,37.98449612403101,61.627906976744185,0.3875968992248062,2023,Q1
CHIAPAS,CHIAPA DE CORZO,24,12,12,0,50.0,50.0,0.0,2023,Q1
CHIAPAS,TAPACHULA,264,48,216,0,18.181818181818183,81.81818181818183,0.0,2023,Q1
CHIAPAS,TUXTLA GUTIERREZ,233,59,173,1,25.321888412017167,74.2489270386266,0.4291845493562232,2023,Q1
CHIHUAHUA,CHIHUAHUA,266,114,152,0,42.857142857142854,57.14285714285714,0.0,2023,Q1
CHIHUAHUA,JUAREZ,266,81,185,0,30.451127819548873,69.54887218045113,0.0,2023,Q1
CIUDAD DE MEXICO,ALVARO OBREGON,270,127,141,2,47.03703703703704,52.22222222222223,0.7407407407407408,2023,Q1
CIUDAD DE MEXICO,AZCAPOTZALCO,262,115,145,2,43.89312977099237,55.343511450381676,0.7633587786259541,2023,Q1
CIUDAD DE MEXICO,BENITO JUAREZ,261,216,45,0,82.75862068965517,17.24137931034483,0.0,2023,Q1
CIUDAD DE MEXICO,COYOACAN,260,119,137,4,45.76923076923077,52.69230769230769,1.5384615384615385,2023,Q1
CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,259,188,69,2,72.58687258687259,26.640926640926644,0.7722007722007722,2023,Q1
CIUDAD DE MEXICO,CUAUHTEMOC,260,108,149,3,41.53846153846154,57.30769230769231,1.153846153846154,2023,Q1
CIUDAD DE MEXICO,GUSTAVO A. MADERO,273,103,169,1,37.72893772893773,61.904761904761905,0.3663003663003663,2023,Q1
CIUDAD DE MEXICO,IZTACALCO,266,74,189,3,27.819548872180448,71.05263157894737,1.1278195488721803,2023,Q1
CIUDAD DE MEXICO,IZTAPALAPA,279,78,201,0,27.956989247311824,72.04301075268818,0.0,2023,Q1
CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,267,131,136,0,49.063670411985015,50.936329588014985,0.0,2023,Q1
CIUDAD DE MEXICO,MIGUEL HIDALGO,255,147,108,0,57.647058823529406,42.35294117647059,0.0,2023,Q1
CIUDAD DE MEXICO,MILPA ALTA,273,116,157,0,42.49084249084249,57.509157509157504,0.0,2023,Q1
CIUDAD DE MEXICO,TLAHUAC,263,69,194,0,26.23574144486692,73.76425855513308,0.0,2023,Q1
CIUDAD DE MEXICO,TLALPAN,259,128,130,1,49.42084942084942,50.19305019305019,0.3861003861003861,2023,Q1
CIUDAD DE MEXICO,VENUSTIANO CARRANZA,270,150,120,0,55.55555555555556,44.44444444444444,0.0,2023,Q1
CIUDAD DE MEXICO,XOCHIMILCO,265,83,182,0,31.32075471698113,68.67924528301886,0.0,2023,Q1
COAHUILA DE ZARAGOZA,MATAMOROS,17,11,6,0,64.70588235294117,35.294117647058826,0.0,2023,Q1
COAHUILA DE ZARAGOZA,NAVA,9,6,3,0,66.66666666666666,33.33333333333333,0.0,2023,Q1
COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,254,204,50,0,80.31496062992126,19.68503937007874,0.0,2023,Q1
COAHUILA DE ZARAGOZA,RAMOS ARIZPE,20,14,6,0,70.0,30.0,0.0,2023,Q1
COAHUILA DE ZARAGOZA,SALTILLO,237,181,56,0,76.37130801687763,23.628691983122362,0.0,2023,Q1
COAHUILA DE ZARAGOZA,TORREON,259,150,109,0,57.91505791505791,42.084942084942085,0.0,2023,Q1
COLIMA,COLIMA,149,19,130,0,12.751677852348994,87.24832214765101,0.0,2023,Q1
COLIMA,MANZANILLO,262,82,180,0,31.297709923664126,68.70229007633588,0.0,2023,Q1
COLIMA,VILLA DE ALVAREZ,117,22,95,0,18.803418803418804,81.19658119658119,0.0,2023,Q1
DURANGO,DURANGO,247,159,88,0,64.37246963562752,35.62753036437247,0.0,2023,Q1
DURANGO,GOMEZ PALACIO,81,37,44,0,45.67901234567901,54.32098765432099,0.0,2023,Q1
DURANGO,LERDO,19,9,10,0,47.368421052631575,52.63157894736842,0.0,2023,Q1
GUANAJUATO,GUANAJUATO,273,101,172,0,36.996336996337,63.003663003663,0.0,2023,Q1
GUANAJUATO,IRAPUATO,271,40,231,0,14.760147601476014,85.23985239852398,0.0,2023,Q1
GUANAJUATO,LEON,253,55,198,0,21.73913043478261,78.26086956521739,0.0,2023,Q1
GUANAJUATO,PURISIMA DEL RINCON,5,0,5,0,0.0,100.0,0.0,2023,Q1
GUANAJUATO,SAN FRANCISCO DEL RINCON,19,1,18,0,5.263157894736842,94.73684210526315,0.0,2023,Q1
GUERRERO,ACAPULCO DE JUAREZ,255,80,175,0,31.372549019607842,68.62745098039215,0.0,2023,Q1
GUERRERO,CHILPANCINGO DE LOS BRAVO,256,41,214,1,16.015625,83.59375,0.390625,2023,Q1
GUERRERO,ZIHUATANEJO DE AZUETA,259,83,175,1,32.04633204633205,67.56756756756756,0.3861003861003861,2023,Q1
HIDALGO,MINERAL DE LA REFORMA,71,36,35,0,50.70422535211267,49.29577464788733,0.0,2023,Q1
HIDALGO,PACHUCA DE SOTO,188,97,91,0,51.59574468085106,48.40425531914894,0.0,2023,Q1
JALISCO,GUADALAJARA,261,48,211,2,18.39080459770115,80.84291187739464,0.7662835249042145,2023,Q1
JALISCO,PUERTO VALLARTA,247,186,61,0,75.30364372469636,24.696356275303643,0.0,2023,Q1
JALISCO,SAN PEDRO TLAQUEPAQUE,262,100,159,3,38.16793893129771,60.68702290076335,1.1450381679389312,2023,Q1
JALISCO,TLAJOMULCO DE ZUNIGA,257,79,177,1,30.739299610894943,68.8715953307393,0.38910505836575876,2023,Q1
JALISCO,TONALA,255,57,196,2,22.35294117647059,76.86274509803923,0.7843137254901961,2023,Q1
JALISCO,ZAPOPAN,256,109,146,1,42.578125,57.03125,0.390625,2023,Q1
MEXICO,ALMOLOYA DE JUAREZ,5,1,4,0,20.0,80.0,0.0,2023,Q1
MEXICO,ATIZAPAN DE ZARAGOZA,257,110,147,0,42.80155642023346,57.19844357976653,0.0,2023,Q1
MEXICO,CHIMALHUACAN,277,53,224,0,19.133574007220215,80.86642599277978,0.0,2023,Q1
MEXICO,CUAUTITLAN IZCALLI,256,46,210,0,17.96875,82.03125,0.0,2023,Q1
MEXICO,ECATEPEC DE MORELOS,266,47,219,0,17.669172932330827,82.33082706766918,0.0,2023,Q1
MEXICO,LERMA,10,0,10,0,0.0,100.0,0.0,2023,Q1
MEXICO,METEPEC,34,6,27,1,17.647058823529413,79.41176470588235,2.941176470588235,2023,Q1
MEXICO,NAUCALPAN DE JUAREZ,256,27,229,0,10.546875,89.453125,0.0,2023,Q1
MEXICO,NEZAHUALCOYOTL,272,88,182,2,32.35294117647059,66.91176470588235,0.7352941176470588,2023,Q1
MEXICO,SAN MATEO ATENCO,17,2,15,0,11.76470588235294,88.23529411764706,0.0,2023,Q1
MEXICO,TLALNEPANTLA DE BAZ,262,64,196,2,24.427480916030532,74.80916030534351,0.7633587786259541,2023,Q1
MEXICO,TOLUCA,162,25,137,0,15.432098765432098,84.5679012345679,0.0,2023,Q1
MEXICO,ZINACANTEPEC,33,6,27,0,18.181818181818183,81.81818181818183,0.0,2023,Q1
MICHOACAN DE OCAMPO,LAZARO CARDENAS,258,154,102,2,59.68992248062015,39.53488372093023,0.7751937984496124,2023,Q1
MICHOACAN DE OCAMPO,MORELIA,272,110,162,0,40.44117647058824,59.55882352941176,0.0,2023,Q1
MICHOACAN DE OCAMPO,URUAPAN,266,39,227,0,14.661654135338345,85.33834586466166,0.0,2023,Q1
MORELOS,CUERNAVACA,131,31,100,0,23.66412213740458,76.33587786259542,0.0,2023,Q1
MORELOS,EMILIANO ZAPATA,48,12,36,0,25.0,75.0,0.0,2023,Q1
MORELOS,JIUTEPEC,65,21,44,0,32.30769230769231,67.6923076923077,0.0,2023,Q1
MORELOS,TEMIXCO,20,0,19,1,0.0,95.0,5.0,2023,Q1
MORELOS,XOCHITEPEC,13,0,13,0,0.0,100.0,0.0,2023,Q1
NAYARIT,TEPIC,252,157,94,1,62.301587301587304,37.301587301587304,0.3968253968253968,2023,Q1
NAYARIT,XALISCO,29,22,7,0,75.86206896551724,24.137931034482758,0.0,2023,Q1
NUEVO LEON,APODACA,265,159,106,0,60.0,40.0,0.0,2023,Q1
NUEVO LEON,GENERAL ESCOBEDO,265,112,152,1,42.26415094339623,57.35849056603774,0.37735849056603776,2023,Q1
NUEVO LEON,GUADALUPE,254,113,141,0,44.48818897637795,55.51181102362205,0.0,2023,Q1
NUEVO LEON,MONTERREY,334,107,227,0,32.035928143712574,67.96407185628742,0.0,2023,Q1
NUEVO LEON,SAN NICOLAS DE LOS GARZA,255,181,72,2,70.98039215686275,28.235294117647058,0.7843137254901961,2023,Q1
NUEVO LEON,SAN PEDRO GARZA GARCIA,233,190,43,0,81.54506437768241,18.4549356223176,0.0,2023,Q1
NUEVO LEON,SANTA CATARINA,255,118,135,2,46.27450980392157,52.94117647058824,0.7843137254901961,2023,Q1
OAXACA,ANIMAS TRUJANO,4,0,4,0,0.0,100.0,0.0,2023,Q1
OAXACA,OAXACA DE JUAREZ,131,35,96,0,26.717557251908396,73.2824427480916,0.0,2023,Q1
OAXACA,SAN AGUSTIN DE LAS JUNTAS,8,1,7,0,12.5,87.5,0.0,2023,Q1
OAXACA,SAN AGUSTIN YATARENI,5,2,3,0,40.0,60.0,0.0,2023,Q1
OAXACA,SAN ANDRES HUAYAPAM,5,2,3,0,40.0,60.0,0.0,2023,Q1
OAXACA,SAN ANTONIO DE LA CAL,4,1,3,0,25.0,75.0,0.0,2023,Q1
OAXACA,SAN PABLO ETLA,5,1,4,0,20.0,80.0,0.0,2023,Q1
OAXACA,SAN SEBASTIAN TUTLA,9,4,5,0,44.44444444444444,55.55555555555556,0.0,2023,Q1
OAXACA,SANTA CRUZ AMILPAS,8,5,3,0,62.5,37.5,0.0,2023,Q1
