NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
AGUASCALIENTES,AGUASCALIENTES,255,131,124,0,51.37254901960784,48.627450980392155,0.0,2020,Q3
AGUASCALIENTES,JESUS MARIA,17,6,11,0,35.294117647058826,64.70588235294117,0.0,2020,Q3
BAJA CALIFORNIA,MEXICALI,256,104,152,0,40.625,59.375,0.0,2020,Q3
BAJA CALIFORNIA,TIJUANA,268,76,192,0,28.35820895522388,71.64179104477611,0.0,2020,Q3
BAJA CALIFORNIA SUR,LA PAZ,267,212,55,0,79.40074906367042,20.59925093632959,0.0,2020,Q3
BAJA CALIFORNIA SUR,LOS CABOS,257,184,66,7,71.59533073929961,25.680933852140075,2.7237354085603114,2020,Q3
CAMPECHE,CAMPECHE,269,150,118,1,55.762081784386616,43.866171003717476,0.37174721189591076,2020,Q3
CAMPECHE,CARMEN,261,81,178,2,31.03448275862069,68.19923371647509,0.7662835249042145,2020,Q3
CHIAPAS,CHIAPA DE CORZO,24,10,14,0,41.66666666666667,58.333333333333336,0.0,2020,Q3
CHIAPAS,TAPACHULA,265,47,218,0,17.735849056603772,82.26415094339623,0.0,2020,Q3
CHIAPAS,TUXTLA GUTIERREZ,248,57,189,2,22.983870967741936,76.20967741935483,0.8064516129032258,2020,Q3
CHIHUAHUA,CHIHUAHUA,259,109,150,0,42.084942084942085,57.91505791505791,0.0,2020,Q3
CHIHUAHUA,JUAREZ,276,75,201,0,27.173913043478258,72.82608695652173,0.0,2020,Q3
CIUDAD DE MEXICO,ALVARO OBREGON,265,46,215,4,17.358490566037734,81.13207547169812,1.509433962264151,2020,Q3
CIUDAD DE MEXICO,AZCAPOTZALCO,265,55,208,2,20.754716981132077,78.49056603773586,0.7547169811320755,2020,Q3
CIUDAD DE MEXICO,BENITO JUAREZ,246,150,96,0,60.97560975609756,39.02439024390244,0.0,2020,Q3
CIUDAD DE MEXICO,COYOACAN,255,93,162,0,36.470588235294116,63.52941176470588,0.0,2020,Q3
CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,266,183,80,3,68.796992481203,30.075187969924812,1.1278195488721803,2020,Q3
CIUDAD DE MEXICO,CUAUHTEMOC,223,83,140,0,37.219730941704036,62.78026905829597,0.0,2020,Q3
