NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
AGUASCALIENTES,AGUASCALIENTES,259,135,122,2,52.123552123552116,47.10424710424711,0.7722007722007722,2019,Q2
AGUASCALIENTES,JESUS MARIA,18,8,10,0,44.44444444444444,55.55555555555556,0.0,2019,Q2
BAJA CALIFORNIA,MEXICALI,257,78,177,2,30.35019455252918,68.8715953307393,0.7782101167315175,2019,Q2
BAJA CALIFORNIA,TIJUANA,265,70,195,0,26.41509433962264,73.58490566037736,0.0,2019,Q2
BAJA CALIFORNIA SUR,LA PAZ,274,125,148,1,45.62043795620438,54.01459854014598,0.36496350364963503,2019,Q2
BAJA CALIFORNIA SUR,LOS CABOS,256,158,90,8,61.71875,35.15625,3.125,2019,Q2
CAMPECHE,CAMPECHE,264,140,124,0,53.03030303030303,46.96969696969697,0.0,2019,Q2
CAMPECHE,CARMEN,264,69,192,3,26.136363636363637,72.72727272727273,1.1363636363636365,2019,Q2
CHIAPAS,CHIAPA DE CORZO,25,9,16,0,36.0,64.0,0.0,2019,Q2
CHIAPAS,TAPACHULA,273,20,253,0,7.326007326007327,92.67399267399267,0.0,2019,Q2
CHIAPAS,TUXTLA GUTIERREZ,245,57,188,0,23.26530612244898,76.73469387755102,0.0,2019,Q2
CHIHUAHUA,CHIHUAHUA,263,74,189,0,28.13688212927757,71.86311787072243,0.0,2019,Q2
CHIHUAHUA,JUAREZ,269,80,189,0,29.739776951672862,70.26022304832715,0.0,2019,Q2
CIUDAD DE MEXICO,ALVARO OBREGON,88,19,69,0,21.59090909090909,78.4090909090909,0.0,2019,Q2
CIUDAD DE MEXICO,AZCAPOTZALCO,49,4,45,0,8.16326530612245,91.83673469387756,0.0,2019,Q2
CIUDAD DE MEXICO,BENITO JUAREZ,64,18,46,0,28.125,71.875,0.0,2019,Q2
CIUDAD DE MEXICO,COYOACAN,86,9,77,0,10.465116279069768,89.53488372093024,0.0,2019,Q2
CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,14,7,7,0,50.0,50.0,0.0,2019,Q2
CIUDAD DE MEXICO,CUAUHTEMOC,74,8,66,0,10.81081081081081,89.1891891891892,0.0,2019,Q2
CIUDAD DE MEXICO,GUSTAVO A. MADERO,169,26,143,0,15.384615384615385,84.61538461538461,0.0,2019,Q2
CIUDAD DE MEXICO,IZTACALCO,51,10,41,0,19.607843137254903,80.3921568627451,0.0,2019,Q2
CIUDAD DE MEXICO,IZTAPALAPA,188,24,164,0,12.76595744680851,87.2340425531915,0.0,2019,Q2
CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,27,4,23,0,14.814814814814813,85.18518518518519,0.0,2019,Q2
CIUDAD DE MEXICO,MIGUEL HIDALGO,50,9,41,0,18.0,82.0,0.0,2019,Q2
CIUDAD DE MEXICO,MILPA ALTA,9,3,6,0,33.33333333333333,66.66666666666666,0.0,2019,Q2
CIUDAD DE MEXICO,TLAHUAC,36,8,28,0,22.22222222222222,77.77777777777779,0.0,2019,Q2
CIUDAD DE MEXICO,TLALPAN,90,13,77,0,14.444444444444443,85.55555555555556,0.0,2019,Q2
CIUDAD DE MEXICO,VENUSTIANO CARRANZA,60,2,58,0,3.3333333333333335,96.66666666666667,0.0,2019,Q2
CIUDAD DE MEXICO,XOCHIMILCO,43,9,34,0,20.930232558139537,79.06976744186046,0.0,2019,Q2
COAHUILA DE ZARAGOZA,MATAMOROS,12,6,6,0,50.0,50.0,0.0,2019,Q2
COAHUILA DE ZARAGOZA,NAVA,10,3,7,0,30.0,70.0,0.0,2019,Q2
COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,249,109,140,0,43.77510040160642,56.22489959839358,0.0,2019,Q2
COAHUILA DE ZARAGOZA,RAMOS ARIZPE,24,13,11,0,54.166666666666664,45.83333333333333,0.0,2019,Q2
COAHUILA DE ZARAGOZA,SALTILLO,234,133,101,0,56.837606837606835,43.162393162393165,0.0,2019,Q2
COAHUILA DE ZARAGOZA,TORREON,154,72,82,0,46.75324675324675,53.246753246753244,0.0,2019,Q2
COLIMA,COLIMA,76,22,54,0,28.947368421052634,71.05263157894737,0.0,2019,Q2
COLIMA,MANZANILLO,257,48,209,0,18.67704280155642,81.32295719844358,0.0,2019,Q2
COLIMA,VILLA DE ALVAREZ,182,66,114,2,36.26373626373626,62.637362637362635,1.098901098901099,2019,Q2
DURANGO,DURANGO,257,149,108,0,57.97665369649806,42.023346303501945,0.0,2019,Q2
DURANGO,GOMEZ PALACIO,70,27,43,0,38.57142857142858,61.42857142857143,0.0,2019,Q2
DURANGO,LERDO,19,10,9,0,52.63157894736842,47.368421052631575,0.0,2019,Q2
GUANAJUATO,GUANAJUATO,274,60,214,0,21.897810218978105,78.1021897810219,0.0,2019,Q2
GUANAJUATO,LEON,245,41,203,1,16.73469387755102,82.85714285714286,0.40816326530612246,2019,Q2
GUANAJUATO,PURISIMA DEL RINCON,5,2,3,0,40.0,60.0,0.0,2019,Q2
GUANAJUATO,SAN FRANCISCO DEL RINCON,22,5,17,0,22.727272727272727,77.27272727272727,0.0,2019,Q2
GUERRERO,ACAPULCO DE JUAREZ,227,40,187,0,17.62114537444934,82.37885462555066,0.0,2019,Q2
GUERRERO,CHILPANCINGO DE LOS BRAVO,235,32,203,0,13.617021276595745,86.38297872340426,0.0,2019,Q2
GUERRERO,ZIHUATANEJO DE AZUETA,267,65,202,0,24.344569288389515,75.65543071161048,0.0,2019,Q2
HIDALGO,MINERAL DE LA REFORMA,79,44,35,0,55.69620253164557,44.303797468354425,0.0,2019,Q2
HIDALGO,PACHUCA DE SOTO,178,92,85,1,51.68539325842697,47.752808988764045,0.5617977528089888,2019,Q2
JALISCO,GUADALAJARA,260,44,216,0,16.923076923076923,83.07692307692308,0.0,2019,Q2
JALISCO,PUERTO VALLARTA,258,153,104,1,59.30232558139535,40.310077519379846,0.3875968992248062,2019,Q2
JALISCO,SAN PEDRO TLAQUEPAQUE,261,60,200,1,22.988505747126435,76.62835249042146,0.38314176245210724,2019,Q2
JALISCO,TLAJOMULCO DE ZUA±IGA,258,80,177,1,31.007751937984494,68.6046511627907,0.3875968992248062,2019,Q2
JALISCO,TONALA,264,58,206,0,21.96969696969697,78.03030303030303,0.0,2019,Q2
JALISCO,ZAPOPAN,260,87,173,0,33.46153846153846,66.53846153846153,0.0,2019,Q2
MEXICO,ALMOLOYA DE JUAREZ,5,1,4,0,20.0,80.0,0.0,2019,Q2
MEXICO,ATIZAPAN DE ZARAGOZA,255,53,202,0,20.784313725490197,79.2156862745098,0.0,2019,Q2
MEXICO,CHIMALHUACAN,266,57,209,0,21.428571428571427,78.57142857142857,0.0,2019,Q2
MEXICO,CUAUTITLAN,241,67,174,0,27.800829875518673,72.19917012448133,0.0,2019,Q2
MEXICO,ECATEPEC DE MORELOS,269,8,261,0,2.973977695167286,97.02602230483272,0.0,2019,Q2
MEXICO,LERMA,9,1,8,0,11.11111111111111,88.88888888888889,0.0,2019,Q2
MEXICO,METEPEC,35,8,27,0,22.857142857142858,77.14285714285715,0.0,2019,Q2
MEXICO,NAUCALPAN DE JUAREZ,263,19,244,0,7.224334600760455,92.77566539923954,0.0,2019,Q2
MEXICO,NEZAHUALCOYOTL,262,64,198,0,24.427480916030532,75.57251908396947,0.0,2019,Q2
