NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
AGUASCALIENTES,AGUASCALIENTES,249,97,152,0,38.95582329317269,61.044176706827315,0.0,2018,Q1
AGUASCALIENTES,JESUS MARIA,17,5,12,0,29.411764705882355,70.58823529411765,0.0,2018,Q1
BAJA CALIFORNIA,MEXICALI,242,66,176,0,27.27272727272727,72.72727272727273,0.0,2018,Q1
BAJA CALIFORNIA,TIJUANA,261,57,204,0,21.839080459770116,78.16091954022988,0.0,2018,Q1
BAJA CALIFORNIA SUR,LA PAZ,270,139,128,3,51.48148148148148,47.40740740740741,1.1111111111111112,2018,Q1
BAJA CALIFORNIA SUR,LOS CABOS,257,134,121,2,52.14007782101168,47.081712062256805,0.7782101167315175,2018,Q1
CAMPECHE,CAMPECHE,272,145,122,5,53.30882352941176,44.85294117647059,1.8382352941176472,2018,Q1
CAMPECHE,CARMEN,256,80,176,0,31.25,68.75,0.0,2018,Q1
CHIAPAS,CHIAPA DE CORZO,21,7,14,0,33.33333333333333,66.66666666666666,0.0,2018,Q1
CHIAPAS,TAPACHULA,270,26,244,0,9.62962962962963,90.37037037037037,0.0,2018,Q1
CHIAPAS,TUXTLA GUTIERREZ,243,58,185,0,23.868312757201647,76.13168724279835,0.0,2018,Q1
CHIHUAHUA,CHIHUAHUA,262,68,193,1,25.954198473282442,73.66412213740458,0.38167938931297707,2018,Q1
CHIHUAHUA,JUAREZ,261,53,208,0,20.306513409961685,79.6934865900383,0.0,2018,Q1
CIUDAD DE MEXICO,ALVARO OBREGON,256,43,211,2,16.796875,82.421875,0.78125,2018,Q1
CIUDAD DE MEXICO,AZCAPOTZALCO,266,57,209,0,21.428571428571427,78.57142857142857,0.0,2018,Q1
CIUDAD DE MEXICO,BENITO JUAREZ,198,72,125,1,36.36363636363637,63.13131313131313,0.5050505050505051,2018,Q1
CIUDAD DE MEXICO,COYOACAN,233,62,169,2,26.609442060085836,72.53218884120172,0.8583690987124464,2018,Q1
CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,203,79,118,6,38.91625615763547,58.128078817733986,2.955665024630542,2018,Q1
CIUDAD DE MEXICO,CUAUHTEMOC,258,62,196,0,24.031007751937985,75.96899224806202,0.0,2018,Q1
CIUDAD DE MEXICO,GUSTAVO A. MADERO,262,22,240,0,8.396946564885496,91.6030534351145,0.0,2018,Q1
CIUDAD DE MEXICO,IZTACALCO,250,42,206,2,16.8,82.39999999999999,0.8,2018,Q1
CIUDAD DE MEXICO,IZTAPALAPA,260,22,238,0,8.461538461538462,91.53846153846153,0.0,2018,Q1
CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,230,46,184,0,20.0,80.0,0.0,2018,Q1
CIUDAD DE MEXICO,MIGUEL HIDALGO,152,49,98,5,32.23684210526316,64.47368421052632,3.289473684210526,2018,Q1
CIUDAD DE MEXICO,MILPA ALTA,259,84,172,3,32.432432432432435,66.40926640926641,1.1583011583011582,2018,Q1
CIUDAD DE MEXICO,TLAHUAC,267,43,223,1,16.10486891385768,83.52059925093633,0.37453183520599254,2018,Q1
CIUDAD DE MEXICO,TLALPAN,268,61,207,0,22.761194029850746,77.23880597014924,0.0,2018,Q1
CIUDAD DE MEXICO,VENUSTIANO CARRANZA,261,57,203,1,21.839080459770116,77.77777777777779,0.38314176245210724,2018,Q1
CIUDAD DE MEXICO,XOCHIMILCO,255,50,204,1,19.607843137254903,80.0,0.39215686274509803,2018,Q1
COAHUILA DE ZARAGOZA,MATAMOROS,12,6,6,0,50.0,50.0,0.0,2018,Q1
COAHUILA DE ZARAGOZA,NAVA,8,4,4,0,50.0,50.0,0.0,2018,Q1
COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,250,108,142,0,43.2,56.8,0.0,2018,Q1
COAHUILA DE ZARAGOZA,RAMOS ARIZPE,23,19,4,0,82.6086956521739,17.391304347826086,0.0,2018,Q1
COAHUILA DE ZARAGOZA,SALTILLO,233,138,91,4,59.227467811158796,39.05579399141631,1.7167381974248928,2018,Q1
COAHUILA DE ZARAGOZA,TORREON,154,67,87,0,43.506493506493506,56.493506493506494,0.0,2018,Q1
COLIMA,COLIMA,68,20,47,1,29.411764705882355,69.11764705882352,1.4705882352941175,2018,Q1
COLIMA,MANZANILLO,255,85,170,0,33.33333333333333,66.66666666666666,0.0,2018,Q1
COLIMA,VILLA DE ALVAREZ,193,67,126,0,34.715025906735754,65.28497409326425,0.0,2018,Q1
DURANGO,DURANGO,248,148,99,1,59.67741935483871,39.91935483870967,0.4032258064516129,2018,Q1
DURANGO,GOMEZ PALACIO,69,28,41,0,40.57971014492754,59.42028985507246,0.0,2018,Q1
DURANGO,LERDO,21,12,9,0,57.14285714285714,42.857142857142854,0.0,2018,Q1
GUANAJUATO,GUANAJUATO,276,45,229,2,16.304347826086957,82.97101449275362,0.7246376811594203,2018,Q1
GUANAJUATO,LEON,242,51,191,0,21.074380165289256,78.92561983471074,0.0,2018,Q1
GUANAJUATO,PURISIMA DEL RINCON,4,1,3,0,25.0,75.0,0.0,2018,Q1
GUANAJUATO,SAN FRANCISCO DEL RINCON,24,5,19,0,20.833333333333336,79.16666666666666,0.0,2018,Q1
GUERRERO,ACAPULCO DE JUAREZ,216,29,185,2,13.425925925925927,85.64814814814815,0.9259259259259258,2018,Q1
GUERRERO,CHILPANCINGO DE LOS BRAVO,228,24,204,0,10.526315789473683,89.47368421052632,0.0,2018,Q1
GUERRERO,ZIHUATANEJO DE AZUETA,260,59,200,1,22.692307692307693,76.92307692307693,0.38461538461538464,2018,Q1
HIDALGO,MINERAL DE LA REFORMA,77,31,46,0,40.25974025974026,59.74025974025974,0.0,2018,Q1
HIDALGO,PACHUCA DE SOTO,180,70,110,0,38.88888888888889,61.111111111111114,0.0,2018,Q1
JALISCO,GUADALAJARA,245,33,211,1,13.46938775510204,86.12244897959184,0.40816326530612246,2018,Q1
JALISCO,PUERTO VALLARTA,267,160,107,0,59.925093632958806,40.074906367041194,0.0,2018,Q1
JALISCO,SAN PEDRO TLAQUEPAQUE,265,63,202,0,23.77358490566038,76.22641509433963,0.0,2018,Q1
JALISCO,TLAJOMULCO DE ZUA±IGA,243,58,184,1,23.868312757201647,75.7201646090535,0.411522633744856,2018,Q1
JALISCO,TONALA,259,73,186,0,28.185328185328185,71.81467181467181,0.0,2018,Q1
JALISCO,ZAPOPAN,256,82,174,0,32.03125,67.96875,0.0,2018,Q1
MEXICO,ALMOLOYA DE JUAREZ,5,0,5,0,0.0,100.0,0.0,2018,Q1
MEXICO,ECATEPEC DE MORELOS,263,9,254,0,3.4220532319391634,96.57794676806084,0.0,2018,Q1
MEXICO,LERMA,8,1,7,0,12.5,87.5,0.0,2018,Q1
MEXICO,METEPEC,37,6,31,0,16.216216216216218,83.78378378378379,0.0,2018,Q1
MEXICO,NEZAHUALCOYOTL,269,37,232,0,13.754646840148698,86.2453531598513,0.0,2018,Q1
MEXICO,SAN MATEO ATENCO,23,7,16,0,30.434782608695656,69.56521739130434,0.0,2018,Q1
MEXICO,TOLUCA,164,29,135,0,17.682926829268293,82.3170731707317,0.0,2018,Q1
MEXICO,ZINACANTEPEC,32,5,27,0,15.625,84.375,0.0,2018,Q1
MICHOACAN DE OCAMPO,LAZARO CARDENAS,253,55,197,1,21.73913043478261,77.86561264822134,0.3952569169960474,2018,Q1
MICHOACAN DE OCAMPO,MORELIA,259,52,205,2,20.077220077220076,79.15057915057915,0.7722007722007722,2018,Q1
MICHOACAN DE OCAMPO,URUAPAN,259,30,229,0,11.583011583011583,88.41698841698842,0.0,2018,Q1
MORELOS,CUERNAVACA,92,18,73,1,19.565217391304348,79.34782608695652,1.0869565217391304,2018,Q1
MORELOS,EMILIANO ZAPATA,30,6,23,1,20.0,76.66666666666667,3.3333333333333335,2018,Q1
MORELOS,JIUTEPEC,72,12,60,0,16.666666666666664,83.33333333333334,0.0,2018,Q1
MORELOS,TEMIXCO,32,4,28,0,12.5,87.5,0.0,2018,Q1
MORELOS,XOCHITEPEC,4,0,4,0,0.0,100.0,0.0,2018,Q1
MORELOS,YAUTEPEC,10,3,7,0,30.0,70.0,0.0,2018,Q1
NAYARIT,TEPIC,257,76,181,0,29.571984435797667,70.42801556420234,0.0,2018,Q1
NAYARIT,XALISCO,26,14,12,0,53.84615384615385,46.15384615384615,0.0,2018,Q1
NUEVO LEON,APODACA,265,96,164,5,36.22641509433962,61.886792452830186,1.8867924528301887,2018,Q1
NUEVO LEON,GENERAL ESCOBEDO,261,132,129,0,50.57471264367817,49.42528735632184,0.0,2018,Q1
NUEVO LEON,GUADALUPE,251,95,156,0,37.84860557768924,62.15139442231076,0.0,2018,Q1
NUEVO LEON,MONTERREY,218,43,172,3,19.724770642201836,78.89908256880734,1.3761467889908259,2018,Q1
NUEVO LEON,SAN NICOLAS DE LOS GARZA,239,152,79,8,63.59832635983263,33.054393305439326,3.3472803347280333,2018,Q1
NUEVO LEON,SAN PEDRO GARZA GARCIA,170,135,35,0,79.41176470588235,20.588235294117645,0.0,2018,Q1
NUEVO LEON,SANTA CATARINA,243,122,118,3,50.20576131687243,48.559670781893004,1.2345679012345678,2018,Q1
OAXACA,ANIMAS TRUJANO,5,2,3,0,40.0,60.0,0.0,2018,Q1
OAXACA,OAXACA DE JUAREZ,129,21,108,0,16.27906976744186,83.72093023255815,0.0,2018,Q1
OAXACA,SAN AGUSTIN DE LAS JUNTAS,10,0,10,0,0.0,100.0,0.0,2018,Q1
OAXACA,SAN AGUSTIN YATARENI,5,1,4,0,20.0,80.0,0.0,2018,Q1
OAXACA,SAN ANDRES HUAYAPAM,4,3,1,0,75.0,25.0,0.0,2018,Q1
OAXACA,SAN ANTONIO DE LA CAL,6,3,3,0,50.0,50.0,0.0,2018,Q1
OAXACA,SAN JACINTO AMILPAS,5,1,4,0,20.0,80.0,0.0,2018,Q1
OAXACA,SAN PABLO ETLA,10,1,9,0,10.0,90.0,0.0,2018,Q1
OAXACA,SAN SEBASTIAN TUTLA,9,1,8,0,11.11111111111111,88.88888888888889,0.0,2018,Q1
OAXACA,SANTA CRUZ AMILPAS,8,3,5,0,37.5,62.5,0.0,2018,Q1
OAXACA,SANTA CRUZ XOXOCOTLAN,41,5,36,0,12.195121951219512,87.8048780487805,0.0,2018,Q1
OAXACA,SANTA LUCIA DEL CAMINO,20,3,17,0,15.0,85.0,0.0,2018,Q1
OAXACA,SANTA MARIA ATZOMPA,8,0,8,0,0.0,100.0,0.0,2018,Q1
OAXACA,SANTA MARIA DEL TULE,4,1,3,0,25.0,75.0,0.0,2018,Q1
PUEBLA,AMOZOC,20,0,20,0,0.0,100.0,0.0,2018,Q1
PUEBLA,CUAUTLANCINGO,19,5,14,0,26.31578947368421,73.68421052631578,0.0,2018,Q1
PUEBLA,JUAN C. BONILLA,5,0,5,0,0.0,100.0,0.0,2018,Q1
PUEBLA,PUEBLA,195,36,159,0,18.461538461538463,81.53846153846153,0.0,2018,Q1
PUEBLA,SAN PEDRO CHOLULA,20,4,16,0,20.0,80.0,0.0,2018,Q1
QUERETARO,CORREGIDORA,49,19,29,1,38.775510204081634,59.183673469387756,2.0408163265306123,2018,Q1
QUERETARO,QUERETARO,206,82,124,0,39.80582524271845,60.19417475728155,0.0,2018,Q1
QUINTANA ROO,BENITO JUAREZ,257,16,240,1,6.22568093385214,93.3852140077821,0.38910505836575876,2018,Q1
SAN LUIS POTOSI,SAN LUIS POTOSI,140,19,121,0,13.571428571428571,86.42857142857143,0.0,2018,Q1
SAN LUIS POTOSI,SOLEDAD DE GRACIANO SANCHEZ,128,15,113,0,11.71875,88.28125,0.0,2018,Q1
SINALOA,AHOME,258,94,164,0,36.434108527131784,63.565891472868216,0.0,2018,Q1
SINALOA,CULIACAN,260,70,190,0,26.923076923076923,73.07692307692307,0.0,2018,Q1
SINALOA,MAZATLAN,256,104,151,1,40.625,58.984375,0.390625,2018,Q1
SONORA,HERMOSILLO,258,62,196,0,24.031007751937985,75.96899224806202,0.0,2018,Q1
SONORA,NOGALES,262,89,173,0,33.969465648854964,66.03053435114504,0.0,2018,Q1
TABASCO,CENTRO,240,12,228,0,5.0,95.0,0.0,2018,Q1
TABASCO,NACAJUCA,11,1,10,0,9.090909090909092,90.9090909090909,0.0,2018,Q1
TAMAULIPAS,ALTAMIRA,51,27,24,0,52.94117647058824,47.05882352941176,0.0,2018,Q1
TAMAULIPAS,CIUDAD MADERO,70,37,33,0,52.85714285714286,47.14285714285714,0.0,2018,Q1
TAMAULIPAS,NUEVO LAREDO,237,56,181,0,23.628691983122362,76.37130801687763,0.0,2018,Q1
TAMAULIPAS,REYNOSA,210,14,196,0,6.666666666666667,93.33333333333333,0.0,2018,Q1
TAMAULIPAS,TAMPICO,101,53,47,1,52.475247524752476,46.53465346534654,0.9900990099009901,2018,Q1
TLAXCALA,AMAXAC DE GUERRERO,4,1,3,0,25.0,75.0,0.0,2018,Q1
TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,9,6,3,0,66.66666666666666,33.33333333333333,0.0,2018,Q1
TLAXCALA,APIZACO,18,3,15,0,16.666666666666664,83.33333333333334,0.0,2018,Q1
TLAXCALA,CHIAUTEMPAN,24,9,15,0,37.5,62.5,0.0,2018,Q1
TLAXCALA,CONTLA DE JUAN CUAMATZI,15,6,9,0,40.0,60.0,0.0,2018,Q1
TLAXCALA,LA MAGDALENA TLALTELULCO,9,3,6,0,33.33333333333333,66.66666666666666,0.0,2018,Q1
TLAXCALA,MAZATECOCHCO DE JOSE MARIA MORELOS,9,4,5,0,44.44444444444444,55.55555555555556,0.0,2018,Q1
TLAXCALA,PANOTLA,9,2,7,0,22.22222222222222,77.77777777777779,0.0,2018,Q1
TLAXCALA,PAPALOTLA DE XICOHTENCATL,18,9,9,0,50.0,50.0,0.0,2018,Q1
TLAXCALA,SAN FRANCISCO TETLANOHCAN,5,2,3,0,40.0,60.0,0.0,2018,Q1
TLAXCALA,SAN JERONIMO ZACUALPAN,5,1,4,0,20.0,80.0,0.0,2018,Q1
