NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
YUCATAN,MERIDA,38,26,12,0,68.42105263157895,31.57894736842105,0.0,2015,1
YUCATAN,MERIDA,41,30,11,0,73.17073170731707,26.82926829268293,0.0,2015,1
YUCATAN,MERIDA,39,32,7,0,82.05128205128204,17.94871794871795,0.0,2015,1
YUCATAN,MERIDA,41,36,5,0,87.8048780487805,12.195121951219512,0.0,2015,2
YUCATAN,MERIDA,256,144,112,0,56.25,43.75,0.0,2016,1
YUCATAN,MERIDA,261,175,86,0,67.04980842911877,32.95019157088122,0.0,2016,1
YUCATAN,MERIDA,253,164,89,0,64.82213438735178,35.177865612648226,0.0,2016,1
YUCATAN,KANASIN,19,6,13,0,31.57894736842105,68.42105263157895,0.0,2017,2
YUCATAN,MERIDA,216,166,50,0,76.85185185185185,23.14814814814815,0.0,2017,2
YUCATAN,PROGRESO,17,12,5,0,70.58823529411765,29.411764705882355,0.0,2017,2
YUCATAN,UMAN,9,7,2,0,77.77777777777779,22.22222222222222,0.0,2017,2
YUCATAN,KANASIN,18,5,13,0,27.77777777777778,72.22222222222221,0.0,2018,1
YUCATAN,MERIDA,216,141,75,0,65.27777777777779,34.72222222222222,0.0,2018,1
YUCATAN,PROGRESO,17,10,7,0,58.82352941176471,41.17647058823529,0.0,2018,1
YUCATAN,UMAN,14,7,7,0,50.0,50.0,0.0,2018,1
YUCATAN,KANASIN,13,6,7,0,46.15384615384615,53.84615384615385,0.0,2018,2
YUCATAN,MERIDA,219,163,56,0,74.42922374429224,25.570776255707763,0.0,2018,2
YUCATAN,PROGRESO,18,12,6,0,66.66666666666666,33.33333333333333,0.0,2018,2
YUCATAN,UMAN,19,10,9,0,52.63157894736842,47.368421052631575,0.0,2018,2
YUCATAN,KANASIN,15,6,9,0,40.0,60.0,0.0,2019,1
YUCATAN,MERIDA,212,135,77,0,63.67924528301887,36.32075471698113,0.0,2019,1
YUCATAN,PROGRESO,18,11,7,0,61.11111111111112,38.88888888888889,0.0,2019,1
YUCATAN,UMAN,18,8,10,0,44.44444444444444,55.55555555555556,0.0,2019,1
YUCATAN,KANASIN,14,10,4,0,71.42857142857143,28.57142857142857,0.0,2019,2
YUCATAN,MERIDA,212,179,31,2,84.43396226415094,14.62264150943396,0.9433962264150944,2019,2
YUCATAN,PROGRESO,17,14,3,0,82.35294117647058,17.647058823529413,0.0,2019,2
YUCATAN,UMAN,18,11,7,0,61.11111111111112,38.88888888888889,0.0,2019,2
YUCATAN,KANASIN,14,9,5,0,64.28571428571429,35.714285714285715,0.0,2019,2
YUCATAN,MERIDA,217,157,60,0,72.35023041474655,27.64976958525346,0.0,2019,2
YUCATAN,PROGRESO,17,12,5,0,70.58823529411765,29.411764705882355,0.0,2019,2
YUCATAN,UMAN,17,7,10,0,41.17647058823529,58.82352941176471,0.0,2019,2
YUCATAN,KANASIN,7,5,2,0,71.42857142857143,28.57142857142857,0.0,2020,1
YUCATAN,MERIDA,216,168,48,0,77.77777777777779,22.22222222222222,0.0,2020,1
YUCATAN,PROGRESO,23,13,10,0,56.52173913043478,43.47826086956522,0.0,2020,1
YUCATAN,UMAN,18,12,6,0,66.66666666666666,33.33333333333333,0.0,2020,1
YUCATAN,KANASIN,10,7,3,0,70.0,30.0,0.0,2020,3
YUCATAN,MERIDA,212,167,45,0,78.77358490566037,21.22641509433962,0.0,2020,3
YUCATAN,PROGRESO,28,16,12,0,57.14285714285714,42.85714285714285,0.0,2020,3
YUCATAN,UMAN,12,9,3,0,75.0,25.0,0.0,2020,3
YUCATAN,KANASIN,9,2,7,0,22.22222222222222,77.77777777777779,0.0,2020,4
YUCATAN,MERIDA,215,171,44,0,79.53488372093022,20.46511627906977,0.0,2020,4
YUCATAN,PROGRESO,28,15,13,0,53.57142857142857,46.42857142857143,0.0,2020,4
YUCATAN,UMAN,12,7,5,0,58.333333333333336,41.66666666666667,0.0,2020,4
YUCATAN,KANASIN,14,7,7,0,50.0,50.0,0.0,2021,1
YUCATAN,MERIDA,215,159,56,0,73.95348837209302,26.046511627906977,0.0,2021,1
YUCATAN,PROGRESO,23,11,12,0,47.82608695652174,52.17391304347826,0.0,2021,1
YUCATAN,UMAN,13,7,6,0,53.84615384615385,46.15384615384615,0.0,2021,1
YUCATAN,KANASIN,13,2,11,0,15.384615384615383,84.61538461538461,0.0,2021,2
YUCATAN,MERIDA,218,176,42,0,80.73394495412845,19.26605504587156,0.0,2021,2
YUCATAN,PROGRESO,22,11,11,0,50.0,50.0,0.0,2021,2
YUCATAN,UMAN,15,8,7,0,53.333333333333336,46.66666666666666,0.0,2021,2
YUCATAN,KANASIN,18,7,11,0,38.88888888888889,61.11111111111112,0.0,2021,3
YUCATAN,MERIDA,217,150,67,0,69.12442396313364,30.87557603686636,0.0,2021,3
YUCATAN,PROGRESO,17,10,7,0,58.82352941176471,41.17647058823529,0.0,2021,3
YUCATAN,UMAN,15,8,7,0,53.333333333333336,46.66666666666666,0.0,2021,3
YUCATAN,KANASIN,19,9,10,0,47.368421052631575,52.63157894736842,0.0,2021,4
YUCATAN,MERIDA,219,165,54,0,75.34246575342466,24.65753424657534,0.0,2021,4
YUCATAN,PROGRESO,20,12,8,0,60.0,40.0,0.0,2021,4
YUCATAN,UMAN,10,6,4,0,60.0,40.0,0.0,2021,4
YUCATAN,KANASIN,19,15,4,0,78.94736842105263,21.052631578947366,0.0,2022,1
YUCATAN,MERIDA,218,173,45,0,79.35779816513761,20.642201834862387,0.0,2022,1
YUCATAN,PROGRESO,25,12,13,0,48.0,52.0,0.0,2022,1
YUCATAN,UMAN,10,9,1,0,90.0,10.0,0.0,2022,1
YUCATAN,KANASIN,20,12,8,0,60.0,40.0,0.0,2022,2
YUCATAN,MERIDA,222,152,70,0,68.46846846846847,31.53153153153153,0.0,2022,2
YUCATAN,PROGRESO,24,14,10,0,58.333333333333336,41.66666666666667,0.0,2022,2
