"cd","descrip"
"01","Aguascalientes"
"02","Mexicali"
"03","Tijuana"
"04","La Paz"
"05","Campeche"
"06","Saltillo"
"09","Colima"
"11","Tuxtla Gutiérrez"
"13","Chihuahua"
"14","Ciudad Juárez"
"15","DF Norte"
"16","DF Sur"
"17","DF Oriente"
"18","DF Poniente"
"19","Durango"
"20","León"
"21","Acapulco"
"23","Pachuca"
"24","Guadalajara"
"26","Toluca"
"29","Morelia"
"32","Cuernavaca"
"33","Tepic"
"34","Monterrey"
"35","Oaxaca"
"36","Puebla"
"37","Querétaro"
"38","Cancún"
"39","San Luis Potosí"
"40","Culiacán"
"43","Hermosillo"
"45","Villahermosa"
"46","Tampico"
"47","Reynosa"
"49","Tlaxcala"
"50","Veracruz"
"52","Mérida"
"53","Zacatecas"
