"UPM","PRO_VIV","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","AP1_1","AP1_2","AP2_1","AP2_2","AP2_3","AP2_4","FAC_VIV","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100188
","042
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","1
","-
","2
","1
","2
","04
","1
","
","
","970
","U
","3
","00010
","1380
"
"0100188
","088
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","1
","1
","-
","2
","1
","2
","01
","1
","
","
","970
","U
","3
","00010
","1380
"
"0100188
","113
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","2
","1
","2
","02
","1
","
","
","970
","U
","3
","00010
","1380
"
"0100188
","021
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","970
","U
","3
","00010
","1380
"
"0100221
","086
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","2
","1
","2
","03
","1
","
","
","855
","U
","4
","00020
","1390
"
"0100221
","041
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","2
","1
","2
","01
","1
","
","
","855
","U
","4
","00020
","1390
"
"0100221
","060
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","2
","1
","2
","06
","1
","
","
","855
","U
","4
","00020
","1390
"
"0100221
","019
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","2
","1
","2
","02
","1
","
","
","855
","U
","4
","00020
","1390
"
"0100221
","037
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","2
","1
","2
","03
","1
","
","
","855
","U
","4
","00020
","1390
"
"0100295
","009
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","1
","1
","2
","03
","1
","
","
","836
","U
","4
","00030
","1390
"
"0100295
","039
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","1
","1
","2
","04
","1
","
","
","836
","U
","4
","00030
","1390
"
"0100295
","104
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0419
","01
","0
","0
","-
","1
","1
","2
","06
","1
","
","
","836
","U
","4
","00030
","1390
"
