NOM_ENT,NOM_MUN,BP1_1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,2
