NOM_ENT,NOM_MUN,NOM_CD,BP1_1
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,1
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,1
YUCATAN,KANASIN,MERIDA,1
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,1
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,1
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,1
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,1
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,1
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,2
YUCATAN,KANASIN,MERIDA,2
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,2
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
YUCATAN,MERIDA,MERIDA,1
