NOM_ENT,NOM_MUN,NOM_CD,BP1_1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,2
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,1
