"cd","descrip"
"01","Ciudad de México"
"02","Guadalajara"
"03","Monterrey"
"04","Puebla"
"05","León"
"07","San Luis Potosí"
"08","Mérida"
"09","Chihuahua"
"10","Tampico"
"12","Veracruz"
"13","Acapulco"
"14","Aguascalientes"
"15","Morelia"
"16","Toluca"
"17","Saltillo"
"18","Villahermosa"
"19","Tuxtla Gutiérrez"
"21","Frontera Tijuana"
"24","Culiacán"
"25","Hermosillo"
"26","Durango"
"27","Tepic"
"29","Cuernavaca"
"28","Campeche"
"31","Oaxaca"
"32","Zacatecas"
"33","Colima"
"36","Querétaro"
"39","Tlaxcala"
"40","La Paz"
"41","Cancún"
"43","Pachuca"
