"N_REN","descrip"
"01…30
","Número de renglón"
"5
","Quinta entrevista"
"4
","Cuarta entrevista"
"3
","Tercera entrevista"
"2
","Segunda entrevista"
"1
","Primera entrevista"
"-
","Electronico o papel"
"4
","4 veces"
"3
","3 veces"
"2
","2 veces"
"1
","1 vez"
"0
","0 veces"
"3
","3 veces"
"2
","2 veces"
"1
","1 vez"
"0
","0 veces"
"01
","Entrevista completa"
"0120
","Periodo de la entrevista"
"91
","Chimalhuacán"
"90
","Atizapán de Zaragoza"
"89
","Cuautitlán Izcalli"
"88
","Naucalpan de Juárez"
"87
","Tlalnepantla de Baz"
"86
","Venustiano Carranza"
"85
","Miguel Hidalgo"
"84
","Cuauhtémoc"
"83
","Benito Juárez"
"82
","Xochimilco"
"81
","Tlalpan"
"80
","Tláhuac"
"79
","Álvaro Obregón"
"78
","Milpa Alta"
"77
","La Magdalena Contreras"
"76
","Iztapalapa"
"75
","Iztacalco"
"74
","Gustavo A. Madero"
"73
","Cuajimalpa de Morelos"
"72
","Coyoacán"
"71
","Azcapotzalco"
"70
","Santa Catarina                "
"69
","San Nicolás de los Garza        "
"68
","Gral. Escobedo                "
"67
","Guadalupe                       "
"66
","Apodaca                            "
"65
","San Pedro Garza García             "
"64
","Monterrey                        "
"63
","Zapopan                          "
"62
","San Pedro Tlaquepaque              "
"61
","Tlajomulco de Zúñiga"
"60
","Tonalá                           "
"59
","Guadalajara                     "
"58
","Ixtapa-Zihuatanejo"
"57
","Guanajuato"
"56
","Ciudad del Carmen"
"55
","Los Cabos"
"54
","Fresnillo"
"53
","Zacatecas"
"52
","Mérida"
"51
","Coatzacoalcos"
"50
","Veracruz"
"49
","Tlaxcala"
"48
","Nuevo Laredo"
"47
","Reynosa"
"46
","Tampico"
"45
","Villahermosa"
"44
","Nogales"
"43
","Hermosillo"
"42
","Los Mochis"
"41
","Mazatlán"
"40
","Culiacán"
"39
","San Luis Potosí"
"38
","Cancún"
"37
","Querétaro"
"36
","Puebla"
"35
","Oaxaca"
"33
","Tepic"
"32
","Cuernavaca"
"31
","Lázaro Cárdenas"
"30
","Uruapan"
"29
","Morelia"
"28
","Ciudad Nezahualcóyotl"
"27
","Ecatepec de Morelos"
"26
","Toluca"
"25
","Puerto Vallarta"
"23
","Pachuca"
"22
","Chilpancingo de los Bravo"
"21
","Acapulco"
"20
","León"
"19
","Durango"
"14
","Ciudad Juárez"
"13
","Chihuahua"
"12
","Tapachula"
"11
","Tuxtla Gutiérrez"
"10
","Manzanillo"
"09
","Colima"
"08
","Piedras Negras"
"07
","La Laguna"
"06
","Saltillo"
"05
","Campeche"
"04
","La Paz"
"03
","Tijuana"
"02
","Mexicali"
"01
","Aguascalientes"
"0000…1600
","Localidad"
"Texto mínimo 2 caracteres
","Nombre del Municipio"
"001...570
","Clave del Municipio"
"Texto mínimo 2 caracteres
","Nombre de la Entidad"
"32
","Zacatecas"
"31
","Yucatán"
"30
","Veracruz de Ignacio de la Llave"
"29
","Tlaxcala"
"28
","Tamaulipas"
"27
","Tabasco"
"26
","Sonora"
"25
","Sinaloa"
"24
","San Luis Potosí"
"23
","Quintana Roo"
"22
","Querétaro"
"21
","Puebla"
"20
","Oaxaca"
"19
","Nuevo León"
"18
","Nayarit"
"17
","Morelos"
"16
","Michoacán de Ocampo"
"15
","Estado de México"
"14
","Jalisco"
"13
","Hidalgo"
"12
","Guerrero"
"11
","Guanajuato"
"10
","Durango"
"09
","Ciudad de México"
"08
","Chihuahua"
"07
","Chiapas"
"06
","Colima"
"05
","Coahuila de Zaragoza"
"04
","Campeche"
"03
","Baja California Sur"
"02
","Baja California"
"01
","Aguascalientes"
"01…30
","Número de renglón del informante"
