NOM_ENT,NOM_MUN,NOM_CD,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,TOTAL_RESPUESTAS,PORCENTAJE_SEGUROS,PORCENTAJE_INSEGUROS,PORCENTAJE_NO_RESPONDE,PERIODO,FECHA_PROCESAMIENTO,AÑO,TRIMESTRE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,TOTAL_REGISTROS
YUCATÃ¡N,"KanasÃ­n",SIN_CIUDAD,4,17,0,21,19.05,80.95,0.0,2016-Q2,2025-09-10T10:05:29.755327,2016,2,19.05,80.95,0.0,21
YUCATÃ¡N,"MÃ©rida",SIN_CIUDAD,141,67,0,208,67.79,32.21,0.0,2016-Q2,2025-09-10T10:05:29.755327,2016,2,67.79,32.21,0.0,208
YUCATÃ¡N,"Progreso",SIN_CIUDAD,9,5,0,14,64.29,35.71,0.0,2016-Q2,2025-09-10T10:05:29.755327,2016,2,64.29,35.71,0.0,14
YUCATÃ¡N,"UmÃ¡n",SIN_CIUDAD,8,6,0,14,57.14,42.86,0.0,2016-Q2,2025-09-10T10:05:29.755327,2016,2,57.14,42.86,0.0,14
YUCATÃ¡N,"KanasÃ­n",SIN_CIUDAD,5,17,0,22,22.73,77.27,0.0,2017-Q1,2025-09-10T10:05:30.223395,2017,1,22.73,77.27,0.0,22
YUCATÃ¡N,"MÃ©rida",SIN_CIUDAD,153,59,0,212,72.17,27.83,0.0,2017-Q1,2025-09-10T10:05:30.223395,2017,1,72.17,27.83,0.0,212
YUCATÃ¡N,"Progreso",SIN_CIUDAD,8,7,0,15,53.33,46.67,0.0,2017-Q1,2025-09-10T10:05:30.223395,2017,1,53.33,46.67,0.0,15
YUCATÃ¡N,"UmÃ¡n",SIN_CIUDAD,10,5,0,15,66.67,33.33,0.0,2017-Q1,2025-09-10T10:05:30.223395,2017,1,66.67,33.33,0.0,15
YUCATAN,"Kanasin",SIN_CIUDAD,6,13,0,19,31.58,68.42,0.0,2017-Q2,2025-09-10T10:05:30.676641,2017,2,31.58,68.42,0.0,19
YUCATAN,"Merida",SIN_CIUDAD,166,50,0,216,76.85,23.15,0.0,2017-Q2,2025-09-10T10:05:30.676641,2017,2,76.85,23.15,0.0,216
YUCATAN,"Progreso",SIN_CIUDAD,12,5,0,17,70.59,29.41,0.0,2017-Q2,2025-09-10T10:05:30.676641,2017,2,70.59,29.41,0.0,17
YUCATAN,"Uman",SIN_CIUDAD,7,2,0,9,77.78,22.22,0.0,2017-Q2,2025-09-10T10:05:30.676641,2017,2,77.78,22.22,0.0,9
