NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
KANASIN,19,15,4,0,78.94736842105263,21.052631578947366,0.0,2022,1
MERIDA,218,173,45,0,79.35779816513761,20.642201834862387,0.0,2022,1
PROGRESO,25,12,13,0,48.0,52.0,0.0,2022,1
UMAN,10,9,1,0,90.0,10.0,0.0,2022,1
KANASIN,21,14,7,0,66.66666666666666,33.33333333333333,0.0,2024,2
MERIDA,226,186,40,0,82.30088495575221,17.699115044247787,0.0,2024,2
PROGRESO,4,2,2,0,50.0,50.0,0.0,2024,2
UMAN,5,2,3,0,40.0,60.0,0.0,2024,2
KANASIN,24,11,13,0,45.83333333333333,54.166666666666664,0.0,2022,3
MERIDA,211,159,52,0,75.35545023696683,24.644549763033176,0.0,2022,3
PROGRESO,24,13,11,0,54.166666666666664,45.83333333333333,0.0,2022,3
UMAN,4,3,1,0,75.0,25.0,0.0,2022,3
KANASIN,35,19,16,0,54.285714285714285,45.714285714285715,0.0,2024,4
MERIDA,210,155,55,0,73.80952380952381,26.190476190476193,0.0,2024,4
PROGRESO,5,3,2,0,60.0,40.0,0.0,2024,4
UMAN,10,3,7,0,30.0,70.0,0.0,2024,4
KANASIN,20,12,8,0,60.0,40.0,0.0,2022,2
MERIDA,222,152,70,0,68.46846846846847,31.53153153153153,0.0,2022,2
PROGRESO,24,14,10,0,58.333333333333336,41.66666666666667,0.0,2022,2
UMAN,9,6,3,0,66.66666666666666,33.33333333333333,0.0,2022,2
KANASIN,23,12,11,0,52.17391304347826,47.82608695652174,0.0,2022,4
MERIDA,212,157,55,0,74.05660377358491,25.943396226415093,0.0,2022,4
PROGRESO,23,13,10,0,56.52173913043478,43.47826086956522,0.0,2022,4
UMAN,4,3,1,0,75.0,25.0,0.0,2022,4
KANASIN,30,20,10,0,66.66666666666666,33.33333333333333,0.0,2023,4
MERIDA,229,184,45,0,80.34934497816593,19.65065502183406,0.0,2023,4
PROGRESO,9,4,5,0,44.44444444444444,55.55555555555556,0.0,2023,4
KANASIN,25,20,5,0,80.0,20.0,0.0,2024,3
MERIDA,223,177,46,0,79.37219730941703,20.62780269058296,0.0,2024,3
PROGRESO,5,3,2,0,60.0,40.0,0.0,2024,3
UMAN,5,3,2,0,60.0,40.0,0.0,2024,3
KANASIN,15,6,9,0,40.0,60.0,0.0,2019,1
MERIDA,212,135,77,0,63.67924528301887,36.32075471698113,0.0,2019,1
PROGRESO,18,11,7,0,61.111111111111114,38.88888888888889,0.0,2019,1
UMAN,18,8,10,0,44.44444444444444,55.55555555555556,0.0,2019,1
KANASIN,25,8,17,0,32.0,68.0,0.0,2025,2
MERIDA,211,138,73,0,65.40284360189574,34.59715639810427,0.0,2025,2
PROGRESO,9,6,3,0,66.66666666666666,33.33333333333333,0.0,2025,2
UMAN,10,4,6,0,40.0,60.0,0.0,2025,2
KANASIN,33,25,8,0,75.75757575757575,24.242424242424242,0.0,2024,1
MERIDA,216,166,50,0,76.85185185185185,23.14814814814815,0.0,2024,1
PROGRESO,8,5,3,0,62.5,37.5,0.0,2024,1
KANASIN,29,15,14,0,51.724137931034484,48.275862068965516,0.0,2025,1
MERIDA,209,138,71,0,66.02870813397129,33.97129186602871,0.0,2025,1
PROGRESO,10,6,4,0,60.0,40.0,0.0,2025,1
UMAN,10,4,6,0,40.0,60.0,0.0,2025,1
