NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
"Yucatán",Kanasin,23,6,17,0,0.2608695652173913,0.7391304347826086,0.0,2017,1
"Yucatán",Merida,211,151,60,0,0.7156398104265402,0.2843601895734597,0.0,2017,1
"Yucatán",Progreso,14,7,7,0,0.5,0.5,0.0,2017,1
"Yucatán",Uman,15,9,6,0,0.6,0.4,0.0,2017,1
"Yucatan",Kanasin,7,5,2,0,0.7142857142857143,0.2857142857142857,0.0,2020,1
"Yucatan",Merida,216,168,48,0,0.7777777777777778,0.2222222222222222,0.0,2020,1
"Yucatan",Progreso,23,13,10,0,0.5652173913043478,0.4347826086956521,0.0,2020,1
"Yucatan",Uman,18,12,6,0,0.6666666666666666,0.3333333333333333,0.0,2020,1
"Yucatán",Kanasin,22,5,17,0,0.2272727272727272,0.7727272727272727,0.0,2017,1
"Yucatán",Merida,212,153,59,0,0.7216981132075472,0.2783018867924528,0.0,2017,1
"Yucatán",Progreso,15,8,7,0,0.5333333333333333,0.4666666666666667,0.0,2017,1
"Yucatán",Uman,15,10,5,0,0.6666666666666666,0.3333333333333333,0.0,2017,1
"Yucatán",Kanasin,19,2,17,0,0.1052631578947368,0.8947368421052632,0.0,2017,1
"Yucatán",Merida,215,166,49,0,0.772093023255814,0.227906976744186,0.0,2017,1
"Yucatán",Progreso,14,8,6,0,0.5714285714285714,0.4285714285714285,0.0,2017,1
"Yucatán",Uman,15,9,6,0,0.6,0.4,0.0,2017,1
"Yucatan",Kanasin,18,5,13,0,0.2777777777777778,0.7222222222222222,0.0,2018,3
"Yucatan",Merida,216,141,75,0,0.6527777777777778,0.3472222222222222,0.0,2018,3
"Yucatan",Progreso,17,10,7,0,0.5882352941176471,0.4117647058823529,0.0,2018,3
"Yucatan",Uman,14,7,7,0,0.5,0.5,0.0,2018,3
Yucatan,Kanasin,15,6,9,0,0.4,0.6,0.0,2019,1
Yucatan,Merida,212,135,77,0,0.6367924528301887,0.3632075471698113,0.0,2019,1
Yucatan,Progreso,18,11,7,0,0.6111111111111112,0.3888888888888889,0.0,2019,1
Yucatan,Uman,18,8,10,0,0.4444444444444444,0.5555555555555556,0.0,2019,1
"Yucatan",Kanasin,14,7,7,0,0.5,0.5,0.0,2021,1
"Yucatan",Merida,215,159,56,0,0.7395348837209302,0.2604651162790697,0.0,2021,1
"Yucatan",Progreso,23,11,12,0,0.4782608695652174,0.5217391304347826,0.0,2021,1
"Yucatan",Uman,13,7,6,0,0.5384615384615384,0.4615384615384615,0.0,2021,1
"YUCATAN",Kanasin,29,21,8,0,0.7241379310344828,0.2758620689655172,0.0,2023,1
"YUCATAN",Merida,211,166,44,1,0.7867298578199052,0.2085308056872037,0.0047393364928909,2023,1
"YUCATAN",Progreso,22,12,10,0,0.5454545454545454,0.4545454545454545,0.0,2023,1
"Yucatán",Kanasin,21,4,17,0,0.1904761904761904,0.8095238095238095,0.0,2016,2
"Yucatán",Merida,208,141,67,0,0.6778846153846154,0.3221153846153846,0.0,2016,2
"Yucatán",Progreso,14,9,5,0,0.6428571428571429,0.3571428571428571,0.0,2016,2
"Yucatán",Uman,14,8,6,0,0.5714285714285714,0.4285714285714285,0.0,2016,2
"Yucatan",Kanasin,19,6,13,0,0.3157894736842105,0.6842105263157895,0.0,2017,2
"Yucatan",Merida,216,166,50,0,0.7685185185185185,0.2314814814814814,0.0,2017,2
"Yucatan",Progreso,17,12,5,0,0.7058823529411765,0.2941176470588235,0.0,2017,2
"Yucatan",Uman,9,7,2,0,0.7777777777777778,0.2222222222222222,0.0,2017,2
"Yucatan",Kanasin,13,6,7,0,0.4615384615384615,0.5384615384615384,0.0,2018,4
"Yucatan",Merida,219,163,56,0,0.7442922374429224,0.2557077625570776,0.0,2018,4
"Yucatan",Progreso,18,12,6,0,0.6666666666666666,0.3333333333333333,0.0,2018,4
"Yucatan",Uman,19,10,9,0,0.5263157894736842,0.4736842105263157,0.0,2018,4
"Yucatan",Kanasin,14,10,4,0,0.7142857142857143,0.2857142857142857,0.0,2019,4
"Yucatan",Merida,212,179,31,2,0.8443396226415094,0.1462264150943396,0.0094339622641509,2019,4
"Yucatan",Progreso,17,14,3,0,0.8235294117647058,0.1764705882352941,0.0,2019,4
"Yucatan",Uman,18,11,7,0,0.6111111111111112,0.3888888888888889,0.0,2019,4
"Yucatan",Kanasin,13,2,11,0,0.1538461538461538,0.8461538461538461,0.0,2021,2
"Yucatan",Merida,218,176,42,0,0.8073394495412844,0.1926605504587156,0.0,2021,2
"Yucatan",Progreso,22,11,11,0,0.5,0.5,0.0,2021,2
"Yucatan",Uman,15,8,7,0,0.5333333333333333,0.4666666666666667,0.0,2021,2
"Yucatan",Kanasin,18,7,11,0,0.3888888888888889,0.6111111111111112,0.0,2021,3
"Yucatan",Merida,217,150,67,0,0.6912442396313364,0.3087557603686636,0.0,2021,3
"Yucatan",Progreso,17,10,7,0,0.5882352941176471,0.4117647058823529,0.0,2021,3
"Yucatan",Uman,15,8,7,0,0.5333333333333333,0.4666666666666667,0.0,2021,3
"Yucatan",Kanasin,9,2,7,0,0.2222222222222222,0.7777777777777778,0.0,2020,4
"Yucatan",Merida,215,171,44,0,0.7953488372093023,0.2046511627906976,0.0,2020,4
"Yucatan",Progreso,28,15,13,0,0.5357142857142857,0.4642857142857143,0.0,2020,4
"Yucatan",Uman,12,7,5,0,0.5833333333333334,0.4166666666666667,0.0,2020,4
"Yucatan",Kanasin,19,9,10,0,0.4736842105263157,0.5263157894736842,0.0,2021,4
"Yucatan",Merida,219,165,54,0,0.7534246575342466,0.2465753424657534,0.0,2021,4
"Yucatan",Progreso,20,12,8,0,0.6,0.4,0.0,2021,4
"Yucatan",Uman,10,6,4,0,0.6,0.4,0.0,2021,4
"Yucatan",Kanasin,14,9,5,0,0.6428571428571429,0.3571428571428571,0.0,2019,2
"Yucatan",Merida,217,157,60,0,0.7235023041474654,0.2764976958525346,0.0,2019,2
"Yucatan",Progreso,17,12,5,0,0.7058823529411765,0.2941176470588235,0.0,2019,2
"Yucatan",Uman,17,7,10,0,0.4117647058823529,0.5882352941176471,0.0,2019,2
"Yucatan",Kanasin,10,7,3,0,0.7,0.3,0.0,2020,3
"Yucatan",Merida,212,167,45,0,0.7877358490566038,0.2122641509433962,0.0,2020,3
"Yucatan",Progreso,28,16,12,0,0.5714285714285714,0.4285714285714285,0.0,2020,3
"Yucatan",Uman,12,9,3,0,0.75,0.25,0.0,2020,3
Yucatan,Kanasin,19,15,4,0,0.7894736842105263,0.2105263157894736,0.0,2022,1
Yucatan,Merida,218,173,45,0,0.7935779816513762,0.2064220183486238,0.0,2022,1
Yucatan,Progreso,25,12,13,0,0.48,0.52,0.0,2022,1
Yucatan,Uman,10,9,1,0,0.9,0.1,0.0,2022,1
YUCATAN,Kanasin,33,25,8,0,0.7575757575757576,0.2424242424242424,0.0,2024,1
YUCATAN,Merida,216,166,50,0,0.7685185185185185,0.2314814814814814,0.0,2024,1
YUCATAN,Progreso,8,5,3,0,0.625,0.375,0.0,2024,1
YUCATAN,Kanasin,29,15,14,0,0.5172413793103449,0.4827586206896552,0.0,2025,1
YUCATAN,Merida,209,138,71,0,0.6602870813397129,0.3397129186602871,0.0,2025,1
YUCATAN,Progreso,10,6,4,0,0.6,0.4,0.0,2025,1
YUCATAN,Uman,10,4,6,0,0.4,0.6,0.0,2025,1
Yucatan,Kanasin,20,12,8,0,0.6,0.4,0.0,2022,2
Yucatan,Merida,222,152,70,0,0.6846846846846847,0.3153153153153153,0.0,2022,2
Yucatan,Progreso,24,14,10,0,0.5833333333333334,0.4166666666666667,0.0,2022,2
Yucatan,Uman,9,6,3,0,0.6666666666666666,0.3333333333333333,0.0,2022,2
"YUCATAN",Kanasin,30,15,15,0,0.5,0.5,0.0,2023,2
"YUCATAN",Merida,222,181,41,0,0.8153153153153153,0.1846846846846846,0.0,2023,2
"YUCATAN",Progreso,19,8,11,0,0.4210526315789473,0.5789473684210527,0.0,2023,2
YUCATAN,Kanasin,21,14,7,0,0.6666666666666666,0.3333333333333333,0.0,2024,2
YUCATAN,Merida,226,186,40,0,0.8230088495575221,0.1769911504424778,0.0,2024,2
YUCATAN,Progreso,4,2,2,0,0.5,0.5,0.0,2024,2
YUCATAN,Uman,5,2,3,0,0.4,0.6,0.0,2024,2
YUCATAN,Kanasin,25,8,17,0,0.32,0.68,0.0,2025,2
YUCATAN,Merida,211,138,73,0,0.6540284360189573,0.3459715639810427,0.0,2025,2
YUCATAN,Progreso,9,6,3,0,0.6666666666666666,0.3333333333333333,0.0,2025,2
YUCATAN,Uman,10,4,6,0,0.4,0.6,0.0,2025,2
YUCATAN,Kanasin,24,11,13,0,0.4583333333333333,0.5416666666666666,0.0,2022,3
YUCATAN,Merida,211,159,52,0,0.7535545023696683,0.2464454976303317,0.0,2022,3
YUCATAN,Progreso,24,13,11,0,0.5416666666666666,0.4583333333333333,0.0,2022,3
YUCATAN,Uman,4,3,1,0,0.75,0.25,0.0,2022,3
"YUCATAN",Kanasin,30,25,5,0,0.8333333333333334,0.1666666666666666,0.0,2023,3
"YUCATAN",Merida,218,165,53,0,0.7568807339449541,0.2431192660550458,0.0,2023,3
"YUCATAN",Progreso,19,7,12,0,0.3684210526315789,0.631578947368421,0.0,2023,3
YUCATAN,Kanasin,25,20,5,0,0.8,0.2,0.0,2024,3
YUCATAN,Merida,223,177,46,0,0.7937219730941704,0.2062780269058296,0.0,2024,3
YUCATAN,Progreso,5,3,2,0,0.6,0.4,0.0,2024,3
YUCATAN,Uman,5,3,2,0,0.6,0.4,0.0,2024,3
YUCATAN,Kanasin,23,12,11,0,0.5217391304347826,0.4782608695652174,0.0,2022,4
YUCATAN,Merida,212,157,55,0,0.7405660377358491,0.2594339622641509,0.0,2022,4
YUCATAN,Progreso,23,13,10,0,0.5652173913043478,0.4347826086956521,0.0,2022,4
YUCATAN,Uman,4,3,1,0,0.75,0.25,0.0,2022,4
YUCATAN,Kanasin,30,20,10,0,0.6666666666666666,0.3333333333333333,0.0,2023,4
YUCATAN,Merida,229,184,45,0,0.8034934497816594,0.1965065502183406,0.0,2023,4
