"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Ciudad Autorrepresentada","cd","carácter","2","01"
"Ciudad Autorrepresentada","cd","carácter","2","02"
"Ciudad Autorrepresentada","cd","carácter","2","03"
"Ciudad Autorrepresentada","cd","carácter","2","04"
"Ciudad Autorrepresentada","cd","carácter","2","05"
"Ciudad Autorrepresentada","cd","carácter","2","07"
"Ciudad Autorrepresentada","cd","carácter","2","08"
"Ciudad Autorrepresentada","cd","carácter","2","09"
"Ciudad Autorrepresentada","cd","carácter","2","10"
"Ciudad Autorrepresentada","cd","carácter","2","12"
"Ciudad Autorrepresentada","cd","carácter","2","13"
"Ciudad Autorrepresentada","cd","carácter","2","14"
"Ciudad Autorrepresentada","cd","carácter","2","15"
"Ciudad Autorrepresentada","cd","carácter","2","16"
"Ciudad Autorrepresentada","cd","carácter","2","17"
"Ciudad Autorrepresentada","cd","carácter","2","18"
"Ciudad Autorrepresentada","cd","carácter","2","19"
"Ciudad Autorrepresentada","cd","carácter","2","21"
"Ciudad Autorrepresentada","cd","carácter","2","24"
"Ciudad Autorrepresentada","cd","carácter","2","25"
"Ciudad Autorrepresentada","cd","carácter","2","26"
"Ciudad Autorrepresentada","cd","carácter","2","27"
"Ciudad Autorrepresentada","cd","carácter","2","29"
"Ciudad Autorrepresentada","cd","carácter","2","28"
"Ciudad Autorrepresentada","cd","carácter","2","31"
"Ciudad Autorrepresentada","cd","carácter","2","32"
"Ciudad Autorrepresentada","cd","carácter","2","33"
"Ciudad Autorrepresentada","cd","carácter","2","36"
"Ciudad Autorrepresentada","cd","carácter","2","39"
"Ciudad Autorrepresentada","cd","carácter","2","40"
"Ciudad Autorrepresentada","cd","carácter","2","41"
"Ciudad Autorrepresentada","cd","carácter","2","43"
"Gasto común","p2","Character","1","1"
"Gasto común","p2","Character","1","2"
