"UPM","PRO_VIV","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","AP1_1","AP1_2","AP2_1","AP2_2","AP2_3","AP2_4","FAC_VIV","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100188
","042
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","1
","-
","3
","1
","2
","04
","1
","
","
","967
","U
","3
","00010
","1370
"
"0100188
","066
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","01
","1
","
","
","967
","U
","3
","00010
","1370
"
"0100188
","088
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","1
","1
","-
","3
","1
","2
","01
","1
","
","
","967
","U
","3
","00010
","1370
"
"0100188
","113
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","02
","1
","
","
","967
","U
","3
","00010
","1370
"
"0100188
","021
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","967
","U
","3
","00010
","1370
"
"0100221
","086
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","850
","U
","4
","00020
","1380
"
"0100221
","041
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","02
","1
","
","
","850
","U
","4
","00020
","1380
"
"0100221
","060
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","06
","1
","
","
","850
","U
","4
","00020
","1380
"
"0100221
","019
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","02
","1
","
","
","850
","U
","4
","00020
","1380
"
"0100221
","037
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","850
","U
","4
","00020
","1380
"
"0100295
","009
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","2
","1
","2
","03
","1
","
","
","831
","U
","4
","00030
","1380
"
"0100295
","039
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","831
","U
","4
","00030
","1380
"
"0100295
","080
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","2
","1
","2
","02
","1
","
","
","831
","U
","4
","00030
","1380
"
"0100310
","053
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","742
","U
","3
","00040
","1370
"
"0100310
","086
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","742
","U
","3
","00040
","1370
"
"0100310
","004
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","04
","1
","
","
","742
","U
","3
","00040
","1370
"
"0100310
","083
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","02
","1
","
","
","742
","U
","3
","00040
","1370
"
"0100374
","049
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","01
","1
","
","
","870
","U
","4
","00050
","1380
"
"0100374
","085
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","1
","-
","3
","1
","2
","02
","1
","
","
","870
","U
","4
","00050
","1380
"
"0100374
","013
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","03
","1
","
","
","870
","U
","4
","00050
","1380
"
"0100374
","035
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","07
","1
","
","
","870
","U
","4
","00050
","1380
"
"0100374
","006
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","02
","1
","
","
","870
","U
","4
","00050
","1380
"
"0100391
","122
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","2
","1
","2
","02
","1
","
","
","740
","U
","3
","00060
","1370
"
"0100391
","345
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","2
","1
","2
","02
","2
","02
","01
","740
","U
","3
","00060
","1370
"
"0100391
","336
","03
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","2
","1
","2
","04
","1
","
","
","740
","U
","3
","00060
","1370
"
"0100391
","329
","04
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","2
","1
","2
","05
","1
","
","
","740
","U
","3
","00060
","1370
"
"0100391
","348
","05
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","2
","1
","1
","01
","1
","
","
","740
","U
","3
","00060
","1370
"
"0100432
","020
","01
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","02
","2
","02
","01
","898
","U
","2
","00070
","1360
"
"0100432
","041
","02
","01
","Aguascalientes
","001
","Aguascalientes
","0001
","01
","0120
","01
","0
","0
","-
","3
","1
","2
","05
","1
","
","
","898
","U
","2
","00070
","1360
"
