"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Periodo de la entrevista","PER","Carácter",4,"0323
"
"Identificador de vivienda seleccionada","ID_VIV","Alfanumérico",11,"0100001.001,…,3299999.999
"
"Identificador del informante seleccionado","ID_PER","Alfanumérico",14,"0100001.001.01, ...., 3299999.999.30
"
"Unidad Primaria de Muestreo ","UPM","Carácter",7,"0100001,…,3299999
"
"Vivienda seleccionada","VIV_SEL","Carácter",2,"01,…,05
"
"Número de renglón de la persona seleccionada","R_SEL","Carácter",2,"01,…,30
"
"Clave Entidad","CVE_ENT","Carácter",2,"01,…,32
"
"Nombre de la Entidad","NOM_ENT","Texto",250,"Texto mínimo 2 caracteres
"
"Clave Municipio","CVE_MUN","Carácter",3,"001,…,570
"
"Nombre del Municipio","NOM_MUN","Texto",250,"Texto mínimo 2 caracteres
"
"Localidad","LOC","Carácter",4,"0000,…,1600
"
"Ciudad","CD","Carácter",2,"01
"
"Ciudad","CD","Carácter",2,"02
"
"Ciudad","CD","Carácter",2,"03
"
"Ciudad","CD","Carácter",2,"04
"
"Ciudad","CD","Carácter",2,"55
"
"Ciudad","CD","Carácter",2,"05
"
"Ciudad","CD","Carácter",2,"56
"
"Ciudad","CD","Carácter",2,"06
"
"Ciudad","CD","Carácter",2,"07
"
"Ciudad","CD","Carácter",2,"08
"
"Ciudad","CD","Carácter",2,"09
"
"Ciudad","CD","Carácter",2,"10
"
"Ciudad","CD","Carácter",2,"11
"
"Ciudad","CD","Carácter",2,"12
"
"Ciudad","CD","Carácter",2,"13
"
"Ciudad","CD","Carácter",2,"14
"
"Ciudad","CD","Carácter",2,"71
"
"Ciudad","CD","Carácter",2,"72
"
"Ciudad","CD","Carácter",2,"73
"
"Ciudad","CD","Carácter",2,"74
"
"Ciudad","CD","Carácter",2,"75
"
"Ciudad","CD","Carácter",2,"76
"
"Ciudad","CD","Carácter",2,"77
"
"Ciudad","CD","Carácter",2,"78
"
"Ciudad","CD","Carácter",2,"79
"
"Ciudad","CD","Carácter",2,"80
"
"Ciudad","CD","Carácter",2,"81
"
"Ciudad","CD","Carácter",2,"82
"
"Ciudad","CD","Carácter",2,"83
"
"Ciudad","CD","Carácter",2,"84
"
"Ciudad","CD","Carácter",2,"85
"
"Ciudad","CD","Carácter",2,"86
"
"Ciudad","CD","Carácter",2,"19
"
"Ciudad","CD","Carácter",2,"20
"
"Ciudad","CD","Carácter",2,"57
"
"Ciudad","CD","Carácter",2,"92
"
"Ciudad","CD","Carácter",2,"21
"
"Ciudad","CD","Carácter",2,"22
"
"Ciudad","CD","Carácter",2,"58
"
"Ciudad","CD","Carácter",2,"23
"
"Ciudad","CD","Carácter",2,"59
"
"Ciudad","CD","Carácter",2,"61
"
"Ciudad","CD","Carácter",2,"62
"
"Ciudad","CD","Carácter",2,"60
"
"Ciudad","CD","Carácter",2,"63
"
"Ciudad","CD","Carácter",2,"25
"
"Ciudad","CD","Carácter",2,"26
"
"Ciudad","CD","Carácter",2,"27
"
"Ciudad","CD","Carácter",2,"28
"
"Ciudad","CD","Carácter",2,"87
"
"Ciudad","CD","Carácter",2,"88
"
"Ciudad","CD","Carácter",2,"90
"
"Ciudad","CD","Carácter",2,"89
"
"Ciudad","CD","Carácter",2,"91
"
"Ciudad","CD","Carácter",2,"29
"
"Ciudad","CD","Carácter",2,"30
"
"Ciudad","CD","Carácter",2,"31
"
"Ciudad","CD","Carácter",2,"32
"
"Ciudad","CD","Carácter",2,"33
"
"Ciudad","CD","Carácter",2,"66
"
"Ciudad","CD","Carácter",2,"65
"
"Ciudad","CD","Carácter",2,"68
"
"Ciudad","CD","Carácter",2,"67
"
"Ciudad","CD","Carácter",2,"64
"
"Ciudad","CD","Carácter",2,"69
"
"Ciudad","CD","Carácter",2,"70
"
"Ciudad","CD","Carácter",2,"35
"
"Ciudad","CD","Carácter",2,"36
"
"Ciudad","CD","Carácter",2,"37
"
"Ciudad","CD","Carácter",2,"38
"
"Ciudad","CD","Carácter",2,"93
"
"Ciudad","CD","Carácter",2,"39
"
"Ciudad","CD","Carácter",2,"40
"
"Ciudad","CD","Carácter",2,"41
"
"Ciudad","CD","Carácter",2,"42
"
"Ciudad","CD","Carácter",2,"43
"
"Ciudad","CD","Carácter",2,"44
"
"Ciudad","CD","Carácter",2,"94
"
"Ciudad","CD","Carácter",2,"45
"
"Ciudad","CD","Carácter",2,"46
"
"Ciudad","CD","Carácter",2,"47
"
"Ciudad","CD","Carácter",2,"48
"
"Ciudad","CD","Carácter",2,"95
"
"Ciudad","CD","Carácter",2,"49
"
"Ciudad","CD","Carácter",2,"50
"
"Ciudad","CD","Carácter",2,"51
"
"Ciudad","CD","Carácter",2,"96
"
"Ciudad","CD","Carácter",2,"52
"
"Ciudad","CD","Carácter",2,"53
"
"Ciudad","CD","Carácter",2,"54
"
"Nombre de la Ciudad","NOM_CD","Texto",250,"Texto mínimo 2 caracteres
"
"Resultado definitivo","R_DEF","Carácter",2,"01
"
"Hogar mudado","H_MUD","Numérico",1,"0,…,4
"
"Seleccionado Mudado ","S_MUD","Numérico",1,"0,…,4
"
"Tipo de cuestionario","TIPO_CUEST","Alfanumérico",1,"-
"
"Número de entrevista","N_ENT","Numérico",1,"1,…,5
"
"Sexo","SEXO","Numérico",1,"1
"
"Sexo","SEXO","Numérico",1,"2
"
"Edad","EDAD","Numérico",2,"18,…,96
"
"Edad","EDAD","Numérico",2,"98
"
"Percepción de seguridad en la ciudad","BP1_1","Numérico",1,"1
"
"Percepción de seguridad en la ciudad","BP1_1","Numérico",1,"2
"
"Percepción de seguridad en la ciudad","BP1_1","Numérico",1,"9
"
"Percepción de seguridad en su casa","BP1_2_01","Numérico",1,"1
"
"Percepción de seguridad en su casa","BP1_2_01","Numérico",1,"2
"
"Percepción de seguridad en su casa","BP1_2_01","Numérico",1,"3
"
"Percepción de seguridad en su casa","BP1_2_01","Numérico",1,"9
"
"Percepción de seguridad en su trabajo","BP1_2_02","Numérico",1,"1
"
"Percepción de seguridad en su trabajo","BP1_2_02","Numérico",1,"2
"
"Percepción de seguridad en su trabajo","BP1_2_02","Numérico",1,"3
"
"Percepción de seguridad en su trabajo","BP1_2_02","Numérico",1,"9
"
"Percepción de seguridad en las calles que habitualmente usa","BP1_2_03","Numérico",1,"1
"
"Percepción de seguridad en las calles que habitualmente usa","BP1_2_03","Numérico",1,"2
"
"Percepción de seguridad en las calles que habitualmente usa","BP1_2_03","Numérico",1,"3
"
"Percepción de seguridad en las calles que habitualmente usa","BP1_2_03","Numérico",1,"9
"
"Percepción de seguridad en la escuela","BP1_2_04","Numérico",1,"1
"
"Percepción de seguridad en la escuela","BP1_2_04","Numérico",1,"2
"
"Percepción de seguridad en la escuela","BP1_2_04","Numérico",1,"3
"
"Percepción de seguridad en la escuela","BP1_2_04","Numérico",1,"9
"
"Percepción de seguridad en el mercado","BP1_2_05","Numérico",1,"1
"
"Percepción de seguridad en el mercado","BP1_2_05","Numérico",1,"2
"
"Percepción de seguridad en el mercado","BP1_2_05","Numérico",1,"3
"
"Percepción de seguridad en el mercado","BP1_2_05","Numérico",1,"9
"
"Percepción de seguridad en el centro comercial","BP1_2_06","Numérico",1,"1
"
"Percepción de seguridad en el centro comercial","BP1_2_06","Numérico",1,"2
"
"Percepción de seguridad en el centro comercial","BP1_2_06","Numérico",1,"3
"
"Percepción de seguridad en el centro comercial","BP1_2_06","Numérico",1,"9
"
"Percepción de seguridad en el banco","BP1_2_07","Numérico",1,"1
"
"Percepción de seguridad en el banco","BP1_2_07","Numérico",1,"2
"
"Percepción de seguridad en el banco","BP1_2_07","Numérico",1,"3
"
"Percepción de seguridad en el banco","BP1_2_07","Numérico",1,"9
"
"Percepción de seguridad en el cajero automático localizado en la vía pública","BP1_2_08","Numérico",1,"1
"
"Percepción de seguridad en el cajero automático localizado en la vía pública","BP1_2_08","Numérico",1,"2
"
"Percepción de seguridad en el cajero automático localizado en la vía pública","BP1_2_08","Numérico",1,"3
"
"Percepción de seguridad en el cajero automático localizado en la vía pública","BP1_2_08","Numérico",1,"9
"
"Percepción de seguridad en el transporte público","BP1_2_09","Numérico",1,"1
"
"Percepción de seguridad en el transporte público","BP1_2_09","Numérico",1,"2
"
"Percepción de seguridad en el transporte público","BP1_2_09","Numérico",1,"3
"
"Percepción de seguridad en el transporte público","BP1_2_09","Numérico",1,"9
"
"Percepción de seguridad en el automóvil","BP1_2_10","Numérico",1,"1
"
"Percepción de seguridad en el automóvil","BP1_2_10","Numérico",1,"2
"
"Percepción de seguridad en el automóvil","BP1_2_10","Numérico",1,"3
"
"Percepción de seguridad en el automóvil","BP1_2_10","Numérico",1,"9
"
"Percepción de seguridad en la carretera","BP1_2_11","Numérico",1,"1
"
"Percepción de seguridad en la carretera","BP1_2_11","Numérico",1,"2
"
"Percepción de seguridad en la carretera","BP1_2_11","Numérico",1,"3
"
"Percepción de seguridad en la carretera","BP1_2_11","Numérico",1,"9
"
"Percepción de seguridad en el parque recreativo o centro recreativo","BP1_2_12","Numérico",1,"1
"
"Percepción de seguridad en el parque recreativo o centro recreativo","BP1_2_12","Numérico",1,"2
"
"Percepción de seguridad en el parque recreativo o centro recreativo","BP1_2_12","Numérico",1,"3
"
"Percepción de seguridad en el parque recreativo o centro recreativo","BP1_2_12","Numérico",1,"9
"
"Percepción de tendencia de seguridad pública en su ciudad","BP1_3","Numérico",1,"1
"
"Percepción de tendencia de seguridad pública en su ciudad","BP1_3","Numérico",1,"2
"
"Percepción de tendencia de seguridad pública en su ciudad","BP1_3","Numérico",1,"3
"
"Percepción de tendencia de seguridad pública en su ciudad","BP1_3","Numérico",1,"4
"
"Percepción de tendencia de seguridad pública en su ciudad","BP1_3","Numérico",1,"9
"
"Incivilidades en los alrededores de su vivienda: Vandalismo (grafitis, pintas, vidrios quebrados o daños) en las viviendas o negocios","BP1_4_1","Numérico",1,"1
"
"Incivilidades en los alrededores de su vivienda: Vandalismo (grafitis, pintas, vidrios quebrados o daños) en las viviendas o negocios","BP1_4_1","Numérico",1,"2
"
"Incivilidades en los alrededores de su vivienda: Vandalismo (grafitis, pintas, vidrios quebrados o daños) en las viviendas o negocios","BP1_4_1","Numérico",1,"9
"
"Incivilidades en los alrededores de su vivienda: Consumo de alcohol en las calles","BP1_4_2","Numérico",1,"1
"
"Incivilidades en los alrededores de su vivienda: Consumo de alcohol en las calles","BP1_4_2","Numérico",1,"2
"
"Incivilidades en los alrededores de su vivienda: Consumo de alcohol en las calles","BP1_4_2","Numérico",1,"9
"
"Incivilidades en los alrededores de su vivienda: Robos o asaltos","BP1_4_3","Numérico",1,"1
"
"Incivilidades en los alrededores de su vivienda: Robos o asaltos","BP1_4_3","Numérico",1,"2
"
"Incivilidades en los alrededores de su vivienda: Robos o asaltos","BP1_4_3","Numérico",1,"9
"
"Incivilidades en los alrededores de su vivienda: Bandas violentas o pandillerismo","BP1_4_4","Numérico",1,"1
"
"Incivilidades en los alrededores de su vivienda: Bandas violentas o pandillerismo","BP1_4_4","Numérico",1,"2
"
"Incivilidades en los alrededores de su vivienda: Bandas violentas o pandillerismo","BP1_4_4","Numérico",1,"9
"
"Incivilidades en los alrededores de su vivienda: Venta o consumo de droga","BP1_4_5","Numérico",1,"1
"
"Incivilidades en los alrededores de su vivienda: Venta o consumo de droga","BP1_4_5","Numérico",1,"2
"
"Incivilidades en los alrededores de su vivienda: Venta o consumo de droga","BP1_4_5","Numérico",1,"9
"
"Incivilidades en los alrededores de su vivienda: Disparos frecuentes con armas","BP1_4_6","Numérico",1,"1
"
"Incivilidades en los alrededores de su vivienda: Disparos frecuentes con armas","BP1_4_6","Numérico",1,"2
"
"Incivilidades en los alrededores de su vivienda: Disparos frecuentes con armas","BP1_4_6","Numérico",1,"9
"
"Incivilidades en los alrededores de su vivienda: Robo o venta ilegal de gasolina o diésel (huachicol)","BP1_4_7","Numérico",1,"1
"
"Incivilidades en los alrededores de su vivienda: Robo o venta ilegal de gasolina o diésel (huachicol)","BP1_4_7","Numérico",1,"2
"
"Incivilidades en los alrededores de su vivienda: Robo o venta ilegal de gasolina o diésel (huachicol)","BP1_4_7","Numérico",1,"9
"
"Incivilidades en los alrededores de su vivienda: Tomas irregulares de luz (energía eléctrica) o diablitos","BP1_4_8","Numérico",1,"1
"
"Incivilidades en los alrededores de su vivienda: Tomas irregulares de luz (energía eléctrica) o diablitos","BP1_4_8","Numérico",1,"2
"
"Incivilidades en los alrededores de su vivienda: Tomas irregulares de luz (energía eléctrica) o diablitos","BP1_4_8","Numérico",1,"9
"
"Cambiar sus hábitos respecto a llevar cosas de valor por temor a sufrir algún delito","BP1_5_1","Numérico",1,"1
"
"Cambiar sus hábitos respecto a llevar cosas de valor por temor a sufrir algún delito","BP1_5_1","Numérico",1,"2
"
"Cambiar sus hábitos respecto a llevar cosas de valor por temor a sufrir algún delito","BP1_5_1","Numérico",1,"3
"
"Cambiar sus hábitos respecto a llevar cosas de valor por temor a sufrir algún delito","BP1_5_1","Numérico",1,"9
"
"Cambiar sus hábitos respecto a caminar por los alrededores de su vivienda, pasadas las ocho de la noche, por temor a sufrir algún delito","BP1_5_2","Numérico",1,"1
"
"Cambiar sus hábitos respecto a caminar por los alrededores de su vivienda, pasadas las ocho de la noche, por temor a sufrir algún delito","BP1_5_2","Numérico",1,"2
"
"Cambiar sus hábitos respecto a caminar por los alrededores de su vivienda, pasadas las ocho de la noche, por temor a sufrir algún delito","BP1_5_2","Numérico",1,"3
"
"Cambiar sus hábitos respecto a caminar por los alrededores de su vivienda, pasadas las ocho de la noche, por temor a sufrir algún delito","BP1_5_2","Numérico",1,"9
"
"Cambiar sus hábitos respecto a visitar a parientes o amigos por temor a sufrir algún delito","BP1_5_3","Numérico",1,"1
"
"Cambiar sus hábitos respecto a visitar a parientes o amigos por temor a sufrir algún delito","BP1_5_3","Numérico",1,"2
"
"Cambiar sus hábitos respecto a visitar a parientes o amigos por temor a sufrir algún delito","BP1_5_3","Numérico",1,"3
"
"Cambiar sus hábitos respecto a visitar a parientes o amigos por temor a sufrir algún delito","BP1_5_3","Numérico",1,"9
"
"Cambiar sus hábitos respecto a permitir que salgan de su vivienda sus hijos menores por temor a sufrir algún delito","BP1_5_4","Numérico",1,"1
"
"Cambiar sus hábitos respecto a permitir que salgan de su vivienda sus hijos menores por temor a sufrir algún delito","BP1_5_4","Numérico",1,"2
"
"Cambiar sus hábitos respecto a permitir que salgan de su vivienda sus hijos menores por temor a sufrir algún delito","BP1_5_4","Numérico",1,"3
"
"Cambiar sus hábitos respecto a permitir que salgan de su vivienda sus hijos menores por temor a sufrir algún delito","BP1_5_4","Numérico",1,"9
"
"Cambiar sus hábitos respecto a otra situación por temor a sufrir algún delito","BP1_5_5","Numérico",1,"1
"
"Cambiar sus hábitos respecto a otra situación por temor a sufrir algún delito","BP1_5_5","Numérico",1,"2
"
"Cambiar sus hábitos respecto a otra situación por temor a sufrir algún delito","BP1_5_5","Numérico",1,"3
"
"Cambiar sus hábitos respecto a otra situación por temor a sufrir algún delito","BP1_5_5","Numérico",1,"9
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: Comunicación oral con familiares, amigos o conocidos en los alrededores de la vivienda","BP1_6_01","Numérico",1,"0
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: Comunicación oral con familiares, amigos o conocidos en los alrededores de la vivienda","BP1_6_01","Numérico",1,"1
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: Comunicación oral con compañeros de trabajo o escuela","BP1_6_02","Numérico",1,"0
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: Comunicación oral con compañeros de trabajo o escuela","BP1_6_02","Numérico",1,"1
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: Facebook","BP1_6_03","Numérico",1,"0
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: Facebook","BP1_6_03","Numérico",1,"1
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: Twitter","BP1_6_04","Numérico",1,"0
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: Twitter","BP1_6_04","Numérico",1,"1
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: WhatsApp","BP1_6_05","Numérico",1,"0
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: WhatsApp","BP1_6_05","Numérico",1,"1
"
"Principales formas de enterarse sobre temas relacionados con la seguridad en su ciudad: Otra aplicación electrónica","BP1_6_06","Numérico",1,"0
"
