NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
Aguascalientes,Aguascalientes,249,107,137,5,0.42971887550200805,0.5502008032128514,0.020080321285140562,2019,1
Aguascalientes,Jesus Maria,18,8,10,0,0.4444444444444444,0.5555555555555556,0.0,2019,1
Baja California,Mexicali,260,81,178,1,0.31153846153846154,0.6846153846153846,0.0038461538461538464,2019,1
Baja California,Tijuana,261,73,188,0,0.2796934865900383,0.7203065134099617,0.0,2019,1
Baja California Sur,La Paz,262,127,135,0,0.4847328244274809,0.5152671755725191,0.0,2019,1
Baja California Sur,Los Cabos,256,147,105,4,0.57421875,0.41015625,0.015625,2019,1
Campeche,Campeche,268,132,135,1,0.4925373134328358,0.503731343283582,0.0037313432835820895,2019,1
Campeche,Carmen,259,69,187,3,0.26640926640926643,0.722007722007722,0.011583011583011582,2019,1
Chiapas,Chiapa de Corzo,22,4,18,0,0.18181818181818182,0.8181818181818182,0.0,2019,1
Chiapas,Tapachula,269,12,257,0,0.04460966542750929,0.9553903345724907,0.0,2019,1
Chiapas,Tuxtla Gutierrez,247,27,220,0,0.10931174089068826,0.8906882591093117,0.0,2019,1
Chihuahua,Chihuahua,264,67,196,1,0.2537878787878788,0.7424242424242424,0.003787878787878788,2019,1
Chihuahua,Juarez,268,71,197,0,0.26492537313432835,0.7350746268656716,0.0,2019,1
Ciudad de Mexico,Azcapotzalco,49,12,37,0,0.24489795918367346,0.7551020408163265,0.0,2019,1
Ciudad de Mexico,Benito Juarez,58,21,37,0,0.3620689655172414,0.6379310344827587,0.0,2019,1
Ciudad de Mexico,Coyoacan,89,24,65,0,0.2696629213483146,0.7303370786516854,0.0,2019,1
Ciudad de Mexico,Cuajimalpa de Morelos,14,7,7,0,0.5,0.5,0.0,2019,1
Ciudad de Mexico,Cuauhtemoc,73,10,63,0,0.136986301369863,0.863013698630137,0.0,2019,1
Ciudad de Mexico,Gustavo A. Madero,160,13,147,0,0.08125,0.91875,0.0,2019,1
Ciudad de Mexico,Iztacalco,47,4,43,0,0.0851063829787234,0.9148936170212766,0.0,2019,1
Ciudad de Mexico,Iztapalapa,183,27,156,0,0.14754098360655737,0.8524590163934426,0.0,2019,1
Ciudad de Mexico,La Magdalena Contreras,27,1,26,0,0.037037037037037035,0.9629629629629629,0.0,2019,1
Ciudad de Mexico,Miguel Hidalgo,46,13,33,0,0.2826086956521739,0.717391304347826,0.0,2019,1
Ciudad de Mexico,Milpa Alta,9,2,7,0,0.2222222222222222,0.7777777777777778,0.0,2019,1
Ciudad de Mexico,Tlahuac,35,3,32,0,0.08571428571428572,0.9142857142857143,0.0,2019,1
Ciudad de Mexico,Tlalpan,91,17,74,0,0.18681318681318682,0.8131868131868132,0.0,2019,1
Ciudad de Mexico,Venustiano Carranza,61,15,46,0,0.2459016393442623,0.7540983606557377,0.0,2019,1
Ciudad de Mexico,Xochimilco,42,5,37,0,0.11904761904761904,0.8809523809523809,0.0,2019,1
Ciudad de Mexico,alvaro Obregon,86,23,63,0,0.26744186046511625,0.7325581395348837,0.0,2019,1
Coahuila de Zaragoza,Matamoros,13,6,7,0,0.46153846153846156,0.5384615384615384,0.0,2019,1
Coahuila de Zaragoza,Nava,10,2,8,0,0.2,0.8,0.0,2019,1
Coahuila de Zaragoza,Piedras Negras,251,124,127,0,0.4940239043824701,0.5059760956175299,0.0,2019,1
Coahuila de Zaragoza,Ramos Arizpe,25,20,5,0,0.8,0.2,0.0,2019,1
Coahuila de Zaragoza,Saltillo,231,162,69,0,0.7012987012987013,0.2987012987012987,0.0,2019,1
Coahuila de Zaragoza,Torreon,153,73,80,0,0.477124183006536,0.5228758169934641,0.0,2019,1
Colima,Colima,83,28,55,0,0.3373493975903614,0.6626506024096386,0.0,2019,1
Colima,Manzanillo,241,65,176,0,0.2697095435684647,0.7302904564315352,0.0,2019,1
Colima,Villa de alvarez,184,54,130,0,0.29347826086956524,0.7065217391304348,0.0,2019,1
Durango,Durango,263,151,112,0,0.5741444866920152,0.42585551330798477,0.0,2019,1
Durango,Gomez Palacio,72,26,45,1,0.3611111111111111,0.625,0.013888888888888888,2019,1
Durango,Lerdo,18,12,6,0,0.6666666666666666,0.3333333333333333,0.0,2019,1
Guanajuato,Guanajuato,279,48,231,0,0.17204301075268819,0.8279569892473119,0.0,2019,1
Guanajuato,Leon,242,39,203,0,0.16115702479338842,0.8388429752066116,0.0,2019,1
Guanajuato,Purisima del Rincon,5,2,3,0,0.4,0.6,0.0,2019,1
Guanajuato,San Francisco del Rincon,22,5,17,0,0.22727272727272727,0.7727272727272727,0.0,2019,1
Guerrero,Acapulco de Juarez,223,29,194,0,0.13004484304932734,0.8699551569506726,0.0,2019,1
Guerrero,Chilpancingo de los Bravo,232,26,204,2,0.11206896551724138,0.8793103448275862,0.008620689655172414,2019,1
Guerrero,Zihuatanejo de Azueta,270,63,207,0,0.23333333333333334,0.7666666666666667,0.0,2019,1
Hidalgo,Mineral de la Reforma,79,41,38,0,0.5189873417721519,0.4810126582278481,0.0,2019,1
Hidalgo,Pachuca de Soto,168,75,93,0,0.44642857142857145,0.5535714285714286,0.0,2019,1
Jalisco,Guadalajara,258,39,219,0,0.1511627906976744,0.8488372093023255,0.0,2019,1
Jalisco,Puerto Vallarta,267,128,139,0,0.4794007490636704,0.5205992509363296,0.0,2019,1
Jalisco,San Pedro Tlaquepaque,268,49,216,3,0.1828358208955224,0.8059701492537313,0.011194029850746268,2019,1
Jalisco,Tlajomulco de Zuniga,255,64,191,0,0.25098039215686274,0.7490196078431373,0.0,2019,1
Jalisco,Tonala,263,42,219,2,0.1596958174904943,0.8326996197718631,0.0076045627376425855,2019,1
Jalisco,Zapopan,255,80,174,1,0.3137254901960784,0.6823529411764706,0.00392156862745098,2019,1
Mexico,Almoloya de Juarez,5,1,4,0,0.2,0.8,0.0,2019,1
Mexico,Ecatepec de Morelos,269,19,249,1,0.07063197026022305,0.9256505576208178,0.0037174721189591076,2019,1
Mexico,Lerma,10,2,8,0,0.2,0.8,0.0,2019,1
Mexico,Metepec,34,5,29,0,0.14705882352941177,0.8529411764705882,0.0,2019,1
Mexico,Naucalpan de Juarez,260,25,234,1,0.09615384615384616,0.9,0.0038461538461538464,2019,1
Mexico,Nezahualcoyotl,272,60,211,1,0.22058823529411764,0.7757352941176471,0.003676470588235294,2019,1
Mexico,San Mateo Atenco,23,6,17,0,0.2608695652173913,0.7391304347826086,0.0,2019,1
Mexico,Tlalnepantla de Baz,259,29,225,5,0.11196911196911197,0.8687258687258688,0.019305019305019305,2019,1
Mexico,Toluca,156,22,134,0,0.14102564102564102,0.8589743589743589,0.0,2019,1
Mexico,Zinacantepec,30,2,28,0,0.06666666666666667,0.9333333333333333,0.0,2019,1
Michoacan de Ocampo,Lazaro Cardenas,259,83,175,1,0.3204633204633205,0.6756756756756757,0.003861003861003861,2019,1
Michoacan de Ocampo,Morelia,251,63,187,1,0.250996015936255,0.7450199203187251,0.00398406374501992,2019,1
Michoacan de Ocampo,Uruapan,259,34,223,2,0.13127413127413126,0.861003861003861,0.007722007722007722,2019,1
Morelos,Cuernavaca,108,19,89,0,0.17592592592592593,0.8240740740740741,0.0,2019,1
Morelos,Emiliano Zapata,38,6,32,0,0.15789473684210525,0.8421052631578947,0.0,2019,1
Morelos,Jiutepec,66,16,50,0,0.24242424242424243,0.7575757575757576,0.0,2019,1
Morelos,Temixco,29,4,25,0,0.13793103448275862,0.8620689655172413,0.0,2019,1
Morelos,Xochitepec,5,1,4,0,0.2,0.8,0.0,2019,1
Morelos,Yautepec,9,4,5,0,0.4444444444444444,0.5555555555555556,0.0,2019,1
Nayarit,Tepic,256,109,147,0,0.42578125,0.57421875,0.0,2019,1
Nayarit,Xalisco,27,15,12,0,0.5555555555555556,0.4444444444444444,0.0,2019,1
Nuevo Leon,Apodaca,261,98,163,0,0.37547892720306514,0.6245210727969349,0.0,2019,1
Nuevo Leon,General Escobedo,258,112,146,0,0.43410852713178294,0.5658914728682171,0.0,2019,1
Nuevo Leon,Guadalupe,256,87,169,0,0.33984375,0.66015625,0.0,2019,1
Nuevo Leon,Monterrey,230,44,186,0,0.19130434782608696,0.808695652173913,0.0,2019,1
Nuevo Leon,San Nicolas de los Garza,243,141,102,0,0.5802469135802469,0.41975308641975306,0.0,2019,1
Nuevo Leon,San Pedro Garza Garcia,232,152,78,2,0.6551724137931034,0.33620689655172414,0.008620689655172414,2019,1
Nuevo Leon,Santa Catarina,247,88,159,0,0.3562753036437247,0.6437246963562753,0.0,2019,1
Oaxaca,Oaxaca de Juarez,138,32,105,1,0.2318840579710145,0.7608695652173914,0.007246376811594203,2019,1
Oaxaca,San Agustin Yatareni,4,1,3,0,0.25,0.75,0.0,2019,1
Oaxaca,San Agustin de las Juntas,9,3,6,0,0.3333333333333333,0.6666666666666666,0.0,2019,1
Oaxaca,San Andres Huayapam,4,2,2,0,0.5,0.5,0.0,2019,1
Oaxaca,San Antonio de la Cal,9,3,6,0,0.3333333333333333,0.6666666666666666,0.0,2019,1
Oaxaca,San Pablo Etla,10,2,8,0,0.2,0.8,0.0,2019,1
Oaxaca,San Sebastian Tutla,10,2,8,0,0.2,0.8,0.0,2019,1
Oaxaca,Santa Cruz Amilpas,10,3,7,0,0.3,0.7,0.0,2019,1
Oaxaca,Santa Cruz Xoxocotlan,34,7,27,0,0.20588235294117646,0.7941176470588235,0.0,2019,1
Oaxaca,Santa Lucia del Camino,24,10,14,0,0.4166666666666667,0.5833333333333334,0.0,2019,1
Oaxaca,Santa Maria Atzompa,10,3,7,0,0.3,0.7,0.0,2019,1
Oaxaca,Santa Maria del Tule,5,2,3,0,0.4,0.6,0.0,2019,1
