NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
Aguascalientes,Aguascalientes,246,127,118,1,0.516260162601626,0.4796747967479675,0.0040650406504065045,2022,1
Aguascalientes,Jesus Maria,15,4,11,0,0.26666666666666666,0.7333333333333333,0.0,2022,1
Baja California,Mexicali,267,82,185,0,0.30711610486891383,0.6928838951310862,0.0,2022,1
Baja California,Tijuana,271,57,214,0,0.21033210332103322,0.7896678966789668,0.0,2022,1
Baja California Sur,La Paz,263,176,86,1,0.6692015209125475,0.3269961977186312,0.0038022813688212928,2022,1
Baja California Sur,Los Cabos,256,185,69,2,0.72265625,0.26953125,0.0078125,2022,1
Campeche,Campeche,272,160,111,1,0.5882352941176471,0.40808823529411764,0.003676470588235294,2022,1
Campeche,Carmen,256,89,166,1,0.34765625,0.6484375,0.00390625,2022,1
Chiapas,Chiapa de Corzo,21,9,12,0,0.42857142857142855,0.5714285714285714,0.0,2022,1
Chiapas,Tapachula,264,64,200,0,0.24242424242424243,0.7575757575757576,0.0,2022,1
Chiapas,Tuxtla Gutierrez,244,52,191,1,0.21311475409836064,0.7827868852459017,0.004098360655737705,2022,1
Chihuahua,Chihuahua,265,125,140,0,0.4716981132075472,0.5283018867924528,0.0,2022,1
Chihuahua,Juarez,260,68,190,2,0.26153846153846155,0.7307692307692307,0.007692307692307693,2022,1
Ciudad de Mexico,Alvaro Obregon,268,78,189,1,0.291044776119403,0.7052238805970149,0.0037313432835820895,2022,1
Ciudad de Mexico,Azcapotzalco,278,45,232,1,0.1618705035971223,0.8345323741007195,0.0035971223021582736,2022,1
Ciudad de Mexico,Benito Juarez,262,195,67,0,0.7442748091603053,0.25572519083969464,0.0,2022,1
Ciudad de Mexico,Coyoacan,274,128,146,0,0.46715328467153283,0.5328467153284672,0.0,2022,1
Ciudad de Mexico,Cuajimalpa de Morelos,258,150,107,1,0.5813953488372093,0.41472868217054265,0.003875968992248062,2022,1
Ciudad de Mexico,Cuauhtemoc,262,93,169,0,0.3549618320610687,0.6450381679389313,0.0,2022,1
Ciudad de Mexico,Gustavo A. Madero,277,86,189,2,0.3104693140794224,0.6823104693140795,0.007220216606498195,2022,1
Ciudad de Mexico,Iztacalco,269,87,182,0,0.32342007434944237,0.6765799256505576,0.0,2022,1
Ciudad de Mexico,Iztapalapa,281,60,220,1,0.21352313167259787,0.7829181494661922,0.0035587188612099642,2022,1
Ciudad de Mexico,La Magdalena Contreras,272,96,176,0,0.35294117647058826,0.6470588235294118,0.0,2022,1
Ciudad de Mexico,Miguel Hidalgo,261,108,152,1,0.41379310344827586,0.5823754789272031,0.0038314176245210726,2022,1
Ciudad de Mexico,Milpa Alta,271,134,136,1,0.4944649446494465,0.5018450184501845,0.0036900369003690036,2022,1
Ciudad de Mexico,Tlahuac,258,75,182,1,0.29069767441860467,0.7054263565891473,0.003875968992248062,2022,1
Ciudad de Mexico,Tlalpan,268,98,170,0,0.3656716417910448,0.6343283582089553,0.0,2022,1
Ciudad de Mexico,Venustiano Carranza,263,101,162,0,0.3840304182509506,0.6159695817490495,0.0,2022,1
Ciudad de Mexico,Xochimilco,265,67,197,1,0.2528301886792453,0.7433962264150943,0.0037735849056603774,2022,1
Coahuila de Zaragoza,Matamoros,19,9,10,0,0.47368421052631576,0.5263157894736842,0.0,2022,1
Coahuila de Zaragoza,Nava,9,6,3,0,0.6666666666666666,0.3333333333333333,0.0,2022,1
Coahuila de Zaragoza,Piedras Negras,258,202,56,0,0.7829457364341085,0.21705426356589147,0.0,2022,1
Coahuila de Zaragoza,Ramos Arizpe,24,18,6,0,0.75,0.25,0.0,2022,1
Coahuila de Zaragoza,Saltillo,237,184,53,0,0.7763713080168776,0.22362869198312235,0.0,2022,1
Coahuila de Zaragoza,Torreon,145,78,66,1,0.5379310344827586,0.45517241379310347,0.006896551724137931,2022,1
Colima,Colima,98,16,82,0,0.16326530612244897,0.8367346938775511,0.0,2022,1
Colima,Manzanillo,256,65,191,0,0.25390625,0.74609375,0.0,2022,1
Colima,Villa de alvarez,161,17,144,0,0.10559006211180125,0.8944099378881988,0.0,2022,1
Durango,Durango,240,138,100,2,0.575,0.4166666666666667,0.008333333333333333,2022,1
Durango,Gomez Palacio,81,42,39,0,0.5185185185185185,0.48148148148148145,0.0,2022,1
Durango,Lerdo,17,9,8,0,0.5294117647058824,0.47058823529411764,0.0,2022,1
Guanajuato,Guanajuato,279,94,185,0,0.33691756272401435,0.6630824372759857,0.0,2022,1
Guanajuato,Irapuato,277,34,241,2,0.12274368231046931,0.8700361010830325,0.007220216606498195,2022,1
Guanajuato,Leon,255,49,206,0,0.19215686274509805,0.807843137254902,0.0,2022,1
Guanajuato,Purisima del Rincon,5,1,4,0,0.2,0.8,0.0,2022,1
